cell,net,retdd,pf,trades,win,avg,expo,retexp,sharpe,data_pct,imp_retexp,imp_retdd,imp_pf,imp_win,imp_avg
BASELINE,363783.1301136323,7.436967636349168,1.039558698591583,2219,0.49780809614438765,163.94012172763962,0.6066628612941726,599646.2835018226,0.1729637369515486,1.0,0.0,0.0,0.0,0.0,0.0
all 3 aligned,167130.68786728472,5.389956803186367,1.069514592798048,801,0.48900817995910023,208.6525441539135,0.6646655717279266,251450.79717728752,0.30964831627267553,0.22906180270873333,-0.5806681303703549,-0.27524804910509004,0.028815971860992606,-0.01767732637023045,0.27273630124879644
2 of 3,201530.14905757143,7.448307398356422,1.0626409487975523,1324,0.4917203588848076,152.2131035178032,0.5848299175998309,344596.1688907101,0.2677241425970814,0.3684033002957812,-0.42533427059977313,0.0015247830247142602,0.022203893091599092,-0.012229084473978413,-0.07153232586540947
daily alone,-4877.706811223848,-0.05971154647933412,0.9986354360900785,1511,0.4925624321389794,-3.228131575925776,0.593638209416997,-8216.63217402089,-0.006052582009185889,0.40253489699548545,-1.0137024649365578,-1.0080290179276141,-0.03936599497166271,-0.010537522483135331,-1.019690918500651
aligned trending,174132.6898237584,7.649505349451761,1.0802826014197346,588,0.49314543188572524,296.1440303125143,0.7381120860458534,235916.3237071569,0.3738955938538321,0.1833324684759483,-0.6065741918228034,0.02857854484451261,0.03917422160319117,-0.00936638896549813,0.8064158254347913
aligned flat,6075.676469855113,0.7078506304107708,1.0620062806764055,122,0.47039473684210525,49.800626802091095,0.3681983071342201,16501.09832699566,0.2163982524375884,0.07509989102796949,-0.9724819468059865,-0.9048199931715372,0.021593376223232985,-0.05506812668296024,-0.6962267303617908
