window,years_after,median_R,share_positive,n
2011-2014,1,0.00327408854825315,0.504,250
2011-2014,2,-0.0563166117572477,0.38,250
2011-2014,3,-0.02495673496207575,0.456,250
2011-2014,4,0.04416632119044385,0.568,250
2011-2014,5,-0.0974329353627779,0.356,250
2011-2014,6,-0.0689748579699235,0.372,250
2012-2015,1,-0.03130939594496675,0.432,250
2012-2015,2,-0.021394639684152998,0.448,250
2012-2015,3,0.00680085207929015,0.512,250
2012-2015,4,-0.10557961217318709,0.316,250
2012-2015,5,-0.013848861299017901,0.48,250
2013-2016,1,-0.027884988613989553,0.44,250
2013-2016,2,0.00953649327310925,0.532,250
2013-2016,3,-0.1161754542579499,0.276,250
2013-2016,4,-0.01819886202071095,0.44,250
2014-2017,1,0.010002738664384,0.52,250
2014-2017,2,-0.0823376356094666,0.388,250
2014-2017,3,-0.0125037214932485,0.48,250
2015-2018,1,-0.0824731560979764,0.324,250
2015-2018,2,-0.0092415046489682,0.484,250
