tag,n,sd,kurtosis,best_k,bic1,bic2,bic3,peaks_min,peaks_max
real,189901,2.498710842644014,1.4399636170250965,3,886753.1535213327,862900.4317733151,861934.6817143235,1,1
surrogate,189808,2.6379739223560197,3.1111374551984516,3,906907.8376363252,872245.2177169528,871515.5105539166,1,1
