N,B,D,R,A_real,A_surr,A_corr,A_z,B_real,B_surr,B_corr,B_z,agree
2,1,0.25,0.5,0.18869045262444847,0.24951439432715922,-0.06082394170271074,-0.9723193750947206,0.34041832553663454,0.2635267827142796,0.07689154282235494,1.1557587596843515,False
2,1,0.25,0.62,0.1890174041369813,0.24845542234018403,-0.05943801820320274,-0.9457544711072035,0.3404663770943458,0.2627147923071824,0.07775158478716337,1.173678839238714,False
2,1,0.25,0.75,0.18853263964657233,0.24819956552742153,-0.05966692588084921,-0.9498544132739405,0.3399831052793746,0.26004762709614715,0.07993547818322744,1.2082181679069957,False
2,1,0.25,1.0,0.1884040801563596,0.2480556370260943,-0.059651556869734695,-0.9503277696798835,0.339684132453517,0.2600563885095557,0.07962774394396127,1.2029508559556419,False
2,1,0.5,0.5,0.3227111289011619,0.35253896731806467,-0.029827838416902785,-0.8857446839632268,0.3832840321477727,0.3408178902232509,0.042466141924521805,1.0982597132240606,False
2,1,0.5,0.62,0.3226937838918803,0.35164061356062576,-0.028946829668745455,-0.8608716345560772,0.38307162457087085,0.3400235875339545,0.04304803703691634,1.1226436285000818,False
2,1,0.5,0.75,0.3231188348186727,0.3512506156730168,-0.02813178085434409,-0.8384508450390452,0.3823853243484457,0.3397163941295358,0.042668930218909884,1.1139565837878969,False
2,1,0.5,1.0,0.3229360345820219,0.35117876905384315,-0.02824273447182124,-0.8404231893497941,0.38224726335871523,0.3395280626390358,0.04271920071967944,1.1132237618116143,False
2,1,1.0,0.5,0.407988800647071,0.43291249653461916,-0.02492369588754817,-0.5503031592259008,0.49055888942610104,0.42068406205357683,0.0698748273725242,1.675998458863465,False
2,1,1.0,0.62,0.40776883408287146,0.4320951981796145,-0.024326364096743047,-0.5412182823397104,0.4893999184535692,0.42009761739610313,0.0693023010574661,1.669017838801355,False
2,1,1.0,0.75,0.40820636112011255,0.4317321842351978,-0.023525823115085276,-0.5229832823071369,0.48729854818380036,0.41948606902224234,0.06781247916155803,1.6408763246996445,False
2,1,1.0,1.0,0.4081718405346947,0.4315640812814877,-0.023392240746793025,-0.5205874990353374,0.48729954366631395,0.4192377509853989,0.06806179268091506,1.642298018062896,False
2,2,0.25,0.5,0.36432248455951044,0.4507178592251596,-0.08639537466564917,-1.6384698474339576,0.4679386181901859,0.4391801465486783,0.028758471641507577,0.5876421340274406,False
2,2,0.25,0.62,0.36492971074036973,0.4486231731236249,-0.08369346238325515,-1.59804999562739,0.46890168654115505,0.43726205705795584,0.031639629483199205,0.6547819684144548,False
2,2,0.25,0.75,0.3639908571451283,0.4478823610342865,-0.08389150388915823,-1.59985884125429,0.46634624680428816,0.4368198675987826,0.02952637920550555,0.6068155678117096,False
2,2,0.25,1.0,0.36400752066881,0.44745202086017083,-0.08344450019136085,-1.5940478704780692,0.46609251374620014,0.43613145273085313,0.029961061015347012,0.6156752400507676,False
2,2,0.5,0.5,0.4390505677060611,0.49937498539771996,-0.06032441769165886,-1.1773247211233464,0.5266542448555127,0.4804372102184159,0.04621703463709681,0.9944118962308052,False
2,2,0.5,0.62,0.43466736216311425,0.4975333292770941,-0.06286596711397985,-1.240970782211668,0.5254159884060232,0.4787165529542281,0.04669943545179511,1.013593284420933,False
2,2,0.5,0.75,0.43464186444351155,0.496621156750075,-0.06197929230656346,-1.2228841415542895,0.5210059086854876,0.478113143291532,0.04289276539395559,0.9246904618055242,False
2,2,0.5,1.0,0.4344711344982578,0.49619782907785587,-0.06172669457959806,-1.2213468181191396,0.5206081018870782,0.47755743470367273,0.043050667183405444,0.9249544606831437,False
2,2,1.0,0.5,0.5859252625556759,0.6060969132603189,-0.020171650704642996,-0.3967820114220162,0.58091750868334,0.5874378351024451,-0.006520326419105049,-0.12957778039478418,True
2,2,1.0,0.62,0.5818497431511386,0.6049776555856841,-0.023127912434545483,-0.4553335583033658,0.5796390221943156,0.5864281992064072,-0.006789177012091585,-0.13683553344449792,True
2,2,1.0,0.75,0.5816100614921564,0.6043386841758667,-0.02272862268371023,-0.4479567207551309,0.5754265367827458,0.5856952625387251,-0.010268725755979258,-0.20729486948195872,True
2,2,1.0,1.0,0.5811332278937935,0.603783394684914,-0.02265016679112053,-0.44693575817924086,0.5753660100166181,0.5852968517639608,-0.009930841747342711,-0.2007555185166691,True
2,3,0.25,0.5,0.4316336576238392,0.5318078046530952,-0.10017414702925598,-2.2306325238192803,0.5351810736178853,0.5114926147284786,0.023688458889406627,0.5106451765500213,False
2,3,0.25,0.62,0.43004070849244835,0.5292274137555104,-0.09918670526306206,-2.213345208597369,0.537503393643125,0.5097339424112407,0.027769451231884346,0.60333187555183,False
2,3,0.25,0.75,0.4255661277109881,0.5276749797246708,-0.1021088520136827,-2.287017595613471,0.5339237671741978,0.5089310809604329,0.024992686213764825,0.5437620277579432,False
2,3,0.25,1.0,0.4254921963126006,0.5270830134262466,-0.10159081711364604,-2.2742783700480103,0.5334818094545121,0.5078830277103479,0.02559878174416419,0.5579962079434054,False
2,3,0.5,0.5,0.4433168634788675,0.5854565254697509,-0.1421396619908834,-2.7108907654406234,0.5953295795688511,0.5809224414531231,0.014407138115728024,0.29545092240901744,False
2,3,0.5,0.62,0.4410375474661049,0.5836254361924638,-0.14258788872635886,-2.70824251852135,0.5956537387336891,0.5796466745436593,0.01600706419002984,0.3281205256537629,False
2,3,0.5,0.75,0.4380764861394444,0.5823519674440545,-0.1442754813046101,-2.736851546185408,0.591300992154012,0.5784676730948005,0.012833319059211479,0.2625216276787563,False
2,3,0.5,1.0,0.43794619069839213,0.5817752902991542,-0.14382909960076207,-2.7354231933025237,0.5912007127528627,0.5776298751532879,0.013570837599574781,0.2781291665190155,False
2,3,1.0,0.5,0.6575384708356928,0.575638580392757,0.08189989044293589,1.7414428246593232,0.5909377756735683,0.5678722383515835,0.023065537321984797,0.5019363462941018,True
2,3,1.0,0.62,0.6576911260121097,0.5744622710793177,0.08322885493279197,1.7864477659496238,0.5906556124064886,0.5665024716930146,0.024153140713473964,0.5269880080118057,True
2,3,1.0,0.75,0.654741920518179,0.5731251408507592,0.08161677966741987,1.7655248512677155,0.5849261863513473,0.56508537253808,0.0198408138132673,0.4332624810363223,True
2,3,1.0,1.0,0.6549063634735419,0.5723043561592291,0.08260200731431278,1.7918881305539909,0.5848073201133424,0.5639908769366426,0.020816443176699728,0.4514413569735794,True
3,1,0.25,0.5,0.37483864046763077,0.35373833327775467,0.0211003071898761,0.6733644155874912,0.3736336881877135,0.34728231230049333,0.02635137588722014,0.9536426488414046,True
3,1,0.25,0.62,0.37420546661990356,0.35242094135189667,0.021784525268006893,0.6962103991406603,0.37421755625285413,0.34589488178528766,0.028322674467566478,1.037772558468453,True
3,1,0.25,0.75,0.37443527710646585,0.3520513865660962,0.022383890540369655,0.7162679017746749,0.37518886386778005,0.3456921012798183,0.029496762587961745,1.089592736067129,True
3,1,0.25,1.0,0.37459438881871554,0.35193484367076516,0.022659545147950377,0.7243310068864559,0.3753698624802714,0.3456718026282484,0.02969805985202295,1.0960296991323535,True
3,1,0.5,0.5,0.40669117425494566,0.37531999402727034,0.03137118022767532,1.1261646976058879,0.4116091602240086,0.36493183842496735,0.04667732179904127,1.6320562859591863,True
3,1,0.5,0.62,0.40648121230962897,0.3742721045750047,0.032209107734624265,1.1634685413813701,0.4115871678501355,0.3640964511512994,0.04749071669883609,1.6837548551853787,True
3,1,0.5,0.75,0.4066910059533714,0.37403236169095644,0.03265864426241494,1.1872157765269025,0.4112230108122909,0.3639143418810798,0.047308668931211106,1.6880888856618677,True
3,1,0.5,1.0,0.4067616935919007,0.37388822268605504,0.032873470905845636,1.1931462773744106,0.4114770023344587,0.36386251985470813,0.047614482479750586,1.699429264528694,True
3,1,1.0,0.5,0.4638684660847495,0.4291464475642363,0.03472201852051321,1.1972815833846564,0.4517683456364926,0.4237847566719101,0.027983588964582473,0.7717391445184227,True
3,1,1.0,0.62,0.4641232316761088,0.4283563951107153,0.03576683656539348,1.233863579625232,0.451491569526571,0.42327610807571947,0.02821546145085152,0.7864452045917274,True
3,1,1.0,0.75,0.463668056158859,0.4281616002359046,0.03550645592295437,1.2260049545871505,0.4515670515682554,0.4230438634078887,0.028523188160366697,0.7956118515257683,True
3,1,1.0,1.0,0.464539483794298,0.4279106807307609,0.03662880306353711,1.2698821848659965,0.45062874288578014,0.42290866810212024,0.027720074783659898,0.771250001511104,True
3,2,0.25,0.5,0.44146896257775586,0.4313783141816205,0.010090648396135382,0.3521780008151212,0.45184128825250536,0.42209193600393125,0.029749352248574112,0.8411571503100262,True
3,2,0.25,0.62,0.4428066888257536,0.4298727756404965,0.012933913185257107,0.45083471780139844,0.45164815840086375,0.4208520879105688,0.03079607049029498,0.878012547789979,True
3,2,0.25,0.75,0.44224178465122965,0.4293605177841637,0.012881266867065977,0.45045839484549477,0.4518063508256047,0.4206166636237373,0.031189687201867433,0.8922149607917755,True
3,2,0.25,1.0,0.4431912887656337,0.4291774188121963,0.014013869953437397,0.4899244506117366,0.4519104409195793,0.4204464058767504,0.03146403504282891,0.9053162887229775,True
3,2,0.5,0.5,0.4574640311710365,0.4562147949412747,0.0012492362297618076,0.043240831522625006,0.4650373843576334,0.4448358876582416,0.020201496699391808,0.5401303452454338,True
