,crisis_excluded,all_in
total_R,83.32,98.38
years,10.15,10.15
avg_annual_R,8.21,9.69
max_dd_R,1.91,1.35
sortino,5.76,6.32
sharpe,2.84,2.63
calmar,43.59,73.09
worst_month_R,-1.31,-1.04
worst_month,2014-11-30,2014-11-30
best_month_R,5.63,11.66
n_trades,2669,2835
days_with_any_position,3602,3689
days_2plus,3446,3555
pct_days_2plus,95.7,96.4
max_simultaneous,12,13
mean_simultaneous_when_live,4.92,5.14
mean_pairwise_corr,0.0529,0.0462
max_pairwise_corr,0.6322,0.5697
