slice,inside,trades,mean_R,sum_R,win_rate,R_per_year
A-chop,False,20159,-0.026841015008203246,-541.0880215503693,0.3877672503596409,-108.21760431007385
A-chop,True,11443,0.25133088312400065,2875.9792955879393,0.46569955431268023,575.1958591175878
A-trend,False,109598,-0.0335615360714347,-3678.2772303571,0.3419679191226117,-735.65544607142
A-trend,True,22502,0.12532619643915352,2820.0900722738324,0.42049595591502975,564.0180144547664
B-chop,False,19655,0.005917715893492962,116.31270588660418,0.3032816077334012,23.262541177320834
B-chop,True,11977,0.2553232619659228,3058.0067085658575,0.3785589045670869,611.6013417131715
B-trend,False,135394,-0.012049169434947778,-1631.3852464753195,0.3031744390445662,-326.2770492950639
B-trend,True,26806,0.09832295358337945,2635.6450937560694,0.36853689472506157,527.1290187512138
A-chop,neither,6466,-0.001000093857251584,-6.466606880988742,0.39560779461800183,-1.2933213761977485
A-chop,ranging,11532,0.25118182564948427,2896.6288133898524,0.46574748525841136,579.3257626779705
A-chop,trend-in-range,5504,-0.0756501309667163,-416.3783208408065,0.37245639534883723,-83.2756641681613
A-chop,trending,8099,-0.01729116910448672,-140.04117857723796,0.39091245832818866,-28.00823571544759
A-trend,neither,27140,-0.03669164553683757,-995.8112598697716,0.344620486366986,-199.1622519739543
A-trend,ranging,53336,-0.04016737404870943,-2142.367062261966,0.33988300584970754,-428.47341245239323
A-trend,trend-in-range,22052,-0.06572083765417225,-1449.2759119498064,0.3220116089243606,-289.85518238996127
A-trend,trending,29572,0.1261080439604449,3729.267075998276,0.4179291221425673,745.8534151996553
B-chop,neither,6560,0.07133608957573442,467.9647476168178,0.3231707317073171,93.59294952336356
B-chop,ranging,12080,0.2516250066368568,3039.63008017323,0.37706953642384106,607.926016034646
B-chop,trend-in-range,5227,-0.028968444579124404,-151.41805981508327,0.29079778075377843,-30.283611963016654
B-chop,trending,7765,-0.023420135675789218,-181.85735352250327,0.29620090148100453,-36.37147070450065
B-trend,neither,32512,-0.011888913240595815,-386.53234727825117,0.308347687007874,-77.30646945565023
B-trend,ranging,66630,-0.02624099635025278,-1748.437586817343,0.2989944469458202,-349.6875173634686
B-trend,trend-in-range,27596,-0.025452430141261532,-702.3852621782532,0.28736048702710537,-140.47705243565065
B-trend,trending,35462,0.10833046764295859,3841.6150435545974,0.3679995488128137,768.3230087109195
