,team1|ALLPASS,team1|STABLE,team1|PICKED,team1|FAMILY_CAP,team2|ALLPASS,team2|STABLE,team2|PICKED,team2|FAMILY_CAP
2016-01-04,-0.003739733914721113,-0.003034621341968712,-0.01149748933436667,0.0,-0.005609600872081669,-0.004551932012953068,-0.017246234001550006,0.0
2016-01-05,0.009706050041990903,0.006733389077710813,0.2157715392053062,0.0,0.014559075062986355,0.01010008361656622,0.32365730880795934,0.0
2016-01-06,0.0779645244768167,0.08517051452787128,0.30283253712590064,0.0,0.11694678671522506,0.12775577179180692,0.454248805688851,0.0
2016-01-07,0.12540029323043214,0.10627619546432071,0.35998145781287577,0.0,0.18810043984564823,0.15941429319648107,0.5399721867193137,0.0
2016-01-08,0.03902779748507212,0.023657511960610743,0.31820303484814405,-0.0023777377260876024,0.05854169622760818,0.03548626794091612,0.4773045522722162,-0.0035666065891314038
2016-01-11,0.013049958597351688,0.007725433072305573,-0.2477067556152449,0.0344142844259272,0.01957493789602753,0.01158814960845836,-0.3715601334228674,0.0516214266388908
2016-01-12,-0.0027179422921007825,-0.008903818908455818,0.07629750222198503,0.01933232769557637,-0.004076913438151174,-0.013355728362683728,0.11444625333297757,0.028998491543364556
2016-01-13,0.06041448513814108,0.04812054173305327,0.05461906661030552,-0.03564826351817567,0.09062172770721162,0.07218081259957991,0.0819285999154583,-0.0534723952772635
2016-01-14,0.006782115339004024,0.0004178328675130748,0.18770156614561148,-0.03935019816038654,0.010173173008506037,0.0006267493012696122,0.28155234921841726,-0.05902529724057981
2016-01-15,0.07171177885782022,0.050617899200265284,0.1446789588177425,0.07126603196980331,0.10756766828673034,0.07592684880039793,0.2170184382266138,0.10689904795470496
2016-01-18,0.002142992779194626,0.0039352679263145824,-0.08246111233786815,-0.06903793662853973,0.0032144891687919397,0.005902901889471874,-0.12369166850680224,-0.10355690494280959
2016-01-19,-0.045159148308771095,-0.03084858993863904,-0.03680251993372289,-0.1691791115641419,-0.06773872246315665,-0.04627288490795856,-0.055203779900584345,-0.25376866734621284
2016-01-20,-0.038003820207753475,-0.059573879299576776,-0.1766201560936183,0.12943062447290318,-0.05700573031163021,-0.08936081894936516,-0.2649302341404275,0.19414593670935476
2016-01-21,-0.11318781304272497,-0.058190600957981176,-0.5517403989516523,-0.08583005271275655,-0.16978171956408747,-0.08728590143697176,-0.8276105984274785,-0.12874507906913482
2016-01-22,0.006177933293015625,0.010922495802879545,0.1764909201149098,-0.034962718114407335,0.009266899939523437,0.016383743704319317,0.2647363801723647,-0.052444077171611
2016-01-25,-0.05715197435591671,-0.04976228310155079,-0.18418295143921076,-0.013299545266889493,-0.08572796153387506,-0.07464342465232619,-0.27627442715881617,-0.01994931790033424
2016-01-26,-0.14174054207089432,-0.13599476985478928,0.005583089179180791,-0.04963335023703169,-0.21261081310634147,-0.20399215478218394,0.008374633768771188,-0.07445002535554755
