budget,min_votes,control,draw,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,position_days,trades_per_year,spread_paid_pct_yr,zero_cost_median
team1,1,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,2,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,2,random,0,4.950840418386307,3.2123308111488713,1.6883077974969503,0.6806608150100156,3.342872418191751,1.4792305414116727,3.526509952563271,,,,
team1,2,random,1,5.468237110938891,3.3679829881313323,1.9160867514876117,0.6786645722783547,3.3639027021552477,1.4935434955350673,3.580701827206554,,,,
team1,2,random,2,4.597867927492429,3.2916877810903844,1.7314334267651397,0.6856771454637521,3.3535590354033005,1.4751343292461137,3.5128877997443966,,,,
team1,2,random,3,5.556659219075956,3.9764699540688935,1.7626766930356936,0.7081403214134872,3.3848690796292007,1.5059064805187272,3.6847966211466283,,,,
team1,2,random,4,5.128119363920721,3.2568692196120828,1.8327732512282502,0.6857060393609911,3.369556248505197,1.483497123643506,3.556317422530211,,,,
team1,3,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,3,random,0,4.943314455484488,2.757510293270412,1.5916093275785812,0.6953043949749454,3.311004685652386,1.4631975294334816,3.388397712950303,,,,
team1,3,random,1,5.380162566095544,2.95572712331388,2.1546923163884237,0.6840359076952229,3.366482581813058,1.4813133662057347,3.4744514700572258,,,,
team1,3,random,2,4.531741429600157,3.1181831718444593,1.8318492608415475,0.6302128930391669,3.56029085978733,1.4565318464921304,3.4389532791424697,,,,
team1,3,random,3,5.420233396048835,3.8610872731041384,1.707931377858511,0.7195882248506567,3.450275439078202,1.5011317844366514,3.6066457070427016,,,,
team1,3,random,4,4.613215818437814,3.4086104450126875,1.7796831884406856,0.692975634039207,3.359075343858666,1.4839887095117752,3.5110287711517643,,,,
team1,4,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,4,random,0,4.9822585228513665,2.786741835292656,1.6124415584835194,0.7073031623324784,3.416013036631238,1.4476945496645246,3.2593908309479676,,,,
team1,4,random,1,5.307413611941268,3.0586885638283956,2.0017900978038554,0.6893662640276896,3.334528581574136,1.4887557287661997,3.4983024039660027,,,,
team1,4,random,2,4.759170084787158,3.4959945641859167,1.7595639824154077,0.6208018744152423,3.4400421208391423,1.4605627668017653,3.4210496493839146,,,,
team1,4,random,3,5.361447209337069,3.8651823151779507,1.7320858267629369,0.5954205766279338,3.313014675782199,1.5139309691027985,3.752876578187427,,,,
team1,4,random,4,4.806197843821444,3.7365342011231566,1.7044296546541453,0.6956745061435727,3.2785569078980084,1.4971179484102648,3.575485736781078,,,,
team1,6,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,6,random,0,4.752052695635007,2.8274292804995693,1.9146039101038586,0.7024195712302378,3.332735043823405,1.4530669231112983,3.285863666706892,,,,
team1,6,random,1,4.910917771888634,3.018852661994642,1.7832076952990725,0.6293681139172865,3.2800046858737852,1.4886098267471148,3.461271559225439,,,,
team1,6,random,2,5.194800691637574,3.776273339036209,1.7073225228588633,0.6570713399058262,3.525265889108404,1.4688102042702287,3.5236372511498883,,,,
team1,6,random,3,5.460636531926672,3.695272211758225,1.599117179804967,0.6191416009512307,3.3920907699473815,1.5079474270700617,3.692627816159519,,,,
team1,6,random,4,4.520599671919266,3.698791601991003,1.6421725636480247,0.707423803725499,3.286335137107637,1.4815124697296342,3.503911871929554,,,,
team1,12,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,12,random,0,4.229271773507255,2.672914806526786,2.0466099832068316,0.7345124342762896,3.313703681445918,1.4498343806953997,3.2300765547263,,,,
team1,12,random,1,3.9689467118842905,2.797116819450799,1.7548249427656195,0.6365115605409973,3.6474586696199127,1.4316760022875763,3.1458583907946163,,,,
team1,12,random,2,4.710858973829216,3.3800947450908283,1.598997998557639,0.6685916527068695,3.5640420098493335,1.4473469939143353,3.348847395850393,,,,
team1,12,random,3,6.136425723604165,3.2845658354148264,1.885072811980578,0.5967384986189116,3.28280727066069,1.5420710159791349,3.9189133747185676,,,,
team1,12,random,4,4.292286226462894,3.5635994402853575,1.735429346667118,0.6500965097484444,3.453701526106007,1.45137927455568,3.3199377526960925,,,,
team1,20,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,20,random,0,4.022810180393457,2.4358173998661448,2.1387474007144824,0.740945976726236,3.2508887651963367,1.4358404421118924,3.0733235227564824,,,,
team1,20,random,1,4.190534668244554,3.359206976829587,1.7553266308917088,0.6362536506048131,3.4477040092883615,1.456742599708648,3.368488122741106,,,,
team1,20,random,2,4.357358135744361,3.056949097034651,1.738084906990398,0.6983621889363066,3.417393474632816,1.454227086484045,3.408774312550904,,,,
team1,20,random,3,5.079467963284389,2.12570801137967,1.7481587245718835,0.5711796867276203,3.375817501566944,1.4703849012491297,3.4535319849465247,,,,
team1,20,random,4,3.4980941881299112,2.97573975976983,1.7387930814352721,0.6970538699162319,3.4717783345751414,1.4224750871717498,3.098469373423528,,,,
team1,36,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,36,random,0,3.6593588383887385,2.244152168137035,2.140398348624755,0.7234465750841147,3.2477657072187354,1.4153202750578258,2.9474591696180825,,,,
team1,36,random,1,3.2969882473509586,2.2033444695230644,1.996415890040403,0.7039525920430908,3.4900807495505792,1.4009997799683847,2.8771562330647233,,,,
team1,36,random,2,4.474771099816214,3.1191142049121474,1.7951466453038982,0.5985014736955382,3.5006162130372256,1.4383918891721543,3.3065311173854894,,,,
team1,36,random,3,4.10549047057384,1.7636216735600039,1.889052133810619,0.5704754490381392,3.4558318990514816,1.3967245340073617,2.899977938101304,,,,
team1,36,random,4,3.7708708197438896,2.4481897152522225,1.8743782737733063,0.66995392575298,3.4213173554961744,1.4136771189453983,3.1366192771484385,,,,
team1,63,real,-1,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,1.4749273563318166,6.5991291414983415
team1,63,random,0,3.6339071514483714,1.2641423332465664,2.2495846360495566,0.756804199514906,3.4397566599514726,1.3803153749568817,2.7218042874601096,,,,
team1,63,random,1,3.320775179583425,2.23757490151192,2.0532602569188647,0.8120385559005738,3.563676109521444,1.3818621105325501,2.5618347796679592,,,,
team1,63,random,2,3.297982850150745,2.393098193419633,1.8214914099625337,0.544607213243026,3.988519820694295,1.330826306982148,2.4055913945935536,,,,
team1,63,random,3,3.9559216545322635,2.2566590850391517,2.150870651570912,0.4931097876847257,3.1062373936246086,1.4184024530984367,3.0631467774507795,,,,
team1,63,random,4,4.600870136673687,2.587672080397771,1.947185789687838,0.749702028887464,3.156544383321103,1.4308028294714994,3.280730798715285,,,,
team1,110,real,-1,5.534664556642523,3.2389566765630446,1.7370826172570446,0.693581807348726,3.278944190600016,1.495259009705852,3.6034140641421177,10218.0,253.08333333333331,1.484737914248055,7.0194024708905784
team1,110,random,0,2.4875780627012043,1.5343400015977924,1.8205877066575091,0.8992717281457783,3.9088326231018717,1.306295190386607,2.0391161587283917,,,,
team1,110,random,1,3.236607247045255,1.1277143626826813,2.7735091604715016,0.8402232345260588,3.8816103307720775,1.3166880685380173,2.045905895037294,,,,
team1,110,random,2,2.822779051058665,1.5112922123894936,1.5620070179791923,0.6647752378037938,4.211231411302089,1.2543126755041607,1.8275782043923146,,,,
team1,110,random,3,2.650696420718748,1.6648833112888928,1.7236325291255987,0.4609575691699853,2.934117145320194,1.3661633214697886,2.45119020799869,,,,
team1,110,random,4,3.2942091129264637,2.5107903487296284,1.6432786142259967,0.8696822710100327,3.322727547062442,1.3750764047995454,2.4592160767623046,,,,
team1,191,real,-1,4.2200461595741094,2.5191590872769023,1.4366054967497028,0.7729255658262982,2.9740238065819105,1.4681033881075256,3.2821283892441118,5700.0,143.41666666666669,1.02304040173971,5.243086561313819
team1,191,random,0,2.4937265978782484,0.014074381114588322,2.204751101245879,0.6871653448061397,3.032669937234348,1.4043416093807322,2.0983843575758754,,,,
team1,191,random,1,2.6501122659346787,-0.6553420404099896,2.1878361651376625,0.8743186980511356,3.7173349462183998,1.2788628762686094,1.5573352860444434,,,,
team1,191,random,2,3.018402468637771,2.5348285750288073,1.8828046634362856,0.8789599496989462,3.619054484286166,1.3529124330479818,1.9255650110347362,,,,
team1,191,random,3,1.4505605590107689,1.2171345219294052,1.9646391490512833,0.5788589025708637,2.760497060520114,1.3715340939006617,2.0623739655473345,,,,
team1,191,random,4,1.9597305411124863,-0.20730891689472458,2.777090989150641,0.6607706880491256,4.298041548029574,1.213562164265245,1.2249848957753966,,,,
team1,332,real,-1,1.6322996688302929,-0.057010437806099,1.3398516795089463,0.37309882127966276,2.8586796442361972,1.2329299286203348,1.4696522941113443,2888.0,65.5,0.5746580415057247,2.2069577103360176
team1,332,random,0,1.4825665919185895,-0.17354933226546704,2.0509592675355997,0.9440899808961203,3.2754547192776067,1.3278564950638474,1.1441522219588385,,,,
team1,332,random,1,0.24286891053434168,-1.5849939232313852,3.4412982242296373,0.4892040640175628,4.652222658059141,1.0754219374020222,0.31143848295407334,,,,
team1,332,random,2,2.1614447863525794,-0.14386685446462527,2.4068862426012934,0.9412195440338189,3.7967498713315915,1.311112763129004,1.069180303075468,,,,
team1,332,random,3,0.6767421101794517,-0.33185585424485375,1.1569981927208302,0.5493482744019897,3.441137691553851,1.11294651984786,0.4533079291894058,,,,
team1,332,random,4,-0.2724184234395471,-1.203951495719793,4.235065043761986,0.6614808761036884,4.756456684322691,1.0941800397455832,0.3878462051076194,,,,
team1,578,real,-1,0.452081121166733,-0.17587856322917006,0.9910100503097213,0.3009790338563932,2.2398541315367044,1.1342371844438308,0.6880681364869106,1463.0,34.5,0.24251177848492217,0.6945928996516552
team1,578,random,0,1.8059256789419855,-0.18060328654160696,2.1060713341448194,0.7599133940288634,2.878418816272809,1.5403648340756917,1.2078313751557055,,,,
team1,578,random,1,0.8838682542567547,-2.255897746977062,4.246943845860767,0.7359864398061844,5.6455228676236695,1.065765674753599,0.17523629878381003,,,,
team1,578,random,2,1.8194163762865034,-0.19858563143661817,1.8868341565862738,0.8240600898490017,2.957860860202216,1.3733685042824177,0.7461061841586945,,,,
team1,578,random,3,0.16321627253841187,-0.20238468701775966,0.708332777780952,0.2556624403474993,1.8565720004855037,1.0802375602809606,0.19450750140753909,,,,
team1,578,random,4,1.1088936219125018,0.006902813137015434,2.1264848419210765,0.8620107672032761,3.2196610356970545,1.2736812229609282,0.6588394372070323,,,,
team1,1005,real,-1,0.28411516022522704,-0.7701776266718839,1.0626009277967072,0.3745613372866836,2.4213755384009286,1.1000819338696857,0.2958403231992387,586.0,14.583333333333332,0.1497839372969918,0.43389909752221884
team1,1005,random,0,1.7382531773033354,-0.147182585887134,2.8237664815967327,1.279460910315124,4.627082603382333,1.3311451420179892,0.3183996764860358,,,,
team1,1005,random,1,-0.37362317177736704,-1.154244851888067,3.5138663638996315,0.665212481158408,4.891151838769492,0.866714410111649,-0.16418549176864694,,,,
team1,1005,random,2,0.291232189712774,-0.6558654093548928,2.6259652940366003,1.337928698961816,3.9145636153356125,1.2085266532622259,0.17094141877949046,,,,
team1,1005,random,3,0.22970128483682517,-2.5311795801293533,2.781495403115565,0.5067157379326162,4.077987238973807,0.7681092448190264,-0.2749423948787738,,,,
team1,1005,random,4,0.7983217009163031,-1.512956947567598,2.582125800928314,0.8148703094143326,3.4505043596299108,1.1829362992904682,0.2291487399992513,,,,
team1,1747,real,-1,0.33179842720318675,-0.42552066672933053,1.3695387086809205,0.7207016566544703,2.483246099748374,1.1835948336466464,0.14571327223730343,151.0,4.333333333333333,0.0370592492159863,0.36885767641917305
team1,1747,random,0,2.3566252557186136,-0.7153105088642673,0.975686455407557,0.4690289195862265,1.5092828339365527,3.3392604941633226,0.9647437157671391,,,,
team1,1747,random,1,-0.9773448252051661,-1.6183678425339867,3.4436618773071803,1.6886390129334385,5.895691546932411,0.7517539453834249,-0.08092328017796355,,,,
team1,1747,random,2,0.8170325109327354,-0.3471954270349784,1.9292016938833871,0.710216122562149,2.2278326189748987,1.984875976439008,0.26165389645850706,,,,
team1,1747,random,3,0.4876411739652756,-0.575510629306318,0.8807939566562868,0.4820159910439447,1.2757591331451488,1.6546182818424962,0.1452935334457727,,,,
team1,1747,random,4,0.8297622754727393,-1.0284165368191838,1.8740460473955558,0.6032980108639147,2.1987305994649144,1.6761788675844935,0.28289653636271034,,,,
team2,1,real,-1,7.686302677749787,5.42671558461581,2.6555425669161004,1.0070171294042294,5.019518187720694,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,2.212391034497725,9.898693712247512
team2,2,real,-1,7.686302677749787,5.42671558461581,2.6555425669161004,1.0070171294042294,5.019518187720694,1.4896800188372323,3.615193636490826,12449.0,298.08333333333337,2.212391034497725,9.898693712247512
