variant,magnitude,shape,n_states
combined (shape x activity),0.8261613863774264,0.2974808805999586,9
"shape only, activity knocked out",0.13479066851155602,0.20485513873363267,3
"activity only, shape knocked out",0.7473764169502722,0.0803913227982023,3
"nine-box grid, for reference",0.9318120619675773,0.4581569609000941,9
