pair,bars,flat_bars,flat_pct,bad_high,bad_low,high_lt_low,nonpositive,dup_dates,jump_gt_10pct,weekend_bars
EURGBP,7192,10,0.139,32,37,0,0,0,2,844
EURAUD,5908,12,0.203,78,64,0,0,0,0,691
EURNZD,5909,4,0.068,111,82,0,0,0,0,691
EURUSD,5892,14,0.238,54,73,0,0,0,2,687
EURCAD,5895,4,0.068,41,41,0,0,0,0,687
EURCHF,6115,14,0.229,38,42,0,0,0,1,717
EURJPY,6117,12,0.196,117,113,0,0,0,0,717
GBPAUD,6038,12,0.199,82,82,0,0,0,0,711
GBPNZD,6036,4,0.066,94,77,0,0,0,0,710
GBPUSD,5904,17,0.288,53,49,0,0,0,0,691
GBPCAD,5909,12,0.203,51,44,0,0,0,0,691
GBPCHF,5950,2,0.034,40,55,0,0,0,1,694
GBPJPY,5908,13,0.22,106,78,0,0,0,1,691
AUDNZD,5911,12,0.203,99,59,0,0,0,0,691
AUDUSD,5267,13,0.247,65,79,0,0,0,0,621
AUDCAD,5911,15,0.254,59,68,0,0,0,1,691
AUDCHF,5883,53,0.901,146,146,0,0,0,1,685
AUDJPY,5911,13,0.22,114,111,0,0,0,4,691
NZDUSD,5893,25,0.424,181,184,0,0,0,0,687
NZDCAD,5908,15,0.254,79,72,0,0,0,0,691
NZDCHF,5881,13,0.221,64,63,0,0,0,1,687
NZDJPY,5908,12,0.203,122,113,0,0,0,1,691
USDCAD,5960,3,0.05,56,57,0,0,0,0,696
USDCHF,5958,14,0.235,47,54,0,0,0,1,696
USDJPY,7327,5,0.068,133,126,0,0,0,3,861
CADCHF,5908,4,0.068,57,40,0,0,0,1,691
CADJPY,5721,14,0.245,88,86,0,0,0,0,670
CHFJPY,5910,12,0.203,94,83,0,0,0,1,691
