# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
book,budget,trades,expectancy_pct_per_day,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,calmar,within_budget,randentry_null_max,randentry_p,shuffle_null_mean,shuffle_null_max,shuffle_p,sizing_c_median,sizing_c_maxdd
ALWAYS_ON,team1,7648503,0.01539138905995148,3.3805706182688775,2.5144075585891295,1.513690581732357,0.464224794322397,2.3062736640472665,1.4899335167878711,3.605463771487124,13.177884874508711,True,,,,,,,
ALWAYS_ON,team2,7648503,0.023087083589927223,5.070855927403316,3.7716113378836944,2.270535872598529,0.6963371914835954,3.4594104960709333,1.4899335167878711,3.605463771487124,13.177884874508749,True,,,,,,,
H10_ROUTED_repro,team1,1948908,0.02155390572385536,5.091258669796249,3.9266497830348186,1.8580732248721965,0.6385527721948022,3.0407998878806497,1.4934861695363433,3.9239188870044854,15.033778779110234,True,,,,,,,
H10_ROUTED_repro,team2,1948908,0.03233085858578304,7.636888004694375,5.889974674552228,2.787109837308293,0.9578291582922032,4.561199831820977,1.4934861695363433,3.923918887004485,15.033778779110245,True,,,,,,,
5pm TIRx ACTi,team1,2031080,0.019372774212234406,4.389590879592064,3.308186704193219,1.7929457410891594,0.560017459971619,3.317381497963576,1.4330702258686898,3.4437035711998707,14.003276732626604,True,0.275379439696801,0.0,3.2397378289422063,4.075191891178486,0.0,7.80581283086924,3.188315096951996
5pm TIRx ACTi,team2,2031080,0.029059161318351602,6.584386319388097,4.962280056289829,2.689418611633741,0.8400261899574285,4.976072246945377,1.4330702258686896,3.443703571199871,14.003276732626595,True,0.4130691595452014,0.0,4.859606743413309,6.11278783676773,0.0,,
5pm TIRi ACTi,team1,3161466,0.01412172276061848,3.227257373830549,1.917825693702112,2.228522356536949,0.7341605055797961,3.599649560597016,1.3328781486773984,2.5146196601701463,8.212505763775184,True,0.1755663570040331,0.0,2.7298543145649834,3.659976308193822,0.16,5.836397679794991,4.146869457301445
5pm TIRi ACTi,team2,3161466,0.02118258414092772,4.840886060745823,2.876738540553168,3.342783534805438,1.1012407583696942,5.399474340895524,1.3328781486773984,2.5146196601701463,8.21250576377515,True,0.2633495355060496,0.0,4.094781471847476,5.489964462290732,0.16,,
5pm TIRx ACTw,team1,1606206,0.022406175909403362,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,16.4025259886773,True,0.1997467264063733,0.0,3.6519056537708616,5.130282733597644,0.04,8.826326663054015,3.049409728697825
5pm TIRx ACTw,team2,1606206,0.033609263864105045,7.686302677749787,5.42671558461581,2.6555425669161004,1.0070171294042294,5.019518187720694,1.4896800188372323,3.615193636490826,16.40252598867729,True,0.2996200896095599,0.0,5.477858480656292,7.695424100396467,0.04,,
5pm TIRi ACTw,team1,2509094,0.01539414201153254,3.349715711099295,2.6959674554386326,2.310434136299847,0.8495020852102587,3.3742253979710983,1.3714676174631253,2.778792546519251,8.63509058037782,True,1.2284052137901738,0.0,2.894559776252626,3.587789770058972,0.16,5.896048169989401,4.534477018429335
5pm TIRi ACTw,team2,2509094,0.023091213017298814,5.024573566648943,4.043951183157948,3.4656512044497845,1.2742531278153884,5.061338096956657,1.3714676174631255,2.778792546519251,8.635090580377787,True,1.8426078206852607,0.0,4.341839664378939,5.381684655088459,0.16,,
