budget,structure,real_median_year,n,null_mean,null_p95,null_max,pctile_of_real,p_value,p_resolution
team1,NO_CUT,-0.532834542381696,25,-2.3080698024603015,-0.9322741523840736,-0.4783807790674242,96.0,0.04,0.04
team1,NO_CUT_SLICE_BALANCED,-0.21298804722963366,25,-1.4474198942003134,-0.7827899509506329,-0.14975572210389598,96.0,0.04,0.04
team2,NO_CUT,-0.799251813572544,25,-3.4621047036904526,-1.3984112285761106,-0.7175711686011365,96.0,0.04,0.04
team2,NO_CUT_SLICE_BALANCED,-0.31948207084445035,25,-2.17112984130047,-1.1741849264259492,-0.22463358315584364,96.0,0.04,0.04
