band,median_run,mean_run,under5,diagonal,n_runs
0.0,2.0,4.303118363697329,0.6942438806303789,0.7676103896103896,44735
0.05,3.0,5.126744433791414,0.6198732289336316,0.8049444214790155,37548
0.1,4.0,5.9761572133743135,0.5467386917512651,0.83266830378991,32211
0.15,5.0,6.7974857869275045,0.4831032169215015,0.8528867229380542,28319
0.2,5.0,7.605910940772057,0.42727883361650004,0.8685232846013292,25309
0.25,6.0,8.440629658861702,0.37639217749714987,0.8815254316180187,22806
