# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
,team1|NO_CUT,team2|NO_CUT
2016-01-04,-0.002663826940339309,-0.003995740410508964
2016-01-05,0.023460656037751274,0.03519098405662691
2016-01-06,0.10646856158351697,0.15970284237527546
2016-01-07,0.11927441216897004,0.17891161825345508
2016-01-08,0.05597321692524377,0.08395982538786566
2016-01-11,-0.0099695736194215,-0.014954360429132249
2016-01-12,-0.008832430578926232,-0.013248645868389348
2016-01-13,0.08916853104766902,0.13375279657150355
2016-01-14,-0.020437015952063705,-0.030655523928095563
2016-01-15,0.11665199369896735,0.17497799054845103
2016-01-18,0.02225733366368788,0.03338600049553182
2016-01-19,-0.049993527830820485,-0.07499029174623073
2016-01-20,-0.0745003781847747,-0.11175056727716205
2016-01-21,-0.02511263530923547,-0.037668952963853204
2016-01-22,0.025108389702509264,0.037662584553763895
2016-01-25,-0.05790546445071239,-0.08685819667606859
2016-01-26,-0.11975766238172245,-0.17963649357258368
2016-01-27,0.16473263618711423,0.24709895428067136
2016-01-28,-0.036379742988190966,-0.05456961448228645
2016-01-29,0.0334137707066197,0.05012065605992956
2016-02-01,-0.11697001883521764,-0.17545502825282647
2016-02-02,-0.09524246912341232,-0.1428637036851185
2016-02-03,0.11868436265697407,0.1780265439854611
2016-02-04,0.060418529695575054,0.09062779454336259
2016-02-05,-0.25764854264283976,-0.38647281396425964
2016-02-08,0.16118030541720435,0.24177045812580653
2016-02-09,0.1510473473554289,0.2265710210331434
2016-02-10,0.05184328581841501,0.07776492872762251
2016-02-11,0.21530577018591657,0.3229586552788749
2016-02-12,-0.29837905183551605,-0.44756857775327413
2016-02-15,-0.14691502963634775,-0.22037254445452165
2016-02-16,0.16546137085589302,0.24819205628383956
2016-02-17,0.1136020894205559,0.17040313413083386
2016-02-18,-0.0033563742816062623,-0.005034561422409394
2016-02-19,-0.02622225792420073,-0.0393333868863011
2016-02-22,0.34788760454930806,0.5218314068239621
2016-02-23,0.16192184869089354,0.24288277303634034
2016-02-24,0.17371072728202294,0.26056609092303445
2016-02-25,-0.07017042347841264,-0.10525563521761896
2016-02-26,-0.06482130426034545,-0.09723195639051817
2016-02-29,-0.010691221846729802,-0.016036832770094704
2016-03-01,-0.03228892365442455,-0.04843338548163684
2016-03-02,0.06012730971442478,0.09019096457163718
2016-03-03,-0.0688628320558454,-0.10329424808376811
2016-03-04,0.19295745321702232,0.2894361798255335
2016-03-07,0.03401142185358427,0.05101713278037641
2016-03-08,0.011652571809761158,0.01747885771464174
2016-03-09,0.06749036583765859,0.10123554875648791
2016-03-10,-0.23251450223096817,-0.3487717533464523
2016-03-11,0.004180485826295258,0.006270728739442888
2016-03-14,-0.06743321717289981,-0.10114982575934972
2016-03-15,0.03920834966360023,0.058812524495400344
2016-03-16,0.17281490012136697,0.2592223501820505
2016-03-17,0.22921455111666722,0.3438218266750009
2016-03-18,-0.11920404859081664,-0.17880607288622496
2016-03-21,-0.08882635973640916,-0.13323953960461377
2016-03-22,0.13705459862750388,0.20558189794125584
2016-03-23,-0.15982140976894546,-0.23973211465341818
2016-03-24,-0.1436621229681293,-0.21549318445219395
2016-03-25,-0.038356926628364964,-0.057535389942547456
2016-03-28,-0.07731742726528032,-0.11597614089792048
2016-03-29,0.14218334677178324,0.21327502015767488
2016-03-30,0.2854559160421406,0.4281838740632109
2016-03-31,0.11230414223068734,0.16845621334603103
2016-04-01,0.2691239289354038,0.4036858934031058
2016-04-04,-0.22583712909154477,-0.33875569363731717
2016-04-05,0.14667005614036088,0.22000508421054135
2016-04-06,0.10458639205327047,0.1568795880799057
2016-04-07,0.2001722840271317,0.3002584260406976
2016-04-08,-0.024702916498037214,-0.03705437474705582
2016-04-11,-0.10376563997650892,-0.1556484599647634
2016-04-12,-0.008379290748013746,-0.01256893612202062
2016-04-13,-0.07919077884650517,-0.11878616826975777
2016-04-14,-0.20913965356617484,-0.31370948034926227
2016-04-15,0.30910513879021734,0.46365770818532603
2016-04-18,-0.017128084935943994,-0.025692127403915997
2016-04-19,0.34450635952705977,0.5167595392905897
2016-04-20,0.04262863361581441,0.06394295042372163
2016-04-21,-0.3513788839406188,-0.5270683259109282
2016-04-22,-0.09160028430035388,-0.13740042645053083
2016-04-25,-0.13395687798706407,-0.2009353169805961
2016-04-26,0.1992358254198448,0.29885373812976723
2016-04-27,-0.43010970932548165,-0.6451645639882225
2016-04-28,0.11557215254451972,0.1733582288167796
2016-04-29,0.10340412236942756,0.15510618355414135
2016-05-02,-0.03968196949442591,-0.059522954241638865
2016-05-03,-0.0561094376569656,-0.0841641564854484
2016-05-04,-0.020096423168649336,-0.030144634752974006
2016-05-05,-0.07622271367187572,-0.11433407050781359
2016-05-06,0.4781943213252325,0.7172914819878488
2016-05-09,-0.022811969627759967,-0.034217954441639956
2016-05-10,-0.1606438154139059,-0.24096572312085887
2016-05-11,0.021042476357528785,0.031563714536293176
2016-05-12,-0.004350696628514553,-0.00652604494277183
2016-05-13,0.15898766140011023,0.23848149210016534
2016-05-16,-0.15139007766727958,-0.22708511650091937
2016-05-17,-0.1143408651167399,-0.17151129767510986
2016-05-18,0.29240528199043403,0.4386079229856511
2016-05-19,0.05118241289183954,0.07677361933775932
2016-05-20,-0.07041888000639812,-0.1056283200095972
2016-05-23,0.08670604785568994,0.13005907178353493
2016-05-24,0.05645767201710958,0.08468650802566437
2016-05-25,-0.05656179061677973,-0.08484268592516961
2016-05-26,-0.04172462999014538,-0.06258694498521808
2016-05-27,0.08979911813395439,0.1346986772009316
2016-05-30,-0.07062449798334557,-0.10593674697501836
2016-05-31,-0.13490801206244618,-0.20236201809366927
2016-06-01,0.0683960742471717,0.10259411137075757
2016-06-02,0.15453571940183083,0.23180357910274627
2016-06-03,0.27045368090287747,0.40568052135431626
2016-06-06,-0.3636316866668948,-0.5454475300003423
2016-06-07,0.15278555849612144,0.22917833774418217
2016-06-08,0.20314606356551382,0.30471909534827074
2016-06-09,0.42534452728754696,0.6380167909313205
2016-06-10,0.07972639928821613,0.11958959893232422
2016-06-13,-0.0655687886869223,-0.09835318303038347
2016-06-14,0.23602205745849417,0.35403308618774126
2016-06-15,-0.1863241376346174,-0.2794862064519261
2016-06-16,0.39299515904833016,0.5894927385724953
