structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.5794987796355529,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.3917575697564
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.3887397399402535,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.390242075485913
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.4689242113135286,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,13.162784510717174
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,1.0964733727335736,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,9.35736610980106
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.4796144942286384,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.821068708396417
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.258629573266279,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.453626449288878
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.4334617471040425,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.744339398841603
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.2879045143740042,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.9376484367727205
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.4442891042421517,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.381619522169098
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,1.25997444175959,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.474973331011392
