budget,structure,draw,median_year_pct,total_return_pct,members_step1,members_step2
team1,ALLPASS,0,5.6324181281005155,31.31476183640855,1094,1008
team1,STABLE,0,5.103798211889077,14.739283541642102,823,19
team1,PICKED,0,6.898465397863435,36.921019802580474,28,44
team1,FAMILY_CAP,0,1.9534578680042298,11.61051014885613,26,27
team1,ALLPASS,1,4.965010870377796,28.449550398172853,1094,1008
team1,STABLE,1,4.085165946414918,17.22647538204999,823,19
team1,PICKED,1,5.940997453533396,38.49019461225963,30,46
team1,FAMILY_CAP,1,-0.8896872781442895,1.287523860971742,28,26
team1,ALLPASS,2,4.807721725094233,27.295303633034962,1094,1008
team1,STABLE,2,4.114745211950449,17.981113701611896,823,19
team1,PICKED,2,10.396838269482734,65.84096242561361,33,43
team1,FAMILY_CAP,2,-0.018368100501171963,7.532178704906025,21,21
team1,ALLPASS,3,5.762478670123237,29.862475300765333,1094,1008
team1,STABLE,3,3.673711811176321,14.73464612430416,823,19
team1,PICKED,3,11.383877684302472,58.386593059010046,48,40
team1,FAMILY_CAP,3,0.9699850803452466,8.846091841611495,30,31
team1,ALLPASS,4,5.1533225532268805,28.97762132332086,1094,1008
team1,STABLE,4,4.186507573941367,15.239133042957269,823,19
team1,PICKED,4,7.569390769435948,52.394705687017236,43,23
team1,FAMILY_CAP,4,1.6730708628945845,10.345340000228232,27,25
team1,ALLPASS,5,4.16580244684268,24.9630877472881,1094,1008
team1,STABLE,5,3.5044601067913086,13.317954210165883,823,19
team1,PICKED,5,1.7567160371743802,7.881054001445842,9,28
team1,FAMILY_CAP,5,1.396770463104898,12.121828805922304,29,28
team1,ALLPASS,6,4.638971662012055,24.633972423656758,1094,1008
team1,STABLE,6,3.248912499241372,13.053799116037812,823,19
team1,PICKED,6,5.648274850420584,41.836828486315795,32,27
team1,FAMILY_CAP,6,0.19750383473805025,7.850412686358114,27,26
team1,ALLPASS,7,4.828000544886451,28.1245955853368,1094,1008
team1,STABLE,7,3.2262781443960233,14.522675276858859,823,19
team1,PICKED,7,1.3607863325463865,13.029138891053968,13,46
team1,FAMILY_CAP,7,-0.6274176398381917,1.612942880069995,23,21
team1,ALLPASS,8,4.856290113235691,26.33792227462041,1094,1008
team1,STABLE,8,3.066785862012705,16.60749097522246,823,19
team1,PICKED,8,9.348412802764601,58.70146219322699,44,39
team1,FAMILY_CAP,8,-0.7272372136616108,5.247259700121752,23,23
team1,ALLPASS,9,4.924942629952857,28.466246832746023,1094,1008
team1,STABLE,9,4.651052553836917,18.32941073181534,823,19
team1,PICKED,9,5.233696612431268,22.175448076361327,26,24
team1,FAMILY_CAP,9,1.0433398503403064,1.9083170089294341,23,21
team1,ALLPASS,10,5.0064324631654955,29.461812938834946,1094,1008
team1,STABLE,10,4.911148889835262,17.85941120413368,823,19
team1,PICKED,10,1.4751257047009945,12.239006973935876,26,15
team1,FAMILY_CAP,10,0.8875832679491004,5.236990942838295,27,28
team1,ALLPASS,11,4.615710876291745,27.716502624066216,1094,1008
team1,STABLE,11,4.62459649087562,16.106831642105128,823,19
team1,PICKED,11,6.735777611256704,34.57784401745617,38,25
team1,FAMILY_CAP,11,0.24919991411454412,4.586389675434225,26,26
team1,ALLPASS,12,5.084285509565253,29.602110523811522,1094,1008
team1,STABLE,12,4.670640944186546,17.488351866550584,823,19
team1,PICKED,12,9.56374089271231,54.24382893870887,37,31
team1,FAMILY_CAP,12,-0.1495376843636458,-0.4076643080103092,23,23
team1,ALLPASS,13,5.39656922280036,28.445901905431832,1094,1008
team1,STABLE,13,5.1257212301966035,17.68966590763799,823,19
team1,PICKED,13,3.104544726004698,25.2453620349838,10,55
team1,FAMILY_CAP,13,-0.808041611403625,-0.8840545634123684,20,22
