s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
ef_5,-1.006,-0.00209,0.5,-0.497,28.0,-0.543,-0.00119,0.607,-0.593,28.0,4,own-price
vr_5,0.047,0.0001,0.571,-0.293,28.0,-3.567,-0.00789,0.714,-0.869,28.0,6,own-price
ac1_5,-1.109,-0.0023,0.643,-0.564,28.0,1.473,0.00324,0.607,0.81,28.0,4,own-price
ac2_5,-0.255,-0.00053,0.536,-0.432,28.0,-4.945,-0.01078,0.679,-0.961,28.0,4,own-price
acsum_5,2.727,0.00558,0.786,0.938,28.0,6.141,0.01344,0.857,0.962,28.0,6,own-price
negac_5,1.335,0.00274,0.536,0.712,28.0,-1.516,-0.00331,0.607,-0.257,28.0,5,own-price
ddhigh_5,4.524,0.00928,0.643,0.694,28.0,6.563,0.01421,0.857,0.662,28.0,4,own-price
ddlow_5,2.662,0.0054,0.643,0.072,28.0,-1.438,-0.00311,0.607,-0.436,28.0,3,own-price
z_5,1.727,0.00357,0.5,0.76,28.0,0.533,0.00117,0.536,0.506,28.0,4,own-price
dpo_5,4.103,0.00836,0.643,0.432,28.0,2.856,0.00609,0.607,0.437,28.0,4,own-price
pctabove_5,4.961,0.01022,0.643,0.906,28.0,4.893,0.01067,0.571,0.858,28.0,4,own-price
bbw_5,-8.825,-0.01829,0.75,-0.931,28.0,-7.883,-0.01728,0.786,-0.977,28.0,6,own-price
rngcomp_5,-2.144,-0.00443,0.607,-0.792,28.0,-3.133,-0.00686,0.75,-0.923,28.0,5,own-price
volratio_5,2.101,0.00433,0.643,0.798,28.0,-0.069,-0.00015,0.571,0.335,28.0,2,own-price
dens_5,0.641,0.00133,0.464,0.516,28.0,-0.19,-0.00041,0.571,-0.107,28.0,2,own-price
ampratio_5,1.057,0.00219,0.5,0.501,28.0,0.621,0.00136,0.607,0.629,28.0,4,own-price
maslope_5,2.436,0.00505,0.571,0.858,28.0,1.053,0.00232,0.464,0.747,28.0,4,own-price
slopet_5,1.852,0.00384,0.607,0.839,28.0,0.346,0.00076,0.429,0.465,28.0,4,own-price
r2_5,-1.11,-0.00229,0.536,-0.246,28.0,-0.611,-0.00134,0.536,-0.684,28.0,5,own-price
hma_5,0.724,0.00149,0.5,0.842,28.0,-0.432,-0.00096,0.5,-0.172,28.0,3,own-price
kurt_5,-1.627,-0.00337,0.571,-0.901,28.0,-0.02,-4e-05,0.5,-0.283,28.0,3,own-price
skew_5,-2.061,-0.00427,0.643,-0.959,28.0,0.423,0.00093,0.464,-0.162,28.0,3,own-price
cv_5,-0.097,-0.0002,0.536,-0.425,28.0,1.566,0.00345,0.571,0.788,28.0,4,own-price
sharpe_5,3.081,0.00637,0.714,0.906,28.0,1.165,0.00255,0.5,0.656,28.0,3,own-price
absmom_5,-0.466,-0.00097,0.464,-0.37,28.0,-0.997,-0.00218,0.571,-0.606,28.0,6,own-price
turn_5,5.143,0.0107,0.607,0.868,28.0,0.837,0.00182,0.536,0.17,28.0,4,own-price
runmax_5,0.265,0.00055,0.464,-0.383,28.0,3.048,0.00657,0.679,0.514,28.0,3,own-price
signent_5,,,0.0,,0.0,,,0.0,,0.0,0,own-price
rsi_5,2.265,0.00469,0.643,0.867,28.0,1.64,0.00359,0.5,0.691,28.0,4,own-price
df_5,-0.441,-0.00091,0.464,-0.388,28.0,0.843,0.00184,0.607,0.38,28.0,4,own-price
ou_5,0.707,0.00178,0.643,0.614,28.0,-0.265,-0.00072,0.536,-0.38,28.0,3,own-price
hurst_5,,,0.0,,0.0,,,0.0,,0.0,0,own-price
maxdd_5,8.425,0.0172,0.714,0.904,28.0,8.172,0.01758,0.786,0.803,28.0,6,own-price
ddratio_5,3.642,0.00754,0.714,0.915,28.0,1.758,0.00385,0.643,0.646,28.0,4,own-price
accel_5,3.081,0.00637,0.714,0.906,28.0,1.165,0.00255,0.5,0.656,28.0,3,own-price
vov_5,-2.677,-0.00555,0.679,-0.552,28.0,-0.779,-0.00171,0.571,-0.646,28.0,4,own-price
tail_5,-0.529,-0.00109,0.429,0.188,28.0,1.446,0.00319,0.571,0.219,28.0,3,own-price
iqr_5,2.594,0.00537,0.643,0.722,28.0,0.074,0.00016,0.393,0.462,28.0,3,own-price
zc_5,3.364,0.007,0.679,0.938,28.0,4.527,0.00993,0.571,0.865,28.0,4,own-price
macorr_5,-0.966,-0.002,0.536,-0.871,28.0,-0.072,-0.00016,0.429,0.086,28.0,5,own-price
tstat_5,3.081,0.00637,0.714,0.906,28.0,1.165,0.00255,0.5,0.656,28.0,3,own-price
gap_5,0.925,0.00192,0.607,0.481,28.0,0.417,0.00091,0.464,0.628,28.0,3,own-price
updays_5,4.112,0.00847,0.679,0.85,28.0,0.026,6e-05,0.536,0.297,28.0,3,own-price
pathvol_5,0.727,0.00151,0.643,0.078,28.0,-1.977,-0.00435,0.536,-0.767,28.0,3,own-price
rngvol_5,-0.323,-0.00067,0.5,-0.346,28.0,-0.571,-0.00125,0.536,-0.156,28.0,4,own-price
ef_10,-0.639,-0.00131,0.5,0.048,28.0,-4.414,-0.00969,0.714,-0.957,28.0,4,own-price
vr_10,-2.01,-0.00415,0.536,-0.432,28.0,-0.337,-0.00073,0.607,-0.382,28.0,4,own-price
ac1_10,0.272,0.00056,0.5,0.354,28.0,1.859,0.00409,0.607,0.703,28.0,5,own-price
ac2_10,-0.358,-0.00074,0.643,-0.296,28.0,-8.718,-0.019,0.75,-0.977,28.0,5,own-price
acsum_10,5.136,0.01063,0.75,0.958,28.0,5.459,0.01189,0.821,0.948,28.0,6,own-price
negac_10,0.23,0.00048,0.464,0.03,28.0,-0.961,-0.00211,0.536,-0.069,28.0,5,own-price
ddhigh_10,6.11,0.01241,0.714,0.734,28.0,7.321,0.01561,0.857,0.66,28.0,5,own-price
ddlow_10,0.249,0.00051,0.464,0.072,28.0,-1.728,-0.00374,0.5,-0.331,28.0,3,own-price
z_10,2.861,0.00593,0.607,0.877,28.0,1.315,0.0029,0.5,0.659,28.0,3,own-price
dpo_10,4.04,0.0082,0.679,0.523,28.0,4.096,0.00862,0.5,0.362,28.0,4,own-price
pctabove_10,4.815,0.00988,0.643,0.73,28.0,4.824,0.01044,0.607,0.728,28.0,5,own-price
bbw_10,-11.532,-0.02396,0.714,-0.952,28.0,-11.932,-0.02643,0.75,-0.897,28.0,6,own-price
rngcomp_10,-5.004,-0.01023,0.679,-0.963,28.0,-3.5,-0.00774,0.607,-0.989,28.0,6,own-price
volratio_10,-1.048,-0.00217,0.5,-0.363,28.0,-0.101,-0.00022,0.5,-0.145,28.0,4,own-price
dens_10,1.58,0.00326,0.536,0.156,28.0,3.317,0.00722,0.679,0.938,28.0,5,own-price
ampratio_10,0.5,0.00102,0.5,-0.064,28.0,4.237,0.00931,0.75,0.96,28.0,4,own-price
maslope_10,2.485,0.00514,0.643,0.72,28.0,3.919,0.00854,0.607,0.81,28.0,4,own-price
slopet_10,2.517,0.0052,0.643,0.688,28.0,3.046,0.00665,0.571,0.858,28.0,4,own-price
r2_10,-2.306,-0.00474,0.679,-0.691,28.0,-3.432,-0.00745,0.607,-0.827,28.0,6,own-price
hma_10,2.359,0.00488,0.643,0.933,28.0,1.475,0.00325,0.536,0.796,28.0,3,own-price
kurt_10,-2.892,-0.00602,0.607,-0.886,28.0,-1.938,-0.00425,0.643,-0.717,28.0,4,own-price
skew_10,-3.617,-0.00743,0.714,-0.918,28.0,-2.222,-0.0049,0.607,-0.768,28.0,4,own-price
cv_10,-1.511,-0.00311,0.571,-0.712,28.0,0.131,0.00029,0.464,0.093,28.0,2,own-price
sharpe_10,3.245,0.00674,0.643,0.923,28.0,2.94,0.00634,0.571,0.652,28.0,4,own-price
absmom_10,-0.051,-0.0001,0.536,0.127,28.0,-4.706,-0.01035,0.75,-0.952,28.0,4,own-price
turn_10,6.137,0.01266,0.714,0.968,28.0,2.028,0.00438,0.536,0.668,28.0,5,own-price
runmax_10,-3.011,-0.0062,0.607,-0.089,28.0,-0.861,-0.00183,0.464,0.015,28.0,6,own-price
signent_10,4.175,0.00865,0.536,0.963,28.0,4.444,0.00965,0.643,0.661,28.0,5,own-price
rsi_10,3.003,0.00624,0.679,0.888,28.0,3.445,0.00744,0.536,0.694,28.0,4,own-price
df_10,-0.897,-0.00185,0.5,-0.33,28.0,-2.816,-0.00615,0.536,-0.843,28.0,6,own-price
ou_10,-2.12,-0.00463,0.607,-0.715,28.0,-4.026,-0.00928,0.714,-0.976,28.0,6,own-price
hurst_10,,,0.0,,0.0,,,0.0,,0.0,0,own-price
maxdd_10,10.759,0.02189,0.821,0.979,28.0,11.014,0.02385,0.714,0.763,28.0,6,own-price
ddratio_10,1.872,0.00387,0.643,0.65,28.0,0.032,7e-05,0.571,0.397,28.0,3,own-price
accel_10,3.388,0.00702,0.607,0.905,28.0,3.771,0.00813,0.571,0.643,28.0,4,own-price
vov_10,-0.08,-0.00016,0.536,0.159,28.0,-0.947,-0.00207,0.464,-0.224,28.0,3,own-price
tail_10,-0.959,-0.00196,0.5,-0.796,28.0,0.672,0.00148,0.571,0.348,28.0,3,own-price
iqr_10,1.226,0.00255,0.464,0.533,28.0,1.152,0.00255,0.5,0.254,28.0,3,own-price
zc_10,3.686,0.0076,0.571,0.735,28.0,5.345,0.01168,0.679,0.973,28.0,5,own-price
macorr_10,-1.951,-0.00403,0.571,-0.665,28.0,-5.457,-0.01199,0.786,-0.892,28.0,5,own-price
tstat_10,3.245,0.00674,0.643,0.923,28.0,2.94,0.00634,0.571,0.652,28.0,4,own-price
gap_10,2.639,0.00549,0.643,0.792,28.0,1.018,0.00224,0.429,0.656,28.0,3,own-price
updays_10,3.857,0.00786,0.643,0.839,28.0,2.11,0.0046,0.571,0.378,28.0,3,own-price
pathvol_10,1.113,0.0023,0.5,0.745,28.0,-1.826,-0.00399,0.536,-0.512,28.0,3,own-price
rngvol_10,-1.212,-0.0025,0.571,-0.24,28.0,-4.438,-0.00967,0.679,-0.892,28.0,5,own-price
ef_20,-3.059,-0.00629,0.643,-0.91,28.0,-5.401,-0.01185,0.607,-0.964,28.0,5,own-price
vr_20,-2.257,-0.00474,0.643,-0.857,28.0,-5.054,-0.01113,0.643,-0.902,28.0,3,own-price
ac1_20,3.629,0.00758,0.679,0.546,28.0,5.64,0.01234,0.679,0.964,28.0,5,own-price
ac2_20,-0.789,-0.00166,0.607,-0.002,28.0,-7.468,-0.01637,0.714,-0.948,28.0,4,own-price
acsum_20,-0.848,-0.00176,0.5,0.026,28.0,0.773,0.0017,0.571,0.538,28.0,2,own-price
negac_20,2.975,0.00621,0.5,0.631,28.0,2.016,0.00443,0.5,0.861,28.0,4,own-price
ddhigh_20,7.547,0.01533,0.75,0.845,28.0,6.753,0.01436,0.679,0.749,28.0,5,own-price
ddlow_20,-1.719,-0.00352,0.536,-0.124,28.0,-2.139,-0.00464,0.5,-0.592,28.0,4,own-price
z_20,3.072,0.0064,0.607,0.918,28.0,2.221,0.00482,0.5,0.761,28.0,3,own-price
dpo_20,1.631,0.00327,0.679,0.218,28.0,-0.511,-0.00108,0.607,-0.145,28.0,3,own-price
pctabove_20,-0.46,-0.00093,0.5,-0.233,28.0,-4.38,-0.00949,0.5,-0.594,28.0,4,own-price
bbw_20,-13.566,-0.02819,0.75,-0.917,28.0,-14.403,-0.03184,0.821,-0.941,28.0,6,own-price
rngcomp_20,-2.728,-0.0057,0.5,-0.719,28.0,-4.828,-0.01061,0.643,-0.916,28.0,5,own-price
volratio_20,-8.386,-0.01781,0.679,-0.883,28.0,3.787,0.00819,0.607,0.294,28.0,3,own-price
dens_20,2.774,0.0057,0.571,0.608,28.0,4.797,0.01059,0.607,0.894,28.0,4,own-price
ampratio_20,3.088,0.00635,0.643,0.9,28.0,5.295,0.0116,0.607,0.96,28.0,5,own-price
maslope_20,1.92,0.00393,0.607,0.493,28.0,0.517,0.00111,0.464,0.103,28.0,4,own-price
slopet_20,1.901,0.00388,0.643,0.468,28.0,1.159,0.0025,0.536,0.154,28.0,4,own-price
r2_20,-4.229,-0.00871,0.607,-0.852,28.0,-7.721,-0.01681,0.643,-0.988,28.0,5,own-price
hma_20,3.067,0.00638,0.607,0.726,28.0,4.326,0.00934,0.607,0.695,28.0,4,own-price
kurt_20,-1.494,-0.00307,0.393,-0.562,28.0,-4.298,-0.00945,0.607,-0.82,28.0,3,own-price
skew_20,-1.344,-0.0028,0.5,-0.676,28.0,-3.413,-0.00753,0.536,-0.902,28.0,3,own-price
cv_20,-0.023,-5e-05,0.357,0.012,28.0,-0.969,-0.00213,0.571,-0.117,28.0,2,own-price
sharpe_20,1.632,0.00332,0.536,0.506,28.0,-0.562,-0.00122,0.5,-0.189,28.0,3,own-price
absmom_20,-3.522,-0.00723,0.607,-0.85,28.0,-5.972,-0.01306,0.679,-0.903,28.0,6,own-price
turn_20,6.631,0.01364,0.714,0.754,28.0,1.085,0.00235,0.607,0.463,28.0,6,own-price
runmax_20,-1.028,-0.00213,0.571,-0.936,28.0,-0.527,-0.00114,0.464,-0.366,28.0,6,own-price
signent_20,5.451,0.01138,0.607,0.894,28.0,7.369,0.01606,0.75,0.912,28.0,5,own-price
rsi_20,1.561,0.00318,0.536,0.527,28.0,-0.798,-0.00173,0.5,-0.215,28.0,3,own-price
df_20,-1.091,-0.00226,0.607,-0.06,28.0,-5.598,-0.01227,0.679,-0.995,28.0,5,own-price
ou_20,-3.303,-0.00705,0.643,-0.446,28.0,-7.234,-0.01639,0.643,-0.99,28.0,5,own-price
hurst_20,-1.837,-0.0038,0.536,-0.444,28.0,0.272,0.00059,0.429,0.402,28.0,2,own-price
maxdd_20,10.327,0.02098,0.714,0.959,28.0,6.31,0.01371,0.679,0.808,28.0,6,own-price
ddratio_20,-1.338,-0.00275,0.5,0.049,28.0,-3.201,-0.00704,0.429,-0.278,28.0,4,own-price
accel_20,0.145,0.00029,0.536,0.241,28.0,-2.289,-0.00497,0.536,-0.3,28.0,3,own-price
vov_20,-1.201,-0.0025,0.536,-0.272,28.0,-7.391,-0.01604,0.714,-0.838,28.0,5,own-price
tail_20,0.884,0.00183,0.429,0.351,28.0,0.482,0.00106,0.464,0.366,28.0,3,own-price
iqr_20,-1.402,-0.0029,0.5,-0.376,28.0,-1.0,-0.00221,0.5,-0.301,28.0,3,own-price
zc_20,7.135,0.01467,0.75,0.688,28.0,6.696,0.01473,0.821,0.838,28.0,6,own-price
macorr_20,-1.433,-0.00294,0.643,0.066,28.0,-2.167,-0.00469,0.607,-0.422,28.0,4,own-price
tstat_20,1.632,0.00332,0.536,0.506,28.0,-0.562,-0.00122,0.5,-0.189,28.0,3,own-price
gap_20,2.754,0.00574,0.571,0.897,28.0,2.724,0.00592,0.536,0.783,28.0,3,own-price
updays_20,1.278,0.0026,0.679,0.241,28.0,0.12,0.00026,0.571,-0.061,28.0,2,own-price
pathvol_20,-2.003,-0.00408,0.571,-0.427,28.0,-2.039,-0.00449,0.714,-0.77,28.0,3,own-price
rngvol_20,-2.702,-0.00559,0.571,-0.616,28.0,-6.115,-0.01356,0.571,-0.957,28.0,4,own-price
ef_40,-3.292,-0.00676,0.679,-0.474,28.0,-5.142,-0.01139,0.607,-0.938,28.0,5,own-price
vr_40,-4.714,-0.0097,0.679,-0.632,28.0,-1.349,-0.00297,0.429,-0.544,28.0,4,own-price
ac1_40,1.216,0.00256,0.607,0.361,28.0,4.917,0.01076,0.643,0.938,28.0,5,own-price
ac2_40,2.168,0.00454,0.5,0.898,28.0,-5.108,-0.0112,0.643,-0.917,28.0,4,own-price
acsum_40,-3.356,-0.00705,0.536,-0.859,28.0,1.493,0.00329,0.429,0.656,28.0,3,own-price
negac_40,6.234,0.0129,0.714,0.857,28.0,4.174,0.00921,0.536,0.444,28.0,5,own-price
ddhigh_40,6.84,0.01389,0.643,0.895,28.0,4.85,0.01042,0.607,0.841,28.0,6,own-price
ddlow_40,-6.026,-0.01235,0.607,-0.754,28.0,-5.769,-0.01248,0.643,-0.8,28.0,5,own-price
z_40,1.42,0.00297,0.607,0.481,28.0,0.609,0.00132,0.464,-0.191,28.0,3,own-price
dpo_40,1.062,0.00213,0.643,-0.039,28.0,-0.753,-0.00159,0.571,-0.144,28.0,3,own-price
pctabove_40,0.392,0.0008,0.429,0.227,28.0,2.532,0.00552,0.5,0.224,28.0,3,own-price
bbw_40,-16.01,-0.03321,0.893,-0.967,28.0,-13.414,-0.02969,0.821,-0.883,28.0,6,own-price
rngcomp_40,4.041,0.00854,0.607,0.777,28.0,-0.598,-0.00133,0.536,0.033,28.0,2,own-price
volratio_40,-10.361,-0.02213,0.679,-0.898,28.0,-1.205,-0.00267,0.643,-0.562,28.0,5,own-price
dens_40,5.157,0.0106,0.714,0.749,28.0,4.909,0.01104,0.607,0.557,28.0,5,own-price
ampratio_40,3.145,0.00646,0.679,0.475,28.0,5.197,0.01151,0.607,0.94,28.0,5,own-price
maslope_40,-1.281,-0.00259,0.393,-0.454,28.0,-2.993,-0.00651,0.536,-0.531,28.0,4,own-price
slopet_40,-1.832,-0.00372,0.5,-0.672,28.0,-3.522,-0.00772,0.5,-0.715,28.0,4,own-price
r2_40,-6.776,-0.01382,0.75,-0.723,28.0,-3.313,-0.00729,0.679,-0.941,28.0,4,own-price
hma_40,0.531,0.00108,0.571,0.141,28.0,-1.753,-0.00377,0.536,-0.176,28.0,4,own-price
kurt_40,-6.908,-0.01405,0.679,-0.707,28.0,-6.457,-0.01419,0.75,-0.642,28.0,5,own-price
skew_40,-0.628,-0.0013,0.5,0.102,28.0,1.403,0.00305,0.393,0.421,28.0,3,own-price
cv_40,0.295,0.00061,0.571,0.011,28.0,-1.859,-0.0041,0.536,-0.466,28.0,3,own-price
sharpe_40,0.119,0.00024,0.607,-0.143,28.0,-1.199,-0.0026,0.536,-0.335,28.0,4,own-price
absmom_40,-3.076,-0.00632,0.607,-0.519,28.0,-5.581,-0.01234,0.679,-0.967,28.0,5,own-price
turn_40,7.797,0.01622,0.75,0.942,28.0,4.01,0.00874,0.5,0.43,28.0,6,own-price
runmax_40,-3.094,-0.00636,0.5,-0.193,28.0,-3.117,-0.00675,0.607,-0.63,28.0,6,own-price
signent_40,8.651,0.01809,0.714,0.983,28.0,3.962,0.0087,0.643,0.74,28.0,5,own-price
rsi_40,-0.281,-0.00057,0.429,-0.237,28.0,-1.479,-0.00322,0.5,-0.396,28.0,4,own-price
df_40,-3.667,-0.00759,0.679,-0.784,28.0,-5.774,-0.01272,0.714,-0.949,28.0,5,own-price
ou_40,-4.501,-0.00965,0.714,-0.908,28.0,-6.335,-0.01432,0.75,-0.869,28.0,5,own-price
hurst_40,-4.297,-0.00896,0.643,-0.848,28.0,-2.682,-0.00596,0.5,-0.872,28.0,5,own-price
maxdd_40,16.495,0.03438,0.893,0.915,28.0,10.92,0.02414,0.75,0.972,28.0,6,own-price
ddratio_40,3.303,0.00684,0.571,0.74,28.0,-1.846,-0.00399,0.536,-0.134,28.0,3,own-price
accel_40,-0.081,-0.00016,0.5,-0.347,28.0,-0.856,-0.00185,0.536,-0.146,28.0,4,own-price
vov_40,0.773,0.00164,0.5,-0.244,28.0,-3.275,-0.00719,0.464,-0.923,28.0,3,own-price
tail_40,1.865,0.00392,0.5,0.757,28.0,0.063,0.00014,0.571,0.088,28.0,4,own-price
iqr_40,-1.685,-0.00352,0.5,-0.6,28.0,-0.113,-0.00025,0.5,-0.262,28.0,4,own-price
zc_40,7.471,0.01562,0.571,0.984,28.0,11.045,0.02413,0.75,0.888,28.0,5,own-price
macorr_40,-0.293,-0.00061,0.5,-0.258,28.0,-2.279,-0.00492,0.571,-0.344,28.0,3,own-price
tstat_40,0.119,0.00024,0.607,-0.143,28.0,-1.199,-0.0026,0.536,-0.335,28.0,4,own-price
gap_40,0.759,0.00159,0.571,0.443,28.0,-0.581,-0.00126,0.536,-0.321,28.0,3,own-price
updays_40,-0.468,-0.00095,0.464,-0.275,28.0,-2.601,-0.00577,0.536,-0.743,28.0,3,own-price
pathvol_40,-2.092,-0.0043,0.643,-0.239,28.0,0.072,0.00016,0.536,0.046,28.0,2,own-price
rngvol_40,-5.634,-0.01151,0.714,-0.701,28.0,-7.443,-0.01656,0.786,-0.664,28.0,6,own-price
ef_60,-7.381,-0.01533,0.75,-0.989,28.0,-10.294,-0.02269,0.75,-0.952,28.0,6,own-price
vr_60,-12.765,-0.0273,0.679,-0.899,28.0,-10.044,-0.0226,0.714,-0.876,28.0,6,own-price
ac1_60,2.318,0.00486,0.571,0.679,28.0,-0.159,-0.00035,0.536,-0.447,28.0,3,own-price
ac2_60,1.079,0.00228,0.607,0.303,28.0,-4.717,-0.01027,0.571,-0.699,28.0,3,own-price
acsum_60,-6.028,-0.01281,0.571,-0.687,28.0,1.062,0.00231,0.429,0.128,28.0,2,own-price
negac_60,4.781,0.00994,0.679,0.729,28.0,6.662,0.01453,0.679,0.81,28.0,3,own-price
ddhigh_60,8.679,0.01774,0.75,0.961,28.0,6.509,0.01402,0.571,0.811,28.0,6,own-price
ddlow_60,-6.56,-0.01352,0.643,-0.776,28.0,-5.403,-0.01158,0.607,-0.722,28.0,5,own-price
z_60,1.393,0.0029,0.607,0.415,28.0,1.209,0.00262,0.571,-0.075,28.0,3,own-price
dpo_60,-1.217,-0.00246,0.536,-0.121,28.0,-0.395,-0.00084,0.536,-0.039,28.0,4,own-price
pctabove_60,-1.19,-0.00248,0.679,0.035,28.0,0.552,0.0012,0.571,0.038,28.0,4,own-price
bbw_60,-13.915,-0.0293,0.821,-0.974,28.0,-15.313,-0.03368,0.857,-0.943,28.0,6,own-price
rngcomp_60,7.121,0.01545,0.607,0.938,28.0,3.351,0.00734,0.607,0.634,28.0,5,own-price
volratio_60,-9.455,-0.0206,0.643,-0.896,28.0,-5.061,-0.01126,0.679,-0.814,28.0,5,own-price
dens_60,8.493,0.01765,0.786,0.795,28.0,10.998,0.02455,0.714,0.859,28.0,6,own-price
ampratio_60,7.406,0.01539,0.75,0.987,28.0,10.366,0.02286,0.75,0.947,28.0,6,own-price
maslope_60,-1.458,-0.00297,0.5,-0.05,28.0,0.699,0.00151,0.536,0.0,28.0,2,own-price
slopet_60,0.094,0.00019,0.5,0.124,28.0,1.813,0.00394,0.643,0.105,28.0,3,own-price
r2_60,-5.08,-0.01072,0.679,-0.774,28.0,-6.542,-0.0143,0.643,-0.782,28.0,4,own-price
hma_60,-2.008,-0.00408,0.5,-0.297,28.0,-6.163,-0.01343,0.607,-0.79,28.0,5,own-price
kurt_60,-2.751,-0.00563,0.571,-0.265,28.0,-9.31,-0.02029,0.714,-0.642,28.0,4,own-price
skew_60,0.91,0.00191,0.536,0.588,28.0,-6.069,-0.01318,0.643,-0.923,28.0,3,own-price
cv_60,3.185,0.00662,0.679,0.613,28.0,-8.355,-0.01834,0.679,-0.95,28.0,3,own-price
sharpe_60,-0.136,-0.00028,0.429,0.141,28.0,1.021,0.00219,0.571,0.105,28.0,3,own-price
absmom_60,-7.441,-0.01542,0.786,-0.983,28.0,-10.634,-0.02343,0.786,-0.943,28.0,5,own-price
turn_60,6.789,0.01435,0.714,0.867,28.0,9.772,0.02105,0.75,0.76,28.0,6,own-price
runmax_60,-3.625,-0.00748,0.643,-0.667,28.0,-7.283,-0.01584,0.571,-0.53,28.0,6,own-price
signent_60,7.141,0.01481,0.679,0.937,28.0,4.176,0.00894,0.643,0.743,28.0,5,own-price
rsi_60,-0.094,-0.00019,0.429,0.157,28.0,0.416,0.00089,0.5,0.077,28.0,2,own-price
df_60,-2.887,-0.00601,0.536,-0.622,28.0,-5.316,-0.0118,0.643,-0.866,28.0,5,own-price
ou_60,-3.655,-0.0079,0.607,-0.621,28.0,-6.918,-0.01576,0.607,-0.89,28.0,5,own-price
hurst_60,-8.41,-0.01758,0.714,-0.913,28.0,-2.709,-0.00596,0.536,-0.376,28.0,5,own-price
maxdd_60,10.104,0.0214,0.75,0.922,28.0,11.225,0.02513,0.679,0.821,28.0,5,own-price
ddratio_60,-1.036,-0.00217,0.536,0.063,28.0,-3.937,-0.00876,0.536,-0.317,28.0,3,own-price
accel_60,-2.254,-0.00454,0.464,-0.176,28.0,-0.889,-0.00191,0.536,-0.022,28.0,3,own-price
vov_60,0.515,0.00109,0.5,-0.138,28.0,5.236,0.01127,0.643,0.471,28.0,3,own-price
tail_60,4.638,0.00995,0.643,0.505,28.0,-3.787,-0.00836,0.643,-0.939,28.0,3,own-price
iqr_60,-6.907,-0.01447,0.75,-0.89,28.0,4.254,0.00932,0.571,0.822,28.0,2,own-price
zc_60,1.001,0.00208,0.5,0.513,28.0,5.72,0.01253,0.643,0.788,28.0,5,own-price
macorr_60,0.712,0.0015,0.571,-0.111,28.0,0.764,0.0017,0.464,0.326,28.0,3,own-price
tstat_60,-0.136,-0.00028,0.429,0.141,28.0,1.021,0.00219,0.571,0.105,28.0,3,own-price
gap_60,2.135,0.00443,0.607,0.394,28.0,-0.203,-0.00044,0.429,-0.294,28.0,3,own-price
updays_60,0.657,0.00134,0.571,0.132,28.0,-0.83,-0.00182,0.571,0.218,28.0,3,own-price
pathvol_60,-3.756,-0.00777,0.679,-0.73,28.0,6.544,0.01433,0.643,0.894,28.0,3,own-price
rngvol_60,-8.336,-0.01727,0.679,-0.881,28.0,-10.429,-0.02301,0.643,-0.965,28.0,6,own-price
ef_90,-4.313,-0.00907,0.714,-0.678,28.0,-1.896,-0.00413,0.571,-0.709,28.0,5,own-price
vr_90,-5.943,-0.01252,0.714,-0.736,28.0,-4.846,-0.01101,0.536,-0.253,28.0,4,own-price
ac1_90,-0.86,-0.00184,0.464,-0.217,28.0,1.595,0.00359,0.607,0.119,28.0,3,own-price
ac2_90,-2.531,-0.00542,0.571,-0.178,28.0,-4.132,-0.00931,0.571,-0.613,28.0,3,own-price
acsum_90,-7.781,-0.01645,0.679,-0.901,28.0,-5.225,-0.01171,0.714,-0.917,28.0,6,own-price
negac_90,7.878,0.01631,0.75,0.953,28.0,10.131,0.02221,0.821,0.898,28.0,5,own-price
ddhigh_90,8.367,0.01728,0.75,0.999,28.0,4.914,0.01057,0.607,0.791,28.0,4,own-price
ddlow_90,-9.042,-0.01857,0.821,-0.831,28.0,-4.667,-0.00996,0.643,-0.564,28.0,5,own-price
z_90,1.845,0.00384,0.607,0.313,28.0,0.706,0.00152,0.536,-0.066,28.0,3,own-price
dpo_90,-0.733,-0.00151,0.571,-0.082,28.0,-1.878,-0.00397,0.571,-0.088,28.0,3,own-price
pctabove_90,-3.504,-0.00746,0.536,-0.228,28.0,-2.576,-0.00558,0.571,-0.425,28.0,5,own-price
bbw_90,-17.356,-0.03719,0.821,-0.933,28.0,-15.105,-0.03322,0.821,-0.797,28.0,6,own-price
rngcomp_90,14.297,0.03145,0.75,0.977,28.0,7.126,0.01594,0.679,0.674,28.0,6,own-price
volratio_90,-12.932,-0.02922,0.75,-0.958,28.0,-7.553,-0.01653,0.714,-0.459,28.0,6,own-price
dens_90,11.388,0.02379,0.821,0.941,28.0,5.573,0.01225,0.714,0.721,28.0,6,own-price
ampratio_90,4.157,0.00874,0.714,0.673,28.0,1.95,0.00425,0.571,0.712,28.0,5,own-price
maslope_90,-3.855,-0.00789,0.607,-0.181,28.0,-0.774,-0.00168,0.5,-0.07,28.0,2,own-price
slopet_90,-1.787,-0.00367,0.571,-0.103,28.0,0.728,0.00161,0.536,-0.002,28.0,4,own-price
r2_90,-6.528,-0.01372,0.679,-0.782,28.0,-4.977,-0.01101,0.607,-0.621,28.0,4,own-price
hma_90,0.001,0.0,0.536,-0.13,28.0,-2.627,-0.00565,0.643,-0.29,28.0,4,own-price
kurt_90,-3.507,-0.00731,0.643,-0.903,28.0,-5.006,-0.01107,0.679,-0.988,28.0,5,own-price
