s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
za_cx2_s25_pl,-8.558,-0.02045,0.643,-0.572,28.0,-10.611,-0.02307,0.75,-0.805,28.0,4,trend-duration
za_cx2_m30_pl,-4.032,-0.00999,0.643,-0.653,28.0,-15.741,-0.03409,0.893,-0.813,28.0,5,trend-duration
za_cx2_x30_pl,-6.348,-0.01593,0.75,-0.774,28.0,-7.783,-0.01708,0.75,-0.838,28.0,4,trend-duration
za_cx2_s30_pl,-5.625,-0.01351,0.643,-0.518,28.0,-9.179,-0.01982,0.75,-0.675,28.0,4,trend-duration
za_cx2_m40_pl,-4.633,-0.01139,0.571,-0.566,28.0,-7.065,-0.01539,0.786,-0.709,28.0,4,trend-duration
za_cx2_x40_pl,-7.203,-0.01763,0.786,-0.774,28.0,-8.249,-0.01841,0.786,-0.908,28.0,4,trend-duration
za_cx2_s40_pl,-4.997,-0.01213,0.607,-0.604,28.0,-6.839,-0.01464,0.714,-0.605,28.0,3,trend-duration
za_cx2_m50_pl,-5.872,-0.01424,0.571,-0.247,28.0,-2.42,-0.00543,0.571,-0.79,28.0,4,trend-duration
za_cx2_x50_pl,-4.675,-0.0114,0.679,-0.739,28.0,-9.276,-0.02091,0.75,-0.776,28.0,4,trend-duration
za_cx2_s50_pl,-5.854,-0.01438,0.643,-0.712,28.0,-6.968,-0.01521,0.679,-0.505,28.0,4,trend-duration
za_cx2_m60_pl,-6.274,-0.01515,0.714,-0.188,28.0,-0.208,-0.00047,0.571,-0.327,28.0,4,trend-duration
za_cx2_x60_pl,-8.662,-0.02107,0.714,-0.888,28.0,-9.018,-0.02052,0.714,-0.768,28.0,4,trend-duration
za_cx2_s60_pl,-3.961,-0.0097,0.607,-0.678,28.0,-5.018,-0.01119,0.643,-0.649,28.0,4,trend-duration
za_cx2_m75_pl,-10.317,-0.02532,0.893,-0.665,28.0,-1.44,-0.00335,0.464,-0.296,28.0,4,trend-duration
za_cx2_x75_pl,-13.763,-0.03351,0.857,-0.853,28.0,-7.287,-0.01638,0.75,-0.772,28.0,4,trend-duration
za_cx2_s75_pl,-7.181,-0.01763,0.714,-0.647,28.0,-5.232,-0.01204,0.75,-0.399,28.0,4,trend-duration
za_cx2_m90_pl,-9.86,-0.02422,0.786,-0.755,28.0,-6.356,-0.01475,0.643,-0.632,28.0,4,trend-duration
za_cx2_x90_pl,-10.098,-0.02461,0.821,-0.46,28.0,-6.31,-0.01386,0.75,-0.627,28.0,4,trend-duration
za_cx2_s90_pl,-1.711,-0.00428,0.643,-0.459,28.0,-10.12,-0.02323,0.857,-0.662,28.0,3,trend-duration
za_cx2_m120_pl,-6.706,-0.01691,0.643,-0.336,28.0,-2.753,-0.00622,0.607,-0.565,28.0,4,trend-duration
za_cx2_x120_pl,-2.99,-0.00717,0.536,-0.231,28.0,-4.827,-0.01113,0.75,-0.416,28.0,4,trend-duration
za_cx2_s120_pl,-5.705,-0.01413,0.679,-0.238,28.0,-2.196,-0.00505,0.714,-0.321,28.0,4,trend-duration
za_cx2_m150_pl,-6.174,-0.01572,0.679,-0.167,28.0,-1.792,-0.00409,0.679,-0.35,28.0,4,trend-duration
za_cx2_x150_pl,-2.362,-0.00582,0.536,-0.101,28.0,0.473,0.00107,0.393,-0.252,28.0,3,trend-duration
za_cx2_s150_pl,-4.012,-0.00987,0.607,-0.024,28.0,-3.488,-0.00802,0.679,-0.055,28.0,3,trend-duration
za_cx2_m180_pl,0.251,0.00064,0.536,-0.043,28.0,1.539,0.00344,0.607,0.309,28.0,1,trend-duration
za_cx2_x180_pl,5.087,0.0123,0.679,0.37,28.0,2.091,0.00461,0.5,-0.023,28.0,3,trend-duration
za_cx2_s180_pl,-3.233,-0.00806,0.536,0.089,28.0,1.672,0.00375,0.571,0.682,28.0,2,trend-duration
za_cx2_m250_pl,-1.704,-0.00432,0.536,-0.239,28.0,1.18,0.00262,0.643,0.388,28.0,1,trend-duration
za_cx2_x250_pl,-4.013,-0.01042,0.679,0.26,28.0,4.601,0.00985,0.607,0.138,28.0,2,trend-duration
za_cx2_s250_pl,9.706,0.02401,0.786,0.569,28.0,0.817,0.00176,0.643,0.013,28.0,4,trend-duration
za_cx2_m375_pl,-1.259,-0.00328,0.5,0.315,28.0,6.568,0.0147,0.786,0.86,28.0,5,trend-duration
za_cx2_x375_pl,0.531,0.00139,0.536,0.361,28.0,-4.289,-0.01021,0.571,-0.462,28.0,1,trend-duration
za_cx2_s375_pl,6.233,0.01639,0.571,0.576,28.0,5.904,0.01316,0.679,0.813,28.0,4,trend-duration
za_cx2_m500_pl,3.581,0.00961,0.679,0.4,28.0,3.381,0.00743,0.679,0.068,28.0,4,trend-duration
za_cx2_x500_pl,4.552,0.0169,0.679,0.024,28.0,-1.707,-0.00393,0.536,-0.298,28.0,1,trend-duration
za_cx2_s500_pl,1.637,0.00443,0.571,0.216,28.0,1.507,0.00334,0.5,0.165,28.0,3,trend-duration
za_cx2_m750_pl,8.318,0.02576,0.75,0.394,28.0,2.454,0.00537,0.536,0.053,28.0,5,trend-duration
za_cx2_x750_pl,-6.002,-0.02655,0.536,-0.193,28.0,4.635,0.01176,0.643,0.271,28.0,3,trend-duration
za_cx2_s750_pl,4.551,0.01433,0.714,0.65,28.0,3.803,0.00837,0.5,0.085,28.0,3,trend-duration
za_cx2.5_m5_pl,-6.621,-0.01635,0.75,-0.319,28.0,-6.266,-0.01398,0.679,-0.954,28.0,5,trend-duration
za_cx2.5_x5_pl,-7.228,-0.01784,0.714,-0.201,28.0,-8.238,-0.01837,0.786,-0.599,28.0,4,trend-duration
za_cx2.5_s5_pl,-6.936,-0.01712,0.714,-0.233,28.0,-7.049,-0.01571,0.679,-0.548,28.0,5,trend-duration
za_cx2.5_m8_pl,-3.902,-0.00966,0.643,-0.145,28.0,-11.346,-0.02559,0.786,-0.667,28.0,5,trend-duration
za_cx2.5_x8_pl,-4.653,-0.01143,0.607,-0.139,28.0,-9.21,-0.02047,0.714,-0.539,28.0,4,trend-duration
za_cx2.5_s8_pl,-4.271,-0.0105,0.607,-0.16,28.0,-8.472,-0.0188,0.714,-0.771,28.0,5,trend-duration
za_cx2.5_m10_pl,-6.978,-0.01726,0.679,-0.034,28.0,-9.781,-0.02201,0.786,-0.684,28.0,5,trend-duration
za_cx2.5_x10_pl,-8.594,-0.02102,0.75,-0.276,28.0,-9.119,-0.02032,0.679,-0.593,28.0,5,trend-duration
za_cx2.5_s10_pl,-7.847,-0.01919,0.679,-0.263,28.0,-9.682,-0.02153,0.786,-0.727,28.0,5,trend-duration
za_cx2.5_m15_pl,-8.26,-0.02025,0.643,-0.368,28.0,-11.335,-0.02523,0.75,-0.728,28.0,4,trend-duration
za_cx2.5_x15_pl,-9.271,-0.02261,0.821,-0.779,28.0,-9.683,-0.02164,0.714,-0.535,28.0,5,trend-duration
za_cx2.5_s15_pl,-10.858,-0.02669,0.821,-0.933,28.0,-11.013,-0.02469,0.786,-0.611,28.0,5,trend-duration
za_cx2.5_m20_pl,-12.591,-0.03169,0.821,-0.555,28.0,-11.458,-0.02523,0.75,-0.934,28.0,4,trend-duration
za_cx2.5_x20_pl,-7.236,-0.01755,0.643,-0.65,28.0,-12.502,-0.02757,0.786,-0.719,28.0,5,trend-duration
za_cx2.5_s20_pl,-10.776,-0.02628,0.75,-0.761,28.0,-12.895,-0.02848,0.75,-0.834,28.0,5,trend-duration
za_cx2.5_m25_pl,-9.355,-0.02307,0.679,-0.664,28.0,-9.468,-0.0207,0.714,-0.844,28.0,4,trend-duration
za_cx2.5_x25_pl,-10.836,-0.02691,0.857,-0.594,28.0,-9.789,-0.02136,0.714,-0.837,28.0,4,trend-duration
za_cx2.5_s25_pl,-13.838,-0.0342,0.821,-0.708,28.0,-7.731,-0.01705,0.679,-0.811,28.0,4,trend-duration
za_cx2.5_m30_pl,-8.904,-0.02176,0.679,-0.552,28.0,-8.386,-0.01859,0.75,-0.873,28.0,4,trend-duration
za_cx2.5_x30_pl,-9.082,-0.02234,0.714,-0.453,28.0,-9.102,-0.01966,0.75,-0.848,28.0,4,trend-duration
za_cx2.5_s30_pl,-9.931,-0.02452,0.786,-0.638,28.0,-7.916,-0.01732,0.714,-0.786,28.0,4,trend-duration
za_cx2.5_m40_pl,-3.789,-0.00948,0.643,-0.765,28.0,-5.986,-0.01312,0.679,-0.742,28.0,3,trend-duration
za_cx2.5_x40_pl,-3.629,-0.0089,0.607,-0.529,28.0,-9.243,-0.01963,0.821,-0.558,28.0,3,trend-duration
za_cx2.5_s40_pl,-5.236,-0.01283,0.714,-0.677,28.0,-7.692,-0.01657,0.75,-0.65,28.0,4,trend-duration
za_cx2.5_m50_pl,-1.253,-0.00313,0.643,-0.599,28.0,-2.137,-0.00477,0.571,-0.594,28.0,2,trend-duration
za_cx2.5_x50_pl,-0.452,-0.00111,0.5,-0.451,28.0,-6.751,-0.01469,0.679,-0.537,28.0,4,trend-duration
za_cx2.5_s50_pl,-3.778,-0.00933,0.607,-0.583,28.0,-5.062,-0.01114,0.643,-0.479,28.0,3,trend-duration
za_cx2.5_m60_pl,-4.89,-0.0122,0.643,-0.738,28.0,-1.057,-0.00236,0.464,-0.559,28.0,3,trend-duration
