pair,frm,to,share,n
EURJPY,trending,neither,0.43137254901960786,51
EURJPY,ranging,trending,0.14634146341463414,41
EURJPY,ranging,trend-in-range,0.43902439024390244,41
EURJPY,ranging,neither,0.4146341463414634,41
EURJPY,trend-in-range,trending,0.6382978723404256,47
EURJPY,trend-in-range,ranging,0.19148936170212766,47
EURJPY,trend-in-range,neither,0.1702127659574468,47
EURJPY,neither,trending,0.3191489361702128,47
EURJPY,neither,ranging,0.5957446808510638,47
EURJPY,neither,trend-in-range,0.0851063829787234,47
GBPAUD,trending,ranging,0.12962962962962962,54
GBPAUD,trending,trend-in-range,0.48148148148148145,54
GBPAUD,trending,neither,0.3888888888888889,54
GBPAUD,ranging,trending,0.125,40
GBPAUD,ranging,trend-in-range,0.475,40
GBPAUD,ranging,neither,0.4,40
GBPAUD,trend-in-range,trending,0.5961538461538461,52
GBPAUD,trend-in-range,ranging,0.28846153846153844,52
GBPAUD,trend-in-range,neither,0.11538461538461539,52
GBPAUD,neither,trending,0.4418604651162791,43
GBPAUD,neither,ranging,0.4186046511627907,43
GBPAUD,neither,trend-in-range,0.13953488372093023,43
GBPNZD,trending,ranging,0.13636363636363635,44
GBPNZD,trending,trend-in-range,0.3409090909090909,44
GBPNZD,trending,neither,0.5227272727272727,44
GBPNZD,ranging,trending,0.07936507936507936,63
GBPNZD,ranging,trend-in-range,0.4444444444444444,63
GBPNZD,ranging,neither,0.47619047619047616,63
GBPNZD,trend-in-range,trending,0.32,50
GBPNZD,trend-in-range,ranging,0.52,50
GBPNZD,trend-in-range,neither,0.16,50
GBPNZD,neither,trending,0.3770491803278688,61
GBPNZD,neither,ranging,0.5081967213114754,61
GBPNZD,neither,trend-in-range,0.11475409836065574,61
GBPUSD,trending,ranging,0.10344827586206896,58
GBPUSD,trending,trend-in-range,0.4482758620689655,58
GBPUSD,trending,neither,0.4482758620689655,58
GBPUSD,ranging,trending,0.06,50
GBPUSD,ranging,trend-in-range,0.62,50
GBPUSD,ranging,neither,0.32,50
GBPUSD,trend-in-range,trending,0.5166666666666667,60
GBPUSD,trend-in-range,ranging,0.35,60
GBPUSD,trend-in-range,neither,0.13333333333333333,60
GBPUSD,neither,trending,0.47058823529411764,51
GBPUSD,neither,ranging,0.47058823529411764,51
GBPUSD,neither,trend-in-range,0.058823529411764705,51
GBPCAD,trending,ranging,0.08695652173913043,46
GBPCAD,trending,trend-in-range,0.4782608695652174,46
GBPCAD,trending,neither,0.43478260869565216,46
GBPCAD,ranging,trending,0.1568627450980392,51
GBPCAD,ranging,trend-in-range,0.5098039215686274,51
GBPCAD,ranging,neither,0.3333333333333333,51
GBPCAD,trend-in-range,trending,0.45098039215686275,51
GBPCAD,trend-in-range,ranging,0.49019607843137253,51
GBPCAD,trend-in-range,neither,0.058823529411764705,51
GBPCAD,neither,trending,0.375,40
GBPCAD,neither,ranging,0.525,40
GBPCAD,neither,trend-in-range,0.1,40
GBPCHF,trending,ranging,0.14893617021276595,47
GBPCHF,trending,trend-in-range,0.3617021276595745,47
GBPCHF,trending,neither,0.48936170212765956,47
GBPCHF,ranging,trending,0.0392156862745098,51
GBPCHF,ranging,trend-in-range,0.5882352941176471,51
GBPCHF,ranging,neither,0.37254901960784315,51
GBPCHF,trend-in-range,trending,0.4528301886792453,53
GBPCHF,trend-in-range,ranging,0.4716981132075472,53
GBPCHF,trend-in-range,neither,0.07547169811320754,53
GBPCHF,neither,trending,0.43478260869565216,46
GBPCHF,neither,ranging,0.41304347826086957,46
GBPCHF,neither,trend-in-range,0.15217391304347827,46
GBPJPY,trending,ranging,0.10204081632653061,49
GBPJPY,trending,trend-in-range,0.5102040816326531,49
GBPJPY,trending,neither,0.3877551020408163,49
GBPJPY,ranging,trending,0.057692307692307696,52
GBPJPY,ranging,trend-in-range,0.5,52
GBPJPY,ranging,neither,0.4423076923076923,52
GBPJPY,trend-in-range,trending,0.5660377358490566,53
GBPJPY,trend-in-range,ranging,0.37735849056603776,53
GBPJPY,trend-in-range,neither,0.05660377358490566,53
GBPJPY,neither,trending,0.35555555555555557,45
GBPJPY,neither,ranging,0.6,45
GBPJPY,neither,trend-in-range,0.044444444444444446,45
AUDNZD,trending,ranging,0.0847457627118644,59
AUDNZD,trending,trend-in-range,0.5084745762711864,59
AUDNZD,trending,neither,0.4067796610169492,59
AUDNZD,ranging,trending,0.21951219512195122,41
AUDNZD,ranging,trend-in-range,0.5121951219512195,41
AUDNZD,ranging,neither,0.2682926829268293,41
AUDNZD,trend-in-range,trending,0.5666666666666667,60
AUDNZD,trend-in-range,ranging,0.25,60
AUDNZD,trend-in-range,neither,0.18333333333333332,60
AUDNZD,neither,trending,0.3695652173913043,46
AUDNZD,neither,ranging,0.45652173913043476,46
AUDNZD,neither,trend-in-range,0.17391304347826086,46
AUDUSD,trending,ranging,0.07692307692307693,52
AUDUSD,trending,trend-in-range,0.36538461538461536,52
AUDUSD,trending,neither,0.5576923076923077,52
AUDUSD,ranging,trending,0.06382978723404255,47
AUDUSD,ranging,trend-in-range,0.5319148936170213,47
AUDUSD,ranging,neither,0.40425531914893614,47
AUDUSD,trend-in-range,trending,0.43137254901960786,51
AUDUSD,trend-in-range,ranging,0.47058823529411764,51
AUDUSD,trend-in-range,neither,0.09803921568627451,51
AUDUSD,neither,trending,0.5,52
AUDUSD,neither,ranging,0.36538461538461536,52
AUDUSD,neither,trend-in-range,0.1346153846153846,52
AUDCAD,trending,ranging,0.11538461538461539,52
AUDCAD,trending,trend-in-range,0.3269230769230769,52
AUDCAD,trending,neither,0.5576923076923077,52
AUDCAD,ranging,trending,0.02127659574468085,47
AUDCAD,ranging,trend-in-range,0.40425531914893614,47
AUDCAD,ranging,neither,0.574468085106383,47
AUDCAD,trend-in-range,trending,0.5714285714285714,42
AUDCAD,trend-in-range,ranging,0.23809523809523808,42
AUDCAD,trend-in-range,neither,0.19047619047619047,42
AUDCAD,neither,trending,0.42857142857142855,63
AUDCAD,neither,ranging,0.47619047619047616,63
AUDCAD,neither,trend-in-range,0.09523809523809523,63
AUDCHF,trending,ranging,0.16363636363636364,55
AUDCHF,trending,trend-in-range,0.41818181818181815,55
AUDCHF,trending,neither,0.41818181818181815,55
AUDCHF,ranging,trending,0.14285714285714285,56
AUDCHF,ranging,trend-in-range,0.39285714285714285,56
