structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.3112502765773348,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.970592974084448
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.2687937084521723,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,12.313870886797606
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,0.9653238688225951,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.164187122466837
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.898456036828283,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,7.278466104707549
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,0.9558125652262844,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.091282372103603
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,0.7356628896909996,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,6.035138547855027
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.0130065638909238,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.035286563976053
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,0.9610022267661948,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.645146573941826
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.0102133195794543,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.947850263550424
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,0.8582000020922536,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,8.4086309975734
