window_end,block,mean_kappa,neff_equicorr,neff_eigen
2000-11-15,is,0.0077079723408520345,23.176596707777048,15.429427829532287
2000-12-15,is,0.009528943950092943,22.270271452536473,16.63810622102708
2001-01-18,is,0.014977001633836412,19.937637290560012,17.45573071602002
2001-02-16,is,0.03689545405106175,14.02681042900735,17.173667247253658
2001-03-20,is,0.03760822461086067,13.892871618948151,16.505269173938643
2001-04-18,is,0.043774617340410875,12.832765830944835,14.812640882814607
2001-05-17,is,0.04141487702940784,13.218760171469087,13.600485642332929
2001-06-18,is,0.0391974636015889,13.603250868696566,13.421030316607196
2001-07-18,is,0.03807353384617305,13.806805418235108,13.01453493738238
2001-08-16,is,0.03347219166910977,14.707819899136563,12.923839213379129
2001-09-18,is,0.046096216297442545,12.474394967614304,13.012453024098642
2001-10-18,is,0.04680742732943625,12.368580858293548,13.40251687444661
2001-11-19,is,0.048443975444451726,12.131782333083752,13.514296642756918
2001-12-19,is,0.05155538588549501,11.7057080371744,13.799987221626925
2002-01-22,is,0.046327441194301607,12.439795210607947,14.146317856796015
2002-02-21,is,0.026674091298301297,16.277172671918116,15.052417068771597
2002-03-22,is,0.024452277153400072,16.86532124631044,15.220012469923379
2002-04-22,is,0.016129931734543603,19.50528798232644,15.344179354034848
2002-05-21,is,0.01385231227336808,20.378272685538125,15.232571043068836
2002-06-20,is,0.018847257692048598,18.556860063535865,14.512667646753464
2002-07-22,is,0.03429532607069674,14.538100125335713,13.170938646319788
2002-08-20,is,0.06776521026640984,9.895179385174592,11.613790465990526
2002-09-19,is,0.07270356724788213,9.449893626834616,10.772716624577106
2002-10-21,is,0.07849423851172263,8.976245022062084,10.741895582456117
2002-11-20,is,0.0809330594259301,8.790677198120127,10.946921989373918
2002-12-20,is,0.07882131973327879,8.950904068947898,11.04118260202823
2003-01-23,is,0.08287613884093491,8.648232601998334,10.917073720018596
2003-02-24,is,0.07549020923167851,9.215875011822364,11.805442057726246
2003-03-25,is,0.06621090067008313,10.044142866841215,13.277933669192144
2003-04-23,is,0.056072613153995164,11.137804029006208,14.493101779987045
2003-05-22,is,0.0458359857410694,12.513565962396674,14.77014285548153
2003-06-23,is,0.04249247990166598,13.039649641482523,14.309197430093882
2003-07-23,is,0.04481186162907072,12.670140392083939,14.291596369040734
2003-08-21,is,0.032392119144294414,14.936621645358295,15.120074430069902
2003-09-22,is,0.027445378486637872,16.082478123920247,14.904346837827058
2003-10-22,is,0.034881495326258165,14.419607894644772,15.469381618116339
2003-11-21,is,0.040104794378763034,13.443251450012019,15.686714838494398
2003-12-23,is,0.036594198152835114,14.084199923617195,15.734639418169479
2004-01-26,is,0.030673312796023297,15.315783179290149,16.34913085469705
2004-02-25,is,0.030504577321784493,15.35404575211476,16.974783664748948
2004-03-25,is,0.036272908312579705,14.145925659763959,16.583254671908527
2004-04-23,is,0.03497563911742541,14.400756816934019,16.319193411647785
2004-05-24,is,0.037190543609224115,13.9710472577456,15.717150677967641
2004-06-23,is,0.04207701307342423,13.10812726170758,15.911276389502262
2004-07-23,is,0.03619701553438541,14.160585146174363,16.966528584358738
2004-08-23,is,0.03993158428190186,13.473504127608216,16.90689241119262
2004-09-22,is,0.03976408734161918,13.502888732775373,16.560485875491192
2004-10-22,is,0.034581601210117684,14.47998820444253,15.91517767921223
2004-11-23,is,0.03567860331573493,14.261540323456762,15.289131099680112
2004-12-23,is,0.03811714550259746,13.798793387049734,15.33965938224021
2005-01-24,is,0.0390324421707319,13.632761099948809,16.59813745680801
2005-02-23,is,0.0305254951505885,15.349292033003113,17.532617809431606
2005-03-24,is,0.012757575977151683,20.82628971815764,18.557719975738713
2005-04-22,is,0.0017961635244808883,26.704907708912806,18.22563836832368
2005-05-23,is,0.009595341389153442,22.23856196137314,18.052700487481992
2005-06-22,is,0.011544639805352615,21.346258598718777,17.064318326529126
2005-07-22,is,0.010276520141176247,21.918390814093488,16.99764708878539
2005-08-22,is,0.01986069780609285,18.226332557811027,16.607077377034383
2005-09-21,is,0.019395819077153383,18.37647619568677,16.396337676247512
2005-10-21,is,0.0238454380338341,17.03342441038836,15.789567970364713
2005-11-22,is,0.026002423552754984,16.450601374672367,15.595121502922856
2005-12-22,is,0.026534630548854993,16.312880822827097,16.073321361464405
2006-01-25,is,0.03206662640599427,15.006976263884548,16.46175767211017
2006-02-24,is,0.03459078941247746,14.478130755063086,16.444159763019176
2006-03-27,is,0.038662821221553484,13.699326007910361,16.553128889389136
2006-04-25,is,0.03200370803996811,15.020652455015796,16.223536817028794
2006-05-24,is,0.02918845724783415,15.65918153175554,15.870365100055336
2006-06-23,is,0.02714140198796101,16.158651609352827,14.755098397309418
2006-07-25,is,0.03169826166758203,15.087401329171024,13.980880518072219
2006-08-23,is,0.0263745990929738,16.354049514048704,14.136853261894755
2006-09-22,is,0.03016034528361822,15.432699924060444,13.168686285007427
2006-10-24,is,0.025039571862564107,16.70576172603559,13.401132126253806
2006-11-22,is,0.018369040276262325,18.71702685561016,13.626602621799467
2006-12-22,is,0.02368747151071366,17.077734539779165,14.10972290419037
2007-01-25,is,0.030911215963278525,15.26215894074894,14.29903408130861
2007-02-26,is,0.04464134448347535,12.696591408053303,14.784110648230957
2007-03-27,is,0.039876533499298004,13.483147769705038,14.672320581778969
2007-04-25,is,0.036031726016269756,14.192617935525664,14.443023401146728
2007-05-24,is,0.04164317448848991,13.180404792132283,15.31093831611381
2007-06-25,is,0.044384138437856165,12.736699402685668,16.332636618802795
2007-07-25,is,0.045863989699137124,12.50933888113743,16.642891434239278
2007-08-23,is,0.04901292201104831,12.05156921059699,16.049562458932776
2007-09-21,is,0.0437812870048561,12.83170678594469,16.58688032535145
2007-10-22,is,0.06605285440680544,10.059541459522787,15.263569173718365
2007-11-21,is,0.08705866548891146,8.356752215655428,12.861621249743141
2007-12-20,is,0.07575530625742177,9.194214844262252,13.152720662241355
2008-01-23,is,0.08282808787722394,8.651699464534202,12.331029131004101
2008-02-22,is,0.08852351707150091,8.259258207323569,11.98675675689142
2008-03-24,is,0.08964512648009675,8.18613298230242,11.489597497934904
2008-04-22,is,0.08701124185486453,8.359947000479822,11.28056745842234
2008-05-21,is,0.08824531690464578,8.277598595567284,10.634258171415096
2008-06-20,is,0.08960449689133873,8.188759286693026,10.151903114408727
2008-07-22,is,0.0837465837326474,8.585907844363312,11.44447568614325
2008-08-20,is,0.07545213056469091,9.218994674302373,13.473204941294938
2008-09-19,is,0.06385403816869187,10.278778721729303,14.679936557487357
2008-10-21,is,0.06071511073066581,10.60884144971874,14.152705095536854
2008-11-20,is,0.05574816435227452,11.176750403179046,13.669831179063959
2008-12-22,is,0.06957489967778982,9.727213190123138,12.188983200408659
2009-01-23,is,0.07171771001974737,9.53555651686235,11.850302229799349
2009-02-24,is,0.06573952035418285,10.090209901559032,12.25057751192761
2009-03-25,is,0.05986124169956648,10.70232671372824,12.773213742600555
2009-04-23,is,0.06197511102990598,10.473836365370913,13.442108444718707
2009-05-22,is,0.07241887354637008,9.474472703297264,13.885332038329274
2009-06-23,is,0.07760004345794003,9.046261755440254,14.152539857884605
2009-07-22,is,0.08097692463243318,8.787409746836037,14.565518203770944
2009-08-20,is,0.09638013037593471,7.772890529350341,13.80647466629805
2009-09-21,is,0.09621557461905018,7.782489394755988,13.702098971619321
2009-10-21,is,0.08964432369056997,8.186184858456773,14.409499003905495
2009-11-20,is,0.06999090382054927,9.689404736067388,15.601978620799331
2009-12-22,is,0.051785554838154016,11.67537464448491,16.48889786012839
2010-01-25,is,0.037153617357536764,13.978000942297719,17.066750474843047
2010-02-24,is,0.03391336628048433,14.616365637782616,16.347839644591634
2010-03-25,is,0.027965305175493945,15.953841073085513,16.212847830512047
2010-04-23,is,0.024396452890788265,16.880646667727856,16.382834948627707
2010-05-24,is,0.020104259152820925,18.148643908800604,16.526175722220465
2010-06-23,is,0.01635859936719118,19.42175628709086,15.951977672321755
2010-07-23,is,0.01769206550227218,18.948548193206427,15.826354265313059
2010-08-23,is,0.010803115356372227,21.67712653816515,15.713282267380963
2010-09-22,is,0.012659365719824114,20.86744672669215,15.30143766767681
2010-10-22,is,0.017777644721474237,18.918964842407618,15.564701962489188
2010-11-23,is,0.018497314487879137,18.673793941246572,17.150489214653803
2010-12-23,is,0.014977978858150581,19.93726271518803,18.775282417654807
2011-01-26,is,0.014556422956141953,20.10016457849775,19.83325936310448
2011-02-25,is,0.01606719814510967,19.528330150693556,19.781078157763748
2011-03-28,is,0.023395145783557187,17.160343853798924,18.356282398016916
2011-04-26,is,0.02907779043978453,15.685392772152358,16.86054286459813
2011-05-25,is,0.02546508369663288,16.592029596179522,15.680102573373613
2011-06-24,is,0.022147979512342375,17.52195230311059,15.245447806746961
2011-07-26,is,0.01955485277181665,18.324834893122702,15.3630034183331
2011-08-24,is,0.01800406359449657,18.841139169424746,15.316799620967725
2011-09-23,is,0.022306388442650232,17.47517991511976,15.662053286441584
2011-10-25,is,0.021819317116473506,17.61979741953116,15.854633769810965
2011-11-25,is,0.025200761524659245,16.662495477069662,15.932093104298039
2011-12-27,is,0.025115990038529358,16.685221715367057,15.708661642159619
2012-01-27,is,0.021595199620340885,17.68714782444757,15.872676985947
2012-02-28,is,0.02094926168594223,17.88417367335901,15.990813448134325
2012-03-28,is,0.023289308743189963,17.190450103094822,16.517148404944624
2012-04-26,is,0.020760997419513694,17.942427398921712,16.78872475292354
2012-05-25,is,0.02070163316718233,17.960874979785274,17.504461353160846
2012-06-26,is,0.02565518392939857,16.541717952411506,17.348124495614925
2012-07-26,is,0.028320175761583508,15.867216373384348,16.990856283614225
2012-08-24,is,0.02646525915166892,16.330701396298117,16.367946729244977
2012-09-25,is,0.022987737987507886,17.276816724643766,16.17025744337818
2012-10-25,is,0.030894928239496137,15.265818275910785,15.807218045645532
2012-11-27,is,0.03212018968838974,14.995353141535873,15.759229272410462
2012-12-27,is,0.03504294136298637,14.387310596595576,15.217185635769615
2013-01-29,is,0.0401328173010853,13.438369761503296,14.717250277564773
2013-02-28,is,0.046774742050871,12.373404410725076,14.67371255604288
2013-03-29,is,0.04602256945932611,12.485455695993995,14.358557982179004
2013-04-29,is,0.04341713765971824,12.88978528393084,13.69538417345529
2013-05-29,is,0.04797104653139043,12.19927556892012,13.407552181126135
2013-06-27,is,0.04523233973817116,12.605383408587427,13.819454079747674
2013-07-29,is,0.05162347511926749,11.696718322682223,13.9194992398005
2013-08-27,is,0.051013239161993816,11.777782896363606,14.116527568943757
2013-09-26,is,0.046803867632658,12.369106000497181,13.658660514870686
2013-10-28,is,0.031300866330912155,15.17513687028643,12.981575126562293
2013-11-27,is,0.03279491345953568,14.850466436390514,12.650035961512405
2013-12-30,is,0.027168800226552266,16.151756308069107,13.095491968998383
2014-01-30,is,0.026096294613247036,16.42614146805241,14.134853434167757
2014-03-03,is,0.021516388276803224,17.710954252097576,15.13168052249103
2014-04-01,is,0.021119650507017744,17.831776203750636,15.511966741740656
2014-04-30,is,0.024295558982835475,16.908415823472144,16.07192954687036
2014-05-30,is,0.027816143987794213,15.990534629904616,16.297215319440525
2014-06-30,is,0.03129787696335756,15.175800719249441,16.363874764458885
2014-07-30,is,0.023035375640809264,17.263116142819396,16.409438443182463
2014-08-28,is,0.021157062942306206,17.82031232384635,16.170774951884095
2014-09-29,is,0.02419489712779401,16.936212307869017,16.27741484481101
2014-10-29,is,0.03724656200189015,13.96051147836272,15.004926229586669
2014-12-01,is,0.03075285887467058,15.297811319665062,15.037388486541856
