budget,structure,real_median_year,n,null_mean,null_p95,null_max,pctile_of_real,p_value,p_resolution
team1,NO_CUT,-0.8229844115667966,25,-0.7435348153014004,-0.29199238265700644,0.02040873169260018,48.0,0.52,0.04
team2,NO_CUT,-1.2344766173501949,25,-1.1153022229521006,-0.4379885739855095,0.030613097538900395,48.0,0.52,0.04
