sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|hieken_ashi_smoothed_signals|laguerre_filter_signals|variance_volume_signals|sma_baseline,hieken_ashi_smoothed_signals,laguerre_filter_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 53, ""ma_len2"": 35, ""vol_factor1"": 0.665127, ""vol_factor2"": 1.010934}, ""c2"": {""alpha"": 0.865752}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 11}}","{""atr_len"": 39, ""atr_mult"": 1.35, ""be_pct"": 0.19, ""tp_mult"": 2.9, ""trail_arm"": 1.0, ""trail_mult"": 0.9}"
B|trend|parabolic_sar_signals|kuskus_starlight_signals|chaikin_volatility_volume_signals|wma_baseline,parabolic_sar_signals,kuskus_starlight_signals,chaikin_volatility_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 37}, ""c1"": {""sar_increment"": 0.016223, ""sar_maximum"": 0.2, ""sar_start"": 0.02}, ""c2"": {""index_smooth"": 0.161709, ""price_smooth"": 1.993625, ""range_periods"": 85}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 3}}","{""atr_len"": 31, ""atr_mult"": 1.29, ""be_pct"": 0.06, ""tp_mult"": 2.25, ""trail_arm"": 1.15, ""trail_mult"": 0.5}"
B|trend|volatility_quality_signals|chandelier_exit_signals|variance_volume_signals|ema_baseline,volatility_quality_signals,chandelier_exit_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""atr_pct"": 0.040025, ""smooth"": 12}, ""c2"": {""atr_mult"": 3, ""atr_period"": 18}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 16, ""atr_mult"": 1.5, ""be_pct"": 0.19, ""tp_mult"": 2.9, ""trail_arm"": 1.0, ""trail_mult"": 1.65}"
B|trend|dspo_signals|center_of_gravity_signals|variance_volume_signals|wma_baseline,dspo_signals,center_of_gravity_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""len"": 92}, ""c2"": {""length"": 100, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 6, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.7, ""trail_arm"": 2.0, ""trail_mult"": 0.65}"
B|trend|kuskus_starlight_signals|relative_vigor_index_signals|variance_volume_signals|wma_baseline,kuskus_starlight_signals,relative_vigor_index_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 132}, ""c1"": {""index_smooth"": 1.311672, ""price_smooth"": 0.373569, ""range_periods"": 85}, ""c2"": {""len"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 6, ""atr_mult"": 1.44, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.25, ""trail_mult"": 1.35}"
B|trend|ssl_channel_signals|laguerre_filter_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,ssl_channel_signals,laguerre_filter_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 11}, ""c1"": {""len"": 10}, ""c2"": {""alpha"": 0.246569}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 10}}","{""atr_len"": 13, ""atr_mult"": 1.49, ""be_pct"": 0.01, ""tp_mult"": 2.95, ""trail_arm"": 1.15, ""trail_mult"": 1.3}"
B|trend|didi_index_signals|halftrend_signals|variance_volume_signals|frama_baseline,didi_index_signals,halftrend_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""long_p"": 16, ""medium"": 6}, ""c2"": {""amplitude"": 62}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 5, ""atr_mult"": 1.3, ""be_pct"": 0.03, ""tp_mult"": 1.5, ""trail_arm"": 1.65, ""trail_mult"": 1.4}"
B|trend|j_tpo_signals|schaff_trend_cycle_signals|variance_volume_signals|t3_baseline,j_tpo_signals,schaff_trend_cycle_signals,variance_volume_signals,t3_baseline,trend,B,"{""base"": {""length"": 10, ""volume_factor"": 0.106394}, ""c1"": {""ema_len"": 200, ""len"": 75}, ""c2"": {""cycleLen"": 19, ""d1"": 2, ""d2"": 2, ""lowerBand"": 25, ""macdFast"": 19, ""macdSlow"": 27, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 4, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 17, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.35, ""trail_mult"": 0.55}"
B|trend|ssl_channel_signals|mama_fama_signals|chaikin_volatility_volume_signals|tma_baseline,ssl_channel_signals,mama_fama_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 132}, ""c1"": {""len"": 5}, ""c2"": {""fast_limit"": 2.164381, ""slow_limit"": 0.093691}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 15}}","{""atr_len"": 35, ""atr_mult"": 1.4, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 2.0, ""trail_mult"": 1.0}"
B|trend|dpo_signals|center_of_gravity_signals|chaikin_volatility_volume_signals|kama_baseline,dpo_signals,center_of_gravity_signals,chaikin_volatility_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 2, ""length"": 10, ""slow_length"": 300}, ""c1"": {""len"": 18}, ""c2"": {""length"": 12, ""signal_length"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 4}}","{""atr_len"": 22, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 2.25, ""trail_arm"": 1.0, ""trail_mult"": 1.5}"
B|trend|laguerre_filter_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|sma_baseline,laguerre_filter_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 200}, ""c1"": {""alpha"": 1.315866}, ""c2"": {""len"": 17}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 15}}","{""atr_len"": 46, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.3, ""trail_mult"": 1.25}"
B|trend|coppock_curve_signals|hieken_ashi_smoothed_signals|variance_volume_signals|sma_baseline,coppock_curve_signals,hieken_ashi_smoothed_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""long_roc"": 17, ""short_roc"": 4, ""smooth_len"": 8}, ""c2"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 6, ""ma_len2"": 4, ""vol_factor1"": 0.124633, ""vol_factor2"": 0.189431}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 35, ""atr_mult"": 1.26, ""be_pct"": 0.01, ""tp_mult"": 2.0, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|fx_sniper_ergodic_cci_signals|coppock_curve_signals|variance_volume_signals|kama_baseline,fx_sniper_ergodic_cci_signals,coppock_curve_signals,variance_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 30}, ""c1"": {""cci_length"": 14, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 6}, ""c2"": {""long_roc"": 14, ""short_roc"": 4, ""smooth_len"": 28}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 31, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.35}"
B|trend|mama_fama_signals|coral_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline,mama_fama_signals,coral_signals,chaikin_volatility_volume_signals,super_smoother_2pole_baseline,trend,B,"{""base"": {""cutoff_period"": 43}, ""c1"": {""fast_limit"": 0.075996, ""slow_limit"": 0.05}, ""c2"": {""const_d"": 11, ""smooth_period"": 100}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 15}}","{""atr_len"": 48, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.55, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|vortex_signals|dspo_signals|variance_volume_signals|ema_baseline,vortex_signals,dspo_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""period"": 17}, ""c2"": {""len"": 26}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 39, ""atr_mult"": 1.41, ""be_pct"": 0.16, ""tp_mult"": 2.95, ""trail_arm"": 1.0, ""trail_mult"": 1.1}"
B|trend|ichimoku_signals|donchian_breakout_signals|fractal_dimension_volume_signals|mcginley_dynamic_index,ichimoku_signals,donchian_breakout_signals,fractal_dimension_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 11}, ""c1"": {""base_len"": 14, ""conversion_len"": 7, ""displacement"": 21, ""span_b_len"": 97}, ""c2"": {""length"": 16}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 85}}","{""atr_len"": 38, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 1.95, ""trail_arm"": 1.2, ""trail_mult"": 1.4}"
B|trend|rex_oscillator_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|wma_baseline,rex_oscillator_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 27, ""sigVolAdj"": 10, ""smooth"": 14, ""volAdj"": 10}, ""c2"": {""cci_length"": 2, ""ema1_length"": 3, ""ema2_length"": 13, ""trigger_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 66, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 5, ""atr_mult"": 1.39, ""be_pct"": 0.05, ""tp_mult"": 2.45, ""trail_arm"": 1.0, ""trail_mult"": 0.9}"
B|trend|chandelier_exit_signals|laguerre_filter_signals|chaikin_volatility_volume_signals|rma_baseline,chandelier_exit_signals,laguerre_filter_signals,chaikin_volatility_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 200}, ""c1"": {""atr_mult"": 2, ""atr_period"": 5}, ""c2"": {""alpha"": 0.2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 10}}","{""atr_len"": 50, ""atr_mult"": 1.4, ""be_pct"": 0.02, ""tp_mult"": 1.75, ""trail_arm"": 2.0, ""trail_mult"": 1.3}"
B|trend|fisher_transform_signals|fisher_transform_signals|variance_volume_signals|mcginley_dynamic_index,fisher_transform_signals,fisher_transform_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 26}, ""c1"": {""length"": 43}, ""c2"": {""length"": 100}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 50, ""atr_mult"": 1.44, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.05, ""trail_mult"": 0.7}"
B|trend|linreg_slope_signals|center_of_gravity_signals|variance_volume_signals|t3_baseline,linreg_slope_signals,center_of_gravity_signals,variance_volume_signals,t3_baseline,trend,B,"{""base"": {""length"": 28, ""volume_factor"": 0.567792}, ""c1"": {""length"": 17, ""r2_floor"": 0.162226}, ""c2"": {""length"": 10, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 37, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 28, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 1.6, ""trail_arm"": 1.9, ""trail_mult"": 1.7}"
B|trend|trend_direction_force_index_signals|coral_signals|efficiency_ratio_volume_signals|mcginley_dynamic_index,trend_direction_force_index_signals,coral_signals,efficiency_ratio_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 92}, ""c1"": {""fhigh"": 0.5, ""flow"": -0.026683, ""lookback"": 11}, ""c2"": {""const_d"": 11, ""smooth_period"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 10}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 0.75}"
B|trend|dspo_signals|lemantrend_signals|chaikin_volatility_volume_signals|vidya,dspo_signals,lemantrend_signals,chaikin_volatility_volume_signals,vidya,trend,B,"{""base"": {""vda_length"": 20}, ""c1"": {""len"": 26}, ""c2"": {""fast_period"": 34, ""medium_period"": 210, ""slow_period"": 24, ""smooth"": 4}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 2, ""roc_len"": 6}}","{""atr_len"": 8, ""atr_mult"": 1.1, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.95, ""trail_mult"": 0.5}"
B|trend|laguerre_filter_signals|ssl_channel_signals|variance_volume_signals|tma_baseline,laguerre_filter_signals,ssl_channel_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.070224}, ""c2"": {""len"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 37}}","{""atr_len"": 44, ""atr_mult"": 1.5, ""be_pct"": 0.05, ""tp_mult"": 2.9, ""trail_arm"": 1.05, ""trail_mult"": 2.0}"
B|trend|schaff_trend_cycle_signals|parabolic_sar_signals|chaikin_volatility_volume_signals|sma_baseline,schaff_trend_cycle_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 132}, ""c1"": {""cycleLen"": 43, ""d1"": 9, ""d2"": 2, ""lowerBand"": 25, ""macdFast"": 23, ""macdSlow"": 500, ""stc_midline"": 8, ""upperBand"": 75}, ""c2"": {""sar_increment"": 0.056961, ""sar_maximum"": 0.106734, ""sar_start"": 0.007022}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 10}}","{""atr_len"": 50, ""atr_mult"": 1.49, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 2.0, ""trail_mult"": 0.55}"
B|trend|dspo_signals|parabolic_sar_signals|variance_volume_signals|sma_baseline,dspo_signals,parabolic_sar_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 200}, ""c1"": {""len"": 11}, ""c2"": {""sar_increment"": 0.02, ""sar_maximum"": 0.2, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 50, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.0, ""trail_arm"": 2.0, ""trail_mult"": 1.25}"
B|trend|kase_peak_oscillator_signals|waddah_attar_explosion_signals|variance_volume_signals|ema_baseline,kase_peak_oscillator_signals,waddah_attar_explosion_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""long_cycle"": 185, ""sharpness"": 40, ""short_cycle"": 15}, ""c2"": {""bbLen"": 87, ""bbStd"": 2, ""fastEma"": 25, ""sensitivity"": 122, ""slowEma"": 49}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 7, ""atr_mult"": 1.0, ""be_pct"": 0.07, ""tp_mult"": 2.6, ""trail_arm"": 1.1, ""trail_mult"": 0.65}"
B|trend|rex_oscillator_signals|laguerre_filter_signals|damiani_volatmeter_volume_signals|rma_baseline,rex_oscillator_signals,laguerre_filter_signals,damiani_volatmeter_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 57}, ""c1"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 27, ""sigVolAdj"": 10, ""smooth"": 5, ""volAdj"": 10}, ""c2"": {""alpha"": 0.2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 216, ""threshold"": 1.4, ""viscosity"": 13}}","{""atr_len"": 50, ""atr_mult"": 1.48, ""be_pct"": 0.01, ""tp_mult"": 2.6, ""trail_arm"": 1.65, ""trail_mult"": 0.55}"
B|trend|aroon_signals|parabolic_sar_signals|waddah_attar_explosion_volume_signals|sma_baseline,aroon_signals,parabolic_sar_signals,waddah_attar_explosion_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""length"": 25}, ""c2"": {""sar_increment"": 0.016223, ""sar_maximum"": 0.106734, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 37, ""bbStd"": 2, ""fastEma"": 3, ""sensitivity"": 185, ""slowEma"": 14}}","{""atr_len"": 44, ""atr_mult"": 1.15, ""be_pct"": 0.12, ""tp_mult"": 1.8, ""trail_arm"": 1.2, ""trail_mult"": 0.6}"
B|trend|hieken_ashi_smoothed_signals|kalman_filter_signals|variance_volume_signals|wma_baseline,hieken_ashi_smoothed_signals,kalman_filter_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 16}, ""c1"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 23, ""ma_len2"": 15, ""vol_factor1"": 0.82, ""vol_factor2"": 1.010934}, ""c2"": {""k"": 7, ""sharpness"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 32, ""atr_mult"": 1.38, ""be_pct"": 0.01, ""tp_mult"": 2.0, ""trail_arm"": 1.0, ""trail_mult"": 1.35}"
B|trend|schaff_trend_cycle_signals|center_of_gravity_signals|variance_volume_signals|wma_baseline,schaff_trend_cycle_signals,center_of_gravity_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""cycleLen"": 8, ""d1"": 9, ""d2"": 13, ""lowerBand"": 25, ""macdFast"": 8, ""macdSlow"": 18, ""stc_midline"": 94, ""upperBand"": 75}, ""c2"": {""length"": 100, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 11}}","{""atr_len"": 31, ""atr_mult"": 1.05, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 1.5}"
B|trend|donchian_breakout_signals|supertrend_signals|chaikin_volatility_volume_signals|tma_baseline,donchian_breakout_signals,supertrend_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 200}, ""c1"": {""length"": 3}, ""c2"": {""atr_period"": 12, ""factor"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 52}}","{""atr_len"": 50, ""atr_mult"": 1.2, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|kuskus_starlight_signals|dspo_signals|variance_volume_signals|mcginley_dynamic_index,kuskus_starlight_signals,dspo_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 40}, ""c1"": {""index_smooth"": 0.7, ""price_smooth"": 0.567792, ""range_periods"": 5}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 57}}","{""atr_len"": 50, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.9, ""trail_mult"": 0.5}"
B|trend|ssl_channel_signals|center_of_gravity_signals|variance_volume_signals|frama_baseline,ssl_channel_signals,center_of_gravity_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 19}, ""c1"": {""len"": 43}, ""c2"": {""length"": 100, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 43, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 7, ""atr_mult"": 1.31, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 2.0, ""trail_mult"": 1.3}"
B|trend|chandelier_exit_signals|fisher_transform_signals|variance_volume_signals|tma_baseline,chandelier_exit_signals,fisher_transform_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""atr_mult"": 6, ""atr_period"": 63}, ""c2"": {""length"": 28}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 45, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 0.55}"
B|trend|ichimoku_signals|parabolic_sar_signals|chaikin_volatility_volume_signals|ema_baseline,ichimoku_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 14, ""span_b_len"": 225}, ""c2"": {""sar_increment"": 0.024657, ""sar_maximum"": 0.2, ""sar_start"": 0.016223}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 100, ""roc_len"": 79}}","{""atr_len"": 3, ""atr_mult"": 1.41, ""be_pct"": 0.01, ""tp_mult"": 2.6, ""trail_arm"": 1.1, ""trail_mult"": 1.35}"
B|trend|polychromatic_momentum_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|vidya,polychromatic_momentum_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,vidya,trend,B,"{""base"": {""vda_length"": 6}, ""c1"": {""len"": 14}, ""c2"": {""cci_length"": 17, ""ema1_length"": 9, ""ema2_length"": 2, ""trigger_length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 100, ""roc_len"": 120}}","{""atr_len"": 50, ""atr_mult"": 1.35, ""be_pct"": 0.05, ""tp_mult"": 2.2, ""trail_arm"": 1.05, ""trail_mult"": 0.5}"
