sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|fisher_transform_signals|kuskus_starlight_signals|variance_volume_signals|mcginley_dynamic_index,fisher_transform_signals,kuskus_starlight_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 26}, ""c1"": {""length"": 12}, ""c2"": {""index_smooth"": 0.567792, ""price_smooth"": 0.567792, ""range_periods"": 85}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 36, ""atr_mult"": 1.31, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 2.0}"
B|trend|linreg_slope_signals|relative_vigor_index_signals|chaikin_volatility_volume_signals|tma_baseline,linreg_slope_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""length"": 14, ""r2_floor"": 0.246569}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 5, ""roc_len"": 120}}","{""atr_len"": 3, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 1.55, ""trail_arm"": 2.0, ""trail_mult"": 2.0}"
B|trend|volatility_quality_signals|bears_bulls_impulse_signals|chaikin_volatility_volume_signals|tma_baseline,volatility_quality_signals,bears_bulls_impulse_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""atr_pct"": 0.075, ""smooth"": 10}, ""c2"": {""length"": 16}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 12}}","{""atr_len"": 36, ""atr_mult"": 1.38, ""be_pct"": 0.05, ""tp_mult"": 1.15, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|coral_signals|relative_vigor_index_signals|fractal_dimension_volume_signals|sma_baseline,coral_signals,relative_vigor_index_signals,fractal_dimension_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""const_d"": 26, ""smooth_period"": 10}, ""c2"": {""len"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 11}}","{""atr_len"": 48, ""atr_mult"": 1.27, ""be_pct"": 0.01, ""tp_mult"": 2.9, ""trail_arm"": 2.0, ""trail_mult"": 1.5}"
B|trend|laguerre_filter_signals|ssl_channel_signals|chaikin_volatility_volume_signals|sma_baseline,laguerre_filter_signals,ssl_channel_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 87}, ""c1"": {""alpha"": 0.162226}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 12}}","{""atr_len"": 26, ""atr_mult"": 1.2, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|sma_baseline,supertrend_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""atr_period"": 19, ""factor"": 3}, ""c2"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 13, ""trigger_length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 4, ""roc_len"": 4}}","{""atr_len"": 50, ""atr_mult"": 1.35, ""be_pct"": 0.13, ""tp_mult"": 2.95, ""trail_arm"": 1.9, ""trail_mult"": 1.2}"
B|trend|didi_index_signals|parabolic_sar_signals|variance_volume_signals|ema_baseline,didi_index_signals,parabolic_sar_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""long_p"": 2, ""medium"": 10}, ""c2"": {""sar_increment"": 0.02, ""sar_maximum"": 0.246569, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 5}}","{""atr_len"": 30, ""atr_mult"": 1.4, ""be_pct"": 0.07, ""tp_mult"": 2.65, ""trail_arm"": 1.75, ""trail_mult"": 1.7}"
B|trend|j_tpo_signals|polychromatic_momentum_signals|efficiency_ratio_volume_signals|kama_baseline,j_tpo_signals,polychromatic_momentum_signals,efficiency_ratio_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 30}, ""c1"": {""ema_len"": 200, ""len"": 114}, ""c2"": {""len"": 61}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 66}}","{""atr_len"": 37, ""atr_mult"": 1.28, ""be_pct"": 0.16, ""tp_mult"": 2.6, ""trail_arm"": 1.35, ""trail_mult"": 1.1}"
B|trend|polychromatic_momentum_signals|ssl_channel_signals|efficiency_ratio_volume_signals|ema_baseline,polychromatic_momentum_signals,ssl_channel_signals,efficiency_ratio_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""len"": 40}, ""c2"": {""len"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.243339, ""length"": 10}}","{""atr_len"": 47, ""atr_mult"": 1.4, ""be_pct"": 0.2, ""tp_mult"": 2.95, ""trail_arm"": 1.15, ""trail_mult"": 1.4}"
B|trend|trend_direction_force_index_signals|laguerre_filter_signals|variance_volume_signals|ema_baseline,trend_direction_force_index_signals,laguerre_filter_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 20}, ""c1"": {""fhigh"": 0.026683, ""flow"": -0.040557, ""lookback"": 24}, ""c2"": {""alpha"": 1.315866}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 31, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.95, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
