n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
142,45.324567899675365,8,-3.28176279694287,8,-2.3769845317556673,12,-4.376984531755715,0,0.0,127,44.54405514087058,laguerre_filter_signals,didi_index_signals,waddah_attar_explosion_volume_signals,kama_baseline,trend,23,-0.09656980164585452,29.746647405292475,41.16707060911489,9.597560997700736,23,44.54405514087058,127,27.0,29.0,28.0,19
348,161.57744256419485,32,69.3116335746013,4,76.54928974267816,32,69.3116335746013,0,0.0,300,70.66011299991426,laguerre_filter_signals,ssl_channel_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,39,0.4289685025003644,19.110997291574492,63.42245683183742,3.964220398958042,39,70.66011299991426,300,2.0,54.0,28.0,20
114,51.02377777930194,6,-2.99999999999999,8,5.534095092404228,14,2.534095092404238,0,0.0,96,37.716117682197634,bears_bulls_impulse_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,rma_baseline,trend,21,0.0496649837133817,36.94255189329567,40.25021277460188,12.935919919117447,21,37.716117682197634,96,44.0,14.0,29.0,21
122,43.228770289385245,4,-2.0000000000000027,6,5.531844812275958,10,3.5318448122759554,0,0.0,108,34.914056343754524,bears_bulls_impulse_signals,schaff_trend_cycle_signals,williams_vix_fix_volume_signals,rma_baseline,trend,22,0.08170125563676268,40.20063562612949,38.44590115603049,6.140089362355436,22,34.914056343754524,108,50.0,8.0,29.0,22
234,50.65122228633872,20,-3.7766284955590046,6,-2.16576271640177,20,-3.7766284955590046,0,0.0,208,54.250384258678864,laguerre_filter_signals,waddah_attar_explosion_signals,chaikin_volatility_volume_signals,vidya,trend,32,-0.07456144837352936,22.24574362774662,50.47375576311984,8.244261796202196,32,54.250384258678864,208,14.0,45.0,29.5,23
420,150.4786377161968,36,73.3177319755435,12,72.69933327501884,42,74.55131608977675,0,0.0,366,66.89337182642589,kase_peak_oscillator_signals,parabolic_sar_signals,variance_volume_signals,mcginley_dynamic_index,trend,54,0.495427904061577,17.137566045323712,68.67933862644415,8.212163200724197,54,66.89337182642589,366,3.0,60.0,31.5,24
160,40.71702231034049,14,-1.5584452548415808,2,8.959367225527519,16,7.400921970685937,0,0.0,131,31.862791482487268,bears_bulls_impulse_signals,lemantrend_signals,variance_volume_signals,t3_baseline,trend,19,0.18176481360245245,38.86437867104857,39.2637134531732,5.141746990979088,19,31.862791482487268,131,55.0,9.0,32.0,25
302,155.48418685943554,26,90.52170178272475,4,90.7210785956211,26,90.52170178272475,0,0.0,251,56.77334972089555,donchian_breakout_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,sma_baseline,trend,44,0.5821923348678557,20.089436098133763,53.95056310929007,4.6842967506397954,44,56.77334972089555,251,12.0,53.0,32.5,26
288,134.7350228945069,26,65.86525297252577,4,69.88895355674796,26,65.86525297252577,0,0.0,241,56.83404178840196,laguerre_filter_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,ema_baseline,trend,47,0.488850274839795,19.0029991303252,53.45747137067281,7.029382571704306,47,56.83404178840196,241,11.0,55.0,33.0,27
200,116.63312186693197,20,71.17573142430895,8,69.08179477648886,24,72.67516978689454,0,0.0,167,43.12219830013924,ehlers_reverse_ema_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,17,0.6231091873696947,27.83777815481482,47.53910583178617,6.1677591053555485,17,43.12219830013924,167,31.0,35.0,33.0,28
308,161.06642516239177,30,95.35553983917393,8,93.8635860724792,36,96.60934474007323,0,0.0,252,51.76809151089668,parabolic_sar_signals,rex_oscillator_signals,variance_volume_signals,tma_baseline,trend,28,0.5998105728283777,21.634570791362485,54.88927018887403,4.164823896575807,28,51.76809151089668,252,18.0,48.0,33.0,29
