block,state,statistic,real,n_shifts,null_mean,null_sd,rank_of_real,n_compared,p
is,transition days,Q2 level difference,0.9284856123567238,50,-0.12294877175115346,1.0373161826865727,16,51,0.3137254901960784
is,transition days,Q2 chg21 difference,1.511870310202334,50,-0.09711847078956728,0.7748993442746013,5,51,0.09803921568627451
oos,transition days,Q2 level difference,2.2826313437436596,50,0.0750356910431438,1.2148513503294485,4,51,0.0784313725490196
oos,transition days,Q2 chg21 difference,2.0941051567956155,50,-0.16411063219144714,0.8536458735528623,1,51,0.0196078431372549
is,trending,high-low share spread,0.07110377814737495,50,-0.0038254607672488106,0.041466923985759706,4,51,0.0784313725490196
oos,trending,high-low share spread,0.015494668042150883,45,0.004759728507398173,0.03662874540792035,31,46,0.6739130434782609
