currency,reports,first,last,release_lag_days,pairs_covered,pair_list,daily_coverage,max_stale_days
EUR,1443,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.999,12
GBP,1443,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.999,12
JPY,1443,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.999,12
CHF,1441,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.998,12
AUD,1416,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.988,12
NZD,913,1999-01-05,2022-02-01,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.644,12
CAD,1443,1999-01-05,2026-08-25,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",0.999,12
USD,0,,no contract -- USD is the quote side,6,7,"EURUSD, GBPUSD, AUDUSD, NZDUSD, USDCAD, USDCHF, USDJPY",,12
