day,pair,dir,size,entry,stop
2016-01-28,GBPAUD,-1,2.2984846031345763,0.0,0.0
2016-01-28,GBPCAD,-1,4.5969692062691525,0.0,0.0
2016-01-28,GBPNZD,1,2.2984846031345763,0.0,0.0
2016-01-28,NZDCAD,-1,0.7661615343781921,0.0,0.0
2016-01-28,NZDUSD,-1,2.2984846031345763,0.0,0.0
2016-01-29,EURCHF,1,0.7661615343781921,0.0,0.0
2016-01-29,GBPAUD,-1,2.2984846031345763,0.0,0.0
2016-01-29,GBPCAD,-1,4.5969692062691525,0.0,0.0
2016-01-29,GBPNZD,1,2.2984846031345763,0.0,0.0
2016-01-29,NZDCAD,-1,0.7661615343781921,0.0,0.0
2016-01-29,NZDUSD,-1,2.2984846031345763,0.0,0.0
2016-02-01,EURCHF,1,0.9850648299148184,0.0,0.0
2016-02-01,GBPAUD,-1,0.9850648299148184,0.0,0.0
2016-02-01,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-01,NZDCAD,-1,0.9850648299148184,0.0,0.0
2016-02-01,NZDUSD,-1,2.9551944897444553,0.0,0.0
2016-02-02,EURCHF,1,0.9850648299148184,0.0,0.0
2016-02-02,GBPAUD,-1,0.9850648299148184,0.0,0.0
2016-02-02,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-02,GBPNZD,1,2.9551944897444553,0.0,0.0
2016-02-02,NZDCAD,-1,0.9850648299148184,0.0,0.0
2016-02-02,NZDUSD,-1,2.9551944897444553,0.0,0.0
2016-02-03,AUDNZD,-1,0.9850648299148184,0.0,0.0
2016-02-03,EURCHF,1,0.9850648299148184,0.0,0.0
2016-02-03,GBPAUD,-1,0.9850648299148184,0.0,0.0
2016-02-03,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-03,GBPNZD,1,2.9551944897444553,0.0,0.0
2016-02-03,NZDCAD,-1,0.9850648299148184,0.0,0.0
2016-02-03,NZDUSD,-1,2.9551944897444553,0.0,0.0
2016-02-04,AUDCHF,-1,1.0,0.0,0.0
2016-02-04,AUDNZD,-1,1.0,0.0,0.0
2016-02-04,AUDUSD,1,1.0,0.0,0.0
2016-02-04,EURCHF,1,1.0,0.0,0.0
2016-02-04,GBPCAD,-1,6.0,0.0,0.0
2016-02-04,USDJPY,-1,3.0,0.0,0.0
2016-02-05,AUDCHF,-1,4.137272285642238,0.0,0.0
2016-02-05,AUDNZD,-1,0.689545380940373,0.0,0.0
2016-02-05,EURCHF,1,0.689545380940373,0.0,0.0
