mode,slice,n,mean,p50,p95,p99,max
C,trend,4064,-0.0018631481569082176,-0.008291554538747026,0.09685950766486776,0.20520291503328697,0.4983878209473501
C,chop,3277,0.029707672251487145,0.03255826258484695,0.11822880980648427,0.1634364755383159,0.24576016525122812
