slice,c1,base,survivors,combos_in_core,survival_rate_pct,base_rate_pct,enrichment
chop,aroon_signals,fantail_vma,3400,18252,18.628095551172475,1.5810841944964233,11.78184919943845
chop,polychromatic_momentum_signals,rma_baseline,3296,18252,18.058294981371905,1.5810841944964233,11.421463223926217
chop,polychromatic_momentum_signals,fantail_vma,3115,18252,17.066622835853604,1.5810841944964233,10.794253016544344
chop,laguerre_filter_signals,rma_baseline,2977,18252,16.31054131054131,1.5810841944964233,10.316048549037726
chop,polychromatic_momentum_signals,mcginley_dynamic_index,2691,18252,14.743589743589745,1.5810841944964233,9.32498711637908
chop,dspo_signals,mcginley_dynamic_index,2517,18252,13.790269559500329,1.5810841944964233,8.722033657348994
chop,polychromatic_momentum_signals,ema_baseline,2407,18252,13.187595879903572,1.5810841944964233,8.340856183249514
chop,ichimoku_signals,rma_baseline,2150,18252,11.779531010300241,1.5810841944964233,7.45028699376255
chop,kuskus_starlight_signals,rma_baseline,2118,18252,11.604207758053912,1.5810841944964233,7.339399001297247
chop,center_of_gravity_signals,mcginley_dynamic_index,2081,18252,11.401490247644094,1.5810841944964233,7.211184760009241
chop,halftrend_signals,rma_baseline,2034,18252,11.143984220907297,1.5810841944964233,7.0483180210758265
chop,center_of_gravity_signals,fantail_vma,1969,18252,10.787858864781942,1.5810841944964233,6.823076786380679
chop,mama_fama_signals,fantail_vma,1959,18252,10.733070348454964,1.5810841944964233,6.788424288735272
chop,dspo_signals,rma_baseline,1950,18252,10.683760683760683,1.5810841944964233,6.757237040854405
chop,center_of_gravity_signals,rma_baseline,1900,18252,10.409818102125794,1.5810841944964233,6.583974552627369
chop,kuskus_starlight_signals,fantail_vma,1739,18252,9.52772298926145,1.5810841944964233,6.026069340536313
chop,dspo_signals,ema_baseline,1649,18252,9.03462634231865,1.5810841944964233,5.714196861727649
chop,fisher_transform_signals,fantail_vma,1637,18252,8.968880122726276,1.5810841944964233,5.67261386455316
chop,center_of_gravity_signals,vidya,1574,18252,8.623712469866316,1.5810841944964233,5.454303129387094
chop,center_of_gravity_signals,ema_baseline,1556,18252,8.525093140477756,1.5810841944964233,5.391928633625362
chop,aroon_signals,t3_baseline,1555,18252,8.519614288845059,1.5810841944964233,5.388463383860821
chop,schaff_trend_cycle_signals,fantail_vma,1419,18252,7.774490466798159,1.5810841944964233,4.917189415883283
chop,bears_bulls_impulse_signals,ema_baseline,1390,18252,7.6156037694499235,1.5810841944964233,4.816697172711602
chop,center_of_gravity_signals,super_smoother_2pole_baseline,1360,18252,7.451238220468989,1.5810841944964233,4.71273967977538
chop,center_of_gravity_signals,wma_baseline,1316,18252,7.210168748630287,1.5810841944964233,4.560268690135588
chop,bears_bulls_impulse_signals,kama_baseline,1253,18252,6.865001095770326,1.5810841944964233,4.341957954969523
chop,bears_bulls_impulse_signals,wma_baseline,1184,18252,6.48696033311418,1.5810841944964233,4.102855721216214
chop,dspo_signals,fantail_vma,1170,18252,6.41025641025641,1.5810841944964233,4.054342224512643
chop,polychromatic_momentum_signals,sma_baseline,1131,18252,6.196581196581197,1.5810841944964233,3.919197483695555
chop,schaff_trend_cycle_signals,vidya,1078,18252,5.906202060048214,1.5810841944964233,3.7355392461748966
chop,center_of_gravity_signals,t3_baseline,1066,18252,5.84045584045584,1.5810841944964233,3.6939562490004083
chop,polychromatic_momentum_signals,kama_baseline,1046,18252,5.730878807801885,1.5810841944964233,3.624651253709594
chop,polychromatic_momentum_signals,frama_baseline,1039,18252,5.692526846373,1.5810841944964233,3.6003945053578086
chop,hieken_ashi_smoothed_signals,rma_baseline,1014,18252,5.555555555555555,1.5810841944964233,3.5137632612442906
chop,aroon_signals,sma_baseline,991,18252,5.429541968003507,1.5810841944964233,3.4340625166598544
chop,ehlers_reverse_ema_signals,fantail_vma,980,18252,5.3692746000438305,1.5810841944964233,3.3959447692499065
chop,center_of_gravity_signals,kama_baseline,973,18252,5.330922638614946,1.5810841944964233,3.3716880208981213
chop,mama_fama_signals,rma_baseline,966,18252,5.292570677186062,1.5810841944964233,3.3474312725463364
chop,waddah_attar_explosion_signals,fantail_vma,948,18252,5.193951347797501,1.5810841944964233,3.2850567767846033
chop,bears_bulls_impulse_signals,sma_baseline,947,18252,5.188472496164804,1.5810841944964233,3.281591527020063
chop,donchian_breakout_signals,fantail_vma,946,18252,5.182993644532106,1.5810841944964233,3.2781262772555215
chop,polychromatic_momentum_signals,tma_baseline,946,18252,5.182993644532106,1.5810841944964233,3.2781262772555215
chop,linreg_slope_signals,fantail_vma,920,18252,5.040543502081964,1.5810841944964233,3.188029783377463
chop,center_of_gravity_signals,sma_baseline,917,18252,5.02410694718387,1.5810841944964233,3.177634034083841
chop,fisher_transform_signals,mcginley_dynamic_index,892,18252,4.887135656366426,1.5810841944964233,3.091002789970323
chop,bears_bulls_impulse_signals,mcginley_dynamic_index,891,18252,4.881656804733728,1.5810841944964233,3.087537540205782
chop,lemantrend_signals,fantail_vma,828,18252,4.536489151873767,1.5810841944964233,2.869226805039717
