# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
median_year_pct,mean_year_pct,worst_year_pct,best_year_pct,total_return_pct,max_dd_pct,dip95_pct,worst_day_pct,worst_month_pct,sortino,sharpe,calmar,profit_factor,win_rate_pct,trading_days,n_years,budget,trigger_pct,days_fired,fired_per_year,cost_pct_yr,within_budget,structure,members_step1,members_step2
2.966117045390587,3.9683919595371906,0.26460610396630685,10.146491539825524,19.841959797685952,2.914109299955559,5.872588173578328,2.2054369724413845,1.1094249007730617,1.4555436465536147,1.3147410077751016,6.808927790727873,1.2915018999277845,55.78703703703704,1296,5,team1,0.5,18,3.6,1.839288836180161,False,,,
2.664879890440877,3.8735889128168877,-1.190713969832683,10.55873762481867,19.36794456408444,3.4183310796822006,6.393011966557214,2.2054369724413845,1.4982331020209485,1.2981540265651452,1.2383713556471843,5.6659065820754435,1.2825702787450763,55.78703703703704,1296,5,team1,0.75,8,1.6,1.9340918829004636,False,,,
2.49311279203958,3.872659543961974,-0.6307211105210732,10.55873762481867,19.36329771980987,3.4183310796822006,6.49994604728601,2.2054369724413845,1.4982331020209485,1.27207361184237,1.228033793227188,5.6645471923129405,1.2824833321068523,55.78703703703704,1296,5,team1,1.0,7,1.4,1.935021251755377,False,,,
2.737838219673361,4.65831353530874,2.377677254845564,10.55873762481867,23.2915676765437,2.788280223459786,5.166942304534521,1.975708223863544,0.8681822457985318,1.8701220681169066,1.604921178370551,8.353381227817477,1.3583939810478607,55.8641975308642,1296,5,team1,1.25,6,1.2,1.1493672604086114,False,,,
3.617810389743873,5.065187817678948,2.737838219673361,10.55873762481867,25.325939088394737,2.788280223459786,4.708715825014677,1.975708223863544,0.8681822457985318,2.1655822136786966,1.7912438195715445,9.08299634854115,1.4017394257604952,55.941358024691354,1296,5,team1,1.5,4,0.8,0.7424929780384041,False,,,
3.617810389743873,5.112150214287851,2.972650202717876,10.55873762481867,25.560751071439253,2.788280223459786,4.551504673719118,1.7408962408190285,0.8681822457985318,2.2669373406544575,1.8287327177556978,9.167210259707206,1.4069800993079105,55.941358024691354,1296,5,team1,1.75,4,0.8,0.695530581429501,False,,,
4.161482682472492,5.482001577938888,3.617810389743873,10.55873762481867,27.410007889694434,1.770361711277399,3.7000772208404,1.28556538107419,0.6456656364544492,3.0507649906062615,2.093403475277506,15.482716167599913,1.452412347552655,55.8641975308642,1296,5,team1,2.0,1,0.2,0.32567921777846465,False,,,
5.124201785166525,5.807680795717351,3.617810389743873,10.55873762481867,29.038403978586757,1.770361711277399,3.3463454584804664,0.6713447529361529,0.6456656364544492,3.615193636490826,2.2732507781307576,16.4025259886773,1.4896800188372323,55.941358024691354,1296,5,team1,2.5,0,0.0,0.0,True,,,
5.124201785166525,5.807680795717351,3.617810389743873,10.55873762481867,29.038403978586757,1.770361711277399,3.3463454584804664,0.6713447529361529,0.6456656364544492,3.615193636490826,2.2732507781307576,16.4025259886773,1.4896800188372323,55.941358024691354,1296,5,team1,3.0,0,0.0,0.0,True,,,
5.124201785166525,5.807680795717351,3.617810389743873,10.55873762481867,29.038403978586757,1.770361711277399,3.3463454584804664,0.6713447529361529,0.6456656364544492,3.615193636490826,2.2732507781307576,16.4025259886773,1.4896800188372323,55.941358024691354,1296,5,team1,3.2,0,0.0,0.0,True,,,
