N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
20,111.0,drifting,0.04814485779573963,0.054918893653917486,-0.006774035858177853,0.3831457345971564,15.0,0.9508062498578544,-0.023599077472272283,0.08778079219472455,0.023124712335092067,0.058074849180869643
20,111.0,range,0.23086232396623468,0.2228159884936135,0.00804633547262118,0.33129181767493726,17.0,0.9590183339032539,0.021039988865210073,-0.4399268879404297,0.07311054558500324,0.38937187347429564
21,116.0,trending,0.2432378570989171,0.2500089835600069,-0.006771126461089794,0.2844589352186838,27.0,0.9746490098706394,0.004440611556661615,0.36207405626565803,-0.12334410062420993,-0.4830926599491388
21,116.0,drifting,0.05269801462391945,0.05385847562655881,-0.0011604610026393555,0.38467774978423663,15.0,0.951061948908584,-0.026396749328639717,0.08599931212318025,0.0379739209082836,0.060422076135574244
21,116.0,range,0.2253265100580416,0.21395001219949664,0.01137649785854497,0.33086331499707955,17.0,0.9591481735280164,0.02413935946246945,-0.42482595333306555,0.07279936701577332,0.3795413604208582
22,121.0,trending,0.2378199350155379,0.23973540260543527,-0.001915467589897385,0.2858513440438188,29.0,0.9755546739097263,-0.0002433240472629193,0.35853846714964505,-0.11649606187662341,-0.4760018869886202
22,121.0,drifting,0.054271965639105205,0.05191531705457743,0.0023566485845277763,0.3840249795035498,16.0,0.9519969103548548,-0.027076181484251834,0.07226045490148025,0.0461163884867419,0.07163483768394681
22,121.0,range,0.2146116351311853,0.20498016926879004,0.009631465862395272,0.3301236764526314,17.0,0.9596997965170053,0.029187293293059198,-0.4082686730815476,0.05821021319946544,0.362780360950669
23,127.0,trending,0.22993783938492363,0.2289464693554229,0.0009913700295007266,0.28612893637110737,28.0,0.9756425537116836,0.0003162785846784303,0.3429401525003712,-0.11929652311958322,-0.4571984033350616
23,127.0,drifting,0.055582880933905676,0.04945419536525739,0.006128685568648283,0.38330331695546505,16.0,0.9524548275232707,-0.030567641613891715,0.07740057039570657,0.050168661655363926,0.0641946500706605
23,127.0,range,0.2103850987424423,0.19765542391314275,0.012729674829299542,0.33056774667342764,17.0,0.9602656014391153,0.032360008013865016,-0.3992212952975862,0.05652443643458797,0.35343465522372997
24,132.0,trending,0.21892563963738945,0.22178502393580707,-0.0028593842984176165,0.2855566550778958,28.0,0.975796803582932,-0.023990891766648207,0.3262184644501079,-0.08900753643604205,-0.4364856658967597
24,132.0,drifting,0.04685290862618305,0.046958277505164445,-0.00010536887898139613,0.3856521091854875,16.0,0.952553998500988,-0.020177393061823548,0.08520032650859014,0.03854235136336183,0.04349156357095668
24,132.0,range,0.20865057889800365,0.19222783762296514,0.01642274127503851,0.3287912357366167,18.0,0.9601438657253231,0.04384025564734997,-0.3930407357196653,0.04090470055052776,0.35681662367447164
25,138.0,trending,0.21002495934737353,0.21339208999953735,-0.003367130652163819,0.28461484458641206,29.0,0.9760377474865849,-0.0066417533765722805,0.3284372365030604,-0.09429630080279393,-0.41072454670706743
25,138.0,drifting,0.04706633250721325,0.043680398968249594,0.003385933538963659,0.38491847587623074,16.0,0.9527729636048526,-0.0391153179681125,0.06632776736772558,0.046922810819019944,0.03589943387399499
