band,n,mfe,mae,ratio,bars_to_peak,giveback,gb_pct,path_eff,fav5,fav10,fav20,sample
chop (bottom),3385,0.015145898988349907,-0.016641627041705256,0.910121285039802,9.902511078286558,0.016405232615272897,108.31468391471289,0.19950404284002485,0.47474150664697196,0.4738552437223043,0.4691285081240768,oos
mid,3525,0.0140100174419485,-0.01541467602115845,0.9088752447808899,10.155177304964539,0.015183843129614514,108.3784741348813,0.22297697697133384,0.48624113475177305,0.47290780141843974,0.48907801418439717,oos
trend (top),4335,0.013223292765644615,-0.014096485534721976,0.9380559950970373,10.099884659746252,0.014463992765121485,109.38268570064733,0.22692276366595546,0.4885813148788927,0.48627450980392156,0.47612456747404847,oos
