dwell,peak_fast,peak_lift,fast_1,fast_2,fast_3,fast_4,fast_5,fast_6,fast_8,fast_10,fast_13
2,4,1.479739024901656,1.158630102740388,1.1351797142453217,1.0997865328668337,1.479739024901656,0.9617041948814086,0.9536243747400421,1.0514689858397683,1.172323682847182,1.1350443107547672
3,5,1.5313825773002996,1.0849644855808722,1.1178419436851288,1.1475494294582351,1.1679359373823597,1.5313825773002996,1.0005500848096174,1.0653375351984646,1.0675967976907093,1.2490507368675847
5,6,1.2344592855556868,1.0603827831998318,1.1118515645364917,1.1260237146593428,1.1197251239114552,1.2266527958711544,1.2344592855556868,1.022671363480462,0.9824111486911014,1.0971561385209636
8,10,1.61717972251089,1.0673953004763166,1.0888184448858023,1.1643240338071057,1.1485699043053799,1.1989693346872983,1.1656121825936359,1.1409273770784034,1.61717972251089,1.0410609780414761
13,10,1.2630368803458105,1.1046678795435174,1.1078696369559393,1.1025570612584696,1.138489967997944,1.1321650237312888,1.0982892198716123,1.188137907053119,1.2630368803458105,1.196798612146015
