date,open,high,low,close
2003-12-01,1.874900,1.877800,1.853400,1.860400
2003-12-02,1.860600,1.871600,1.854300,1.869000
2003-12-03,1.869000,1.875700,1.859400,1.874200
2003-12-04,1.874100,1.878500,1.865300,1.870000
2003-12-05,1.870900,1.887100,1.869500,1.886500
2003-12-08,1.885800,1.890400,1.875800,1.885800
2003-12-09,1.885800,1.895600,1.884500,1.887000
2003-12-10,1.887000,1.891100,1.876800,1.882100
2003-12-11,1.882300,1.890000,1.875800,1.885900
2003-12-12,1.885600,1.899500,1.881300,1.897800
2003-12-15,1.886800,1.898100,1.884900,1.895000
2003-12-16,1.896600,1.904400,1.889000,1.892700
2003-12-17,1.891300,1.923400,1.891000,1.916200
2003-12-18,1.916400,1.927400,1.906100,1.913900
2003-12-19,1.913800,1.928900,1.913100,1.920100
2003-12-22,1.922600,1.939000,1.920600,1.932200
2003-12-23,1.932500,1.937500,1.860000,1.924800
2003-12-24,1.926400,1.931700,1.916700,1.921700
2003-12-25,1.922000,1.924600,1.920200,1.922600
2003-12-26,1.922000,1.926000,1.916400,1.917600
2003-12-29,1.917000,1.925900,1.913400,1.916700
2003-12-30,1.916600,1.921400,1.910000,1.911700
2003-12-31,1.911000,1.926200,1.910700,1.921500
2004-01-01,1.919600,1.920500,1.912000,1.918400
2004-01-02,1.918500,1.922600,1.907200,1.909200
2004-01-05,1.909000,1.913100,1.880700,1.890000
2004-01-06,1.890300,1.900700,1.887100,1.894900
2004-01-07,1.895300,1.901200,1.877700,1.882600
2004-01-08,1.882700,1.890200,1.868800,1.884500
2004-01-09,1.884300,1.885700,1.868000,1.881800
2004-01-12,1.881000,1.888000,1.861100,1.870200
2004-01-13,1.871000,1.872400,1.851600,1.864700
2004-01-14,1.864700,1.925900,1.851200,1.860700
2004-01-15,1.860100,1.877100,1.859500,1.871300
2004-01-16,1.871700,1.873500,1.852700,1.858000
2004-01-19,1.871400,1.894300,1.871400,1.885200
2004-01-20,1.885000,1.895100,1.878800,1.887200
2004-01-21,1.887700,1.889700,1.870300,1.882700
2004-01-22,1.882900,1.888700,1.871900,1.878400
2004-01-23,1.876900,1.883700,1.867700,1.872800
2004-01-26,1.870900,1.874100,1.850800,1.864400
2004-01-27,1.864200,1.865200,1.845000,1.862800
2004-01-28,1.862500,1.867600,1.837000,1.845100
2004-01-29,1.846000,1.863200,1.840300,1.853200
2004-01-30,1.852400,1.866300,1.847200,1.854600
