sid,src_label,src_mode,slice,c1,c2,vol,base,exit_ind,ft_seconds,adopted,ft_total_R,ft_expectancy_R,ft_profit_factor,ft_sharpe,ft_sortino,ft_calmar,ft_max_dd_R,ft_ulcer_R,ft_win_rate,ft_n_blind,ft_n_w2,ft_n_w3,ft_risk_atr_len,ft_risk_atr_mult,ft_risk_tp_mult,ft_risk_trail_mult,ft_risk_trail_arm,ft_risk_be_pct,ft_ip2,variants,prev_total_R,prev_sortino,at_edge
B|chop|dpo_signals|waddah_attar_explosion_signals|choppiness_index_volume_signals|sma_baseline,B,B,chop,dpo_signals,waddah_attar_explosion_signals,choppiness_index_volume_signals,sma_baseline,adx_dmi_exit,181.1,False,38.588611595377415,0.16011872031276936,1.1670502666466558,0.3675584476476165,,0.41411928862953434,93.18235748709179,48.74713205850494,0.04149377593360996,241,164,77,36,0.1,2.15,1.5,2.0,0.05,"{""base"": {""length"": 20}, ""c1"": {""len"": 50}, ""c2"": {""bbLen"": 25, ""bbStd"": 2, ""fastEma"": 20, ""sensitivity"": 35, ""slowEma"": 32}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ci_threshold"": 50.127885, ""length"": 7}}",0,95.4118570570978,27.885047719106225,atr_mult
B|trend|fisher_transform_signals|center_of_gravity_signals|williams_vix_fix_volume_signals|rma_baseline,B,B,trend,fisher_transform_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,rma_baseline,adx_dmi_exit,22.8,False,93.52202127353058,0.472333440775407,2.0749657617647186,1.9743951567513867,,3.7357631804239144,25.03424782480944,10.057629361593479,0.12121212121212122,198,90,108,8,0.15,7.3,2.7,1.35,0.05,"{""base"": {""ma_length"": 20}, ""c1"": {""length"": 8}, ""c2"": {""length"": 19, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 16, ""bb_mult"": 2, ""lookback"": 2}}",0,63.83136241265593,34.17620224056883,
B|trend|kase_peak_oscillator_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,B,B,trend,kase_peak_oscillator_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,49.6,False,43.81078693715483,0.18883959886704668,1.5554283776754958,1.1209778487838755,31.037802547629862,0.9628744381792222,45.50000000000023,16.735265818809985,0.2672413793103448,232,116,116,4,1.0,5.45,2.95,2.0,0.14,"{""base"": {""length"": 37}, ""c1"": {""long_cycle"": 10, ""sharpness"": 40, ""short_cycle"": 8}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 10}}",0,61.30728903293005,31.8539472842397,
B|chop|center_of_gravity_signals|price_momentum_oscillator_signals|damiani_volatmeter_volume_signals|mcginley_dynamic_index,B,B,chop,center_of_gravity_signals,price_momentum_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,adx_dmi_exit,78.8,False,25.220631165247507,0.1854458173915258,1.2209765979415461,0.8377124190955562,21.06481423843494,1.2997966573192579,19.403520560872455,9.38351910493987,0.1323529411764706,136,85,51,46,0.15,2.5,1.5,2.0,0.05,"{""base"": {""mci_length"": 40}, ""c1"": {""length"": 8, ""signal_length"": 6}, ""c2"": {""s1"": 43, ""s2"": 11, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 94, ""threshold"": 1.4, ""viscosity"": 4}}",0,57.36786701523266,33.487076507563586,
B|trend|coral_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|fantail_vma,B,B,trend,coral_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,fantail_vma,adx_dmi_exit,106.6,True,116.8074572484044,0.3767982491884013,2.135172898332402,1.0623246605098946,51.16432660836633,6.867069122393143,17.009797799690347,8.287381145123975,0.2645161290322581,310,212,98,26,0.8,7.5,0.5,2.0,0.05,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 39, ""fma_weighting"": 5}, ""c1"": {""const_d"": 2, ""smooth_period"": 19}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 66, ""roc_len"": 12}}",0,53.94876907413881,35.20775688496517,
B|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline,B,B,chop,parabolic_sar_signals,lemantrend_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,112.1,False,-3.7255943546524666,-0.016268970981015138,0.979388544296273,-0.09340412942492812,-1.7375692181915956,-0.08935935407850185,41.69227041837776,13.124776900643182,0.17903930131004367,229,176,53,35,0.35,7.5,1.5,2.0,0.05,"{""base"": {""ma_length"": 200}, ""c1"": {""sar_increment"": 0.002, ""sar_maximum"": 0.02, ""sar_start"": 0.056961}, ""c2"": {""fast_period"": 28, ""medium_period"": 21, ""slow_period"": 7, ""smooth"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 3}}",0,58.498475969245,26.56784665123421,
B|chop|center_of_gravity_signals|bears_bulls_impulse_signals|variance_volume_signals|mcginley_dynamic_index,B,B,chop,center_of_gravity_signals,bears_bulls_impulse_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,34.4,False,-28.889882398331885,-0.10543752700121126,0.8791218309693232,-0.5031393362224885,,-0.2627297450482927,109.96045534555518,66.20965780900535,0.12773722627737227,274,168,106,12,0.4,1.2,1.5,2.0,0.05,"{""base"": {""mci_length"": 11}, ""c1"": {""length"": 10, ""signal_length"": 3}, ""c2"": {""length"": 7}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 5, ""hline"": 0, ""lookback"": 20}}",0,72.4554232244495,21.937087128907653,
B|trend|ehlers_reverse_ema_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,B,B,trend,ehlers_reverse_ema_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,16.7,False,-32.98056851634584,-0.16490284258172921,0.6415155596049399,-1.7239106580952297,,-0.758173988881498,43.500000000000895,25.29986546177073,0.08,200,78,122,9,0.3,8.0,2.25,2.0,0.05,"{""base"": {""length"": 37}, ""c1"": {""alpha"": 0.187382}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 12}}",0,52.62232727087879,29.865649088495083,tp_mult
B|chop|dspo_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|sma_baseline,B,B,chop,dspo_signals,ssl_channel_signals,waddah_attar_explosion_volume_signals,sma_baseline,adx_dmi_exit,199.1,False,5.352786528303506,0.024441947617824228,1.0287155700171042,0.11177248848828204,4.165600994557348,0.18086004910860204,29.596290361998566,14.85228536562991,0.136986301369863,219,144,75,8,0.2,7.8,1.5,2.0,0.05,"{""base"": {""length"": 37}, ""c1"": {""len"": 17}, ""c2"": {""len"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 57, ""bbStd"": 2, ""fastEma"": 25, ""sensitivity"": 122, ""slowEma"": 40}}",0,55.991307241080115,26.132880757163615,
B|trend|coral_signals|center_of_gravity_signals|williams_vix_fix_volume_signals|mcginley_dynamic_index,B,B,trend,coral_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,adx_dmi_exit,42.4,False,19.43823494805501,0.18337957498165103,1.4319607766234421,1.652174314952106,,0.925630235621663,21.000000000000092,8.304956927866934,0.1509433962264151,106,78,28,35,0.15,8.0,0.5,1.05,0.05,"{""base"": {""mci_length"": 40}, ""c1"": {""const_d"": 14, ""smooth_period"": 100}, ""c2"": {""length"": 19, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 37, ""bb_mult"": 2, ""lookback"": 220}}",0,47.678693583554754,52.79355904321133,tp_mult
B|trend|laguerre_filter_signals|ssl_channel_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,B,B,trend,laguerre_filter_signals,ssl_channel_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,adx_dmi_exit,38.4,False,7.534117969872277,0.025801773869425604,1.070134141725901,0.27248037347318,3.691427636554166,0.13574987333103333,55.49999999999947,28.208479979859465,0.1917808219178082,292,144,148,20,0.95,8.0,0.5,2.9,0.05,"{""base"": {""mci_length"": 11}, ""c1"": {""alpha"": 0.2}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 10, ""roc_len"": 10}}",0,64.02187449031965,21.652258836197195,tp_mult
