date,open,high,low,close,suspect,suspect_spike,suspect_flat
2003-06-02,2.816700,2.828000,2.794000,2.807600,False,False,False
2003-06-03,2.806400,2.814200,2.792500,2.803600,False,False,False
2003-06-04,2.802800,2.875200,2.795800,2.869000,False,False,False
2003-06-05,2.869000,2.896500,2.856200,2.880000,False,False,False
2003-06-06,2.879700,2.887700,2.851200,2.868100,False,False,False
2003-06-09,2.866500,2.888800,2.863700,2.887300,False,False,False
2003-06-10,2.887300,2.903100,2.871800,2.890800,False,False,False
2003-06-11,2.886300,2.897400,2.875300,2.878800,False,False,False
2003-06-12,2.880300,2.895300,2.865400,2.881100,False,False,False
2003-06-13,2.874100,2.894700,2.865900,2.877000,False,False,False
2003-06-16,2.877800,2.892600,2.869500,2.876000,False,False,False
2003-06-17,2.876500,2.883900,2.857700,2.870500,False,False,False
2003-06-18,2.869700,2.891000,2.862900,2.876800,False,False,False
2003-06-19,2.876000,2.878000,2.834100,2.838500,False,False,False
2003-06-20,2.845900,2.855200,2.816000,2.839800,False,False,False
2003-06-23,2.839400,2.854500,2.828300,2.833700,False,False,False
2003-06-24,2.832600,2.866900,2.831400,2.858300,False,False,False
2003-06-25,2.856400,2.871200,2.834600,2.861600,False,False,False
2003-06-26,2.860400,2.862900,2.824400,2.837500,False,False,False
2003-06-27,2.832000,2.844600,2.810400,2.816900,False,False,False
2003-06-30,2.817100,2.828000,2.784200,2.804100,False,False,False
2003-07-01,2.803100,2.808400,2.786100,2.798600,False,False,False
2003-07-02,2.799100,2.812600,2.788500,2.812000,False,False,False
2003-07-03,2.800500,2.808000,2.791500,2.807200,False,False,False
2003-07-04,2.798500,2.799400,2.737800,2.752500,False,False,False
2003-07-07,2.752100,2.786300,2.747400,2.763600,False,False,False
2003-07-08,2.766300,2.789400,2.754400,2.786900,False,False,False
2003-07-09,2.779600,2.837300,2.751300,2.775900,False,False,False
2003-07-10,2.778200,2.789900,2.743000,2.758200,False,False,False
2003-07-11,2.757400,2.766200,2.729700,2.749000,False,False,False
2003-07-14,2.749200,2.765700,2.731800,2.745300,False,False,False
2003-07-15,2.745500,2.751200,2.717200,2.726600,False,False,False
