date,open,high,low,close,suspect,suspect_spike,suspect_flat
2003-09-16,1.381400,1.384000,1.374300,1.380700,False,False,False
2003-09-17,1.380200,1.386800,1.374700,1.385800,False,False,False
2003-09-18,1.385600,1.386500,1.365300,1.366900,False,False,False
2003-09-19,1.356300,1.363200,1.350200,1.352800,False,False,False
2003-09-22,1.352700,1.359700,1.341900,1.358700,False,False,False
2003-09-23,1.358400,1.359300,1.340700,1.352000,False,False,False
2003-09-24,1.351900,1.354200,1.341200,1.344700,False,False,False
2003-09-25,1.344500,1.348700,1.341000,1.342500,False,False,False
2003-09-26,1.345300,1.359400,1.319800,1.323600,False,False,False
2003-09-29,1.322800,1.333600,1.309700,1.317500,False,False,False
2003-09-30,1.317400,1.322500,1.311700,1.315200,False,False,False
2003-10-01,1.314600,1.321200,1.310600,1.318100,False,False,False
2003-10-02,1.318600,1.338500,1.315700,1.336700,False,False,False
2003-10-03,1.335900,1.338900,1.317800,1.319400,False,False,False
2003-10-06,1.319500,1.321300,1.311100,1.314200,False,False,False
2003-10-07,1.314100,1.316300,1.306400,1.310900,False,False,False
2003-10-08,1.310800,1.323800,1.305100,1.317900,False,False,False
2003-10-09,1.317300,1.328500,1.306200,1.313200,False,False,False
2003-10-10,1.310500,1.327300,1.310200,1.322800,False,False,False
2003-10-13,1.322600,1.335400,1.313400,1.316400,False,False,False
2003-10-14,1.316300,1.333800,1.315000,1.331000,False,False,False
2003-10-15,1.330900,1.337200,1.322000,1.334600,False,False,False
2003-10-16,1.334600,1.344400,1.326200,1.326600,False,False,False
2003-10-17,1.326200,1.337500,1.325700,1.332000,False,False,False
2003-10-20,1.332700,1.336600,1.326600,1.330200,False,False,False
2003-10-21,1.330500,1.338800,1.311300,1.311500,False,False,False
2003-10-22,1.312300,1.316500,1.304700,1.309000,False,False,False
2003-10-23,1.309400,1.315300,1.303300,1.312400,False,False,False
2003-10-27,1.315900,1.319300,1.312700,1.317900,False,False,False
2003-10-28,1.318200,1.332000,1.311000,1.331200,False,False,False
2003-10-29,1.331500,1.332100,1.322000,1.330500,False,False,False
