Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
74,Entry long,2014-12-22,118.6742312059,120.065,719,86326.735,-4.64,-0.65,0,4.56,0.63,-7.16,-1.00,-20.47,0.00,9
75,Exit short,2015-05-01,Exit Short 1,120.176,1211,144821.068,-5.98,-0.49,0,11.13,0.91,-7.12,-0.59,-26.45,0.00,6
75,Entry short,2015-04-23,120.4134380484,119.588,1211,144821.068,-5.98,-0.49,0,11.13,0.91,-7.12,-0.59,-26.45,0.00,6
76,Exit short,2015-05-01,Exit Short 2,120.176,1211,144821.068,-5.98,-0.49,0,11.13,0.91,-7.12,-0.59,-32.43,0.00,6
76,Entry short,2015-04-23,120.4134380484,119.588,1211,144821.068,-5.98,-0.49,0,11.13,0.91,-7.12,-0.59,-32.43,0.00,6
77,Exit long,2015-05-25,SL/TP 1,121.757,1338,161410.968,12.39,0.93,0,12.39,0.93,-0.6,-0.04,-20.04,0.00,4
77,Entry long,2015-05-19,119.8891273849,120.636,1338,161410.968,12.39,0.93,0,12.39,0.93,-0.6,-0.04,-20.04,0.00,4
78,Exit long,2015-06-10,Exit Long 2,122.754,1338,161410.968,22.74,1.76,0,56.17,4.33,-0.6,-0.04,2.7,0.00,16
78,Entry long,2015-05-19,119.8891273849,120.636,1338,161410.968,22.74,1.76,0,56.17,4.33,-0.6,-0.04,2.7,0.00,16
79,Exit short,2015-10-09,BL Exit Short 1,120.233,969,116490.273,-0.13,-0.01,0,4.76,0.49,-1.13,-0.12,2.57,0.00,3
79,Entry short,2015-10-06,121.249019376,120.217,969,116490.273,-0.13,-0.01,0,4.76,0.49,-1.13,-0.12,2.57,0.00,3
80,Exit short,2015-10-09,BL Exit Short 2,120.233,969,116490.273,-0.13,-0.01,0,4.76,0.49,-1.13,-0.12,2.44,0.00,3
80,Entry short,2015-10-06,121.249019376,120.217,969,116490.273,-0.13,-0.01,0,4.76,0.49,-1.13,-0.12,2.44,0.00,3
81,Exit short,2015-10-14,SL/TP 1,118.707,1121,134571.566,12.5,1.12,0,12.5,1.12,-0.31,-0.03,14.94,0.00,2
81,Entry short,2015-10-12,120.938221793,120.046,1121,134571.566,12.5,1.12,0,12.5,1.12,-0.31,-0.03,14.94,0.00,2
82,Exit short,2015-10-21,Exit Short 2,119.935,1121,134571.566,1.04,0.09,0,18.56,1.65,-0.42,-0.04,15.98,0.00,7
82,Entry short,2015-10-12,120.938221793,120.046,1121,134571.566,1.04,0.09,0,18.56,1.65,-0.42,-0.04,15.98,0.00,7
83,Exit short,2016-03-17,SL/TP 1,110.801,765,86262.165,13.25,1.74,0,13.25,1.74,-1.31,-0.17,29.23,0.00,1
83,Entry short,2016-03-16,114.0671730181,112.761,765,86262.165,13.25,1.74,0,13.25,1.74,-1.31,-0.17,29.23,0.00,1
84,Exit short,2016-03-25,Exit Short 2,113.081,765,86262.165,-2.18,-0.28,0,14.15,1.86,-3.8,-0.50,27.05,0.00,7
84,Entry short,2016-03-16,114.0671730181,112.761,765,86262.165,-2.18,-0.28,0,14.15,1.86,-3.8,-0.50,27.05,0.00,7
