Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
17,Entry long,2003-02-28,1.0704358234,1.08,93493,100972.44,1341.62,1.33,0,1341.62,1.33,-280.48,-0.28,-9998.02,-1.00,2
18,Exit long,2003-03-13,Exit Long 2,1.0792,93493,100972.44,-74.79,-0.07,0,2673.9,2.65,-280.48,-0.28,-10072.81,-1.01,9
18,Entry long,2003-02-28,1.0704358234,1.08,93493,100972.44,-74.79,-0.07,0,2673.9,2.65,-280.48,-0.28,-10072.81,-1.01,9
19,Exit short,2003-08-07,BL Exit Short 1,1.1377,80985,91812.6945,-323.94,-0.35,0,113.38,0.12,-655.98,-0.71,-10396.75,-1.04,1
19,Entry short,2003-08-06,1.1448041217,1.1337,80985,91812.6945,-323.94,-0.35,0,113.38,0.12,-655.98,-0.71,-10396.75,-1.04,1
20,Exit short,2003-08-07,BL Exit Short 2,1.1377,80985,91812.6945,-323.94,-0.35,0,113.38,0.12,-655.98,-0.71,-10720.69,-1.07,1
20,Entry short,2003-08-06,1.1448041217,1.1337,80985,91812.6945,-323.94,-0.35,0,113.38,0.12,-655.98,-0.71,-10720.69,-1.07,1
21,Exit short,2003-08-18,SL/TP 1,1.1145,82793,93622.3244,1349.53,1.44,0,1349.53,1.44,-612.67,-0.65,-9371.17,-0.94,3
21,Entry short,2003-08-08,1.1416617172,1.1308,82793,93622.3244,1349.53,1.44,0,1349.53,1.44,-612.67,-0.65,-9371.17,-0.94,3
22,Exit short,2003-09-05,Exit Short 2,1.1109,82793,93622.3244,1647.58,1.76,0,4487.38,4.79,-612.67,-0.65,-7723.59,-0.77,17
22,Entry short,2003-08-08,1.1416617172,1.1308,82793,93622.3244,1647.58,1.76,0,4487.38,4.79,-612.67,-0.65,-7723.59,-0.77,17
23,Exit short,2004-04-14,SL/TP 1,1.18974,57788,70137.2956,1384.6,1.97,0,1384.6,1.97,-485.42,-0.69,-6338.99,-0.63,8
23,Entry short,2004-04-02,1.2296679262,1.2137,57788,70137.2956,1384.6,1.97,0,1384.6,1.97,-485.42,-0.69,-6338.99,-0.63,8
24,Exit short,2004-04-30,Exit Short 2,1.1984,57788,70137.2956,884.16,1.26,0,2161.27,3.08,-485.42,-0.69,-5454.83,-0.55,20
