Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2003-02-21,SL/TP 1,1.07697,207053,223989.9354,-1000.07,-0.45,0,0,0.00,-1000.07,-0.45,-1000.07,-0.10,1
1,Entry long,2003-02-20,1.0769703191,1.0818,207053,223989.9354,-1000.07,-0.45,0,0,0.00,-1000.07,-0.45,-1000.07,-0.10,1
2,Exit long,2003-02-21,BL Exit Long 2,1.0762,207053,223989.9354,-1159.5,-0.52,0,0,0.00,-1159.5,-0.52,-2159.56,-0.22,1
2,Entry long,2003-02-20,1.0769703191,1.0818,207053,223989.9354,-1159.5,-0.52,0,0,0.00,-1159.5,-0.52,-2159.56,-0.22,1
3,Exit long,2003-02-25,BL Exit Long 1,1.0764,200857.5,216865.8428,-662.83,-0.31,0,0,0.00,-662.83,-0.31,-2822.39,-0.28,1
3,Entry long,2003-02-24,1.0747213465,1.0797,200857.5,216865.8428,-662.83,-0.31,0,0,0.00,-662.83,-0.31,-2822.39,-0.28,1
4,Exit long,2003-02-25,BL Exit Long 2,1.0764,200857.5,216865.8428,-662.83,-0.31,0,0,0.00,-662.83,-0.31,-3485.22,-0.35,1
4,Entry long,2003-02-24,1.0747213465,1.0797,200857.5,216865.8428,-662.83,-0.31,0,0,0.00,-662.83,-0.31,-3485.22,-0.35,1
5,Exit long,2003-02-27,BL Exit Long 1,1.0758,214514,231353.349,-579.19,-0.25,0,0,0.00,-579.19,-0.25,-4064.41,-0.41,1
5,Entry long,2003-02-26,1.0738383039,1.0785,214514,231353.349,-579.19,-0.25,0,0,0.00,-579.19,-0.25,-4064.41,-0.41,1
6,Exit long,2003-02-27,BL Exit Long 2,1.0758,214514,231353.349,-579.19,-0.25,0,0,0.00,-579.19,-0.25,-4643.6,-0.46,1
6,Entry long,2003-02-26,1.0738383039,1.0785,214514,231353.349,-579.19,-0.25,0,0,0.00,-579.19,-0.25,-4643.6,-0.46,1
7,Exit long,2003-03-03,SL/TP 1,1.08675,222291,240074.28,1500.46,0.63,0,1500.46,0.63,-333.44,-0.14,-3143.13,-0.31,1
7,Entry long,2003-02-28,1.0755013947,1.08,222291,240074.28,1500.46,0.63,0,1500.46,0.63,-333.44,-0.14,-3143.13,-0.31,1
8,Exit long,2003-03-13,Exit Long 2,1.0807,222291,240074.28,155.6,0.06,0,5735.11,2.39,-333.44,-0.14,-2987.53,-0.30,9
8,Entry long,2003-02-28,1.0755013947,1.08,222291,240074.28,155.6,0.06,0,5735.11,2.39,-333.44,-0.14,-2987.53,-0.30,9
9,Exit short,2003-08-18,SL/TP 1,1.12436,166067.5,188220.9045,1501.25,0.80,0,1501.25,0.80,-647.66,-0.34,-1486.28,-0.15,8
