Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
20,Exit short,2006-03-27,BL Exit Short 2,1.7464,88997.5,154401.7628,-1023.47,-0.66,0,347.09,0.22,-1299.36,-0.84,19439.54,1.94,2
20,Entry short,2006-03-23,1.7461362731,1.7349,88997.5,154401.7628,-1023.47,-0.66,0,347.09,0.22,-1299.36,-0.84,19439.54,1.94,2
21,Exit short,2006-03-30,BL Exit Short 1,1.7466,89696,156331.1584,-331.88,-0.21,0,1013.56,0.65,-497.81,-0.32,19107.66,1.91,2
21,Entry short,2006-03-28,1.7540487398,1.7429,89696,156331.1584,-331.88,-0.21,0,1013.56,0.65,-497.81,-0.32,19107.66,1.91,2
22,Exit short,2006-03-30,BL Exit Short 2,1.7466,89696,156331.1584,-331.88,-0.21,0,1013.56,0.65,-497.81,-0.32,18775.79,1.88,2
22,Entry short,2006-03-28,1.7540487398,1.7429,89696,156331.1584,-331.88,-0.21,0,1013.56,0.65,-497.81,-0.32,18775.79,1.88,2
23,Exit short,2006-04-04,SL/TP 1,1.7491,85485,148521.639,-1000.17,-0.67,0,1051.47,0.71,-1000.17,-0.67,17775.62,1.78,2
23,Entry short,2006-03-31,1.7490979888,1.7374,85485,148521.639,-1000.17,-0.67,0,1051.47,0.71,-1000.17,-0.67,17775.62,1.78,2
24,Exit short,2006-04-04,Exit Short 2,1.7551,85485,148521.639,-1513.08,-1.02,0,1051.47,0.71,-1731.07,-1.17,16262.53,1.63,2
24,Entry short,2006-03-31,1.7490979888,1.7374,85485,148521.639,-1513.08,-1.02,0,1051.47,0.71,-1731.07,-1.17,16262.53,1.63,2
25,Exit short,2006-07-18,SL/TP 1,1.83301,68725.5,124973.8855,-1000.64,-0.80,0,6.87,0.01,-1000.64,-0.80,15261.89,1.53,1
25,Entry short,2006-07-17,1.8330006418,1.81845,68725.5,124973.8855,-1000.64,-0.80,0,6.87,0.01,-1000.64,-0.80,15261.89,1.53,1
26,Exit short,2006-07-19,BL Exit Short 2,1.84172,68725.5,124973.8855,-1599.24,-1.28,0,6.87,0.01,-1766.93,-1.41,13662.65,1.37,2
26,Entry short,2006-07-17,1.8330006418,1.81845,68725.5,124973.8855,-1599.24,-1.28,0,6.87,0.01,-1766.93,-1.41,13662.65,1.37,2
27,Exit long,2006-09-25,SL/TP 1,1.90695,80579.5,152160.6872,1500.39,0.99,0,1500.39,0.99,-141.01,-0.09,15163.04,1.52,3
27,Entry long,2006-09-20,1.875919921,1.88833,80579.5,152160.6872,1500.39,0.99,0,1500.39,0.99,-141.01,-0.09,15163.04,1.52,3
28,Exit long,2006-09-28,Exit Long 2,1.87701,80579.5,152160.6872,-912.16,-0.60,0,1535.04,1.01,-1273.96,-0.84,14250.88,1.43,6
28,Entry long,2006-09-20,1.875919921,1.88833,80579.5,152160.6872,-912.16,-0.60,0,1535.04,1.01,-1273.96,-0.84,14250.88,1.43,6
29,Exit long,2007-01-23,SL/TP 1,1.98023,71053.5,139201.6224,1500.65,1.08,0,1500.65,1.08,-140.69,-0.10,15751.53,1.58,7
29,Entry long,2007-01-12,1.9450361047,1.95911,71053.5,139201.6224,1500.65,1.08,0,1500.65,1.08,-140.69,-0.10,15751.53,1.58,7
30,Exit long,2007-01-26,Exit Long 2,1.95942,71053.5,139201.6224,22.03,0.02,0,2313.5,1.66,-228.79,-0.16,15773.55,1.58,10
30,Entry long,2007-01-12,1.9450361047,1.95911,71053.5,139201.6224,22.03,0.02,0,2313.5,1.66,-228.79,-0.16,15773.55,1.58,10
31,Exit short,2007-03-05,SL/TP 1,1.92542,82487.5,160323.5299,1500.45,0.94,0,1500.45,0.94,-109.71,-0.07,17274,1.73,1
31,Entry short,2007-03-02,1.955733073,1.94361,82487.5,160323.5299,1500.45,0.94,0,1500.45,0.94,-109.71,-0.07,17274,1.73,1
32,Exit short,2007-03-16,Exit Short 2,1.94264,82487.5,160323.5299,80.01,0.05,0,2097.66,1.31,-577.41,-0.36,17354.01,1.74,10
32,Entry short,2007-03-02,1.955733073,1.94361,82487.5,160323.5299,80.01,0.05,0,2097.66,1.31,-577.41,-0.36,17354.01,1.74,10
33,Exit long,2007-10-16,BL Exit Long 1,2.03274,67861.5,137585.7982,358.99,0.26,0,1494.31,1.09,-528.64,-0.38,17713,1.77,13
33,Entry long,2007-09-27,2.0127140784,2.02745,67861.5,137585.7982,358.99,0.26,0,1494.31,1.09,-528.64,-0.38,17713,1.77,13
34,Exit long,2007-10-16,BL Exit Long 2,2.03274,67861.5,137585.7982,358.99,0.26,0,1494.31,1.09,-528.64,-0.38,18071.99,1.81,13
34,Entry long,2007-09-27,2.0127140784,2.02745,67861.5,137585.7982,358.99,0.26,0,1494.31,1.09,-528.64,-0.38,18071.99,1.81,13
35,Exit short,2008-02-07,SL/TP 1,1.93925,58561,115064.7521,1500.33,1.30,0,1500.33,1.30,-82.57,-0.07,19572.32,1.96,2
35,Entry short,2008-02-05,1.9819461692,1.96487,58561,115064.7521,1500.33,1.30,0,1500.33,1.30,-82.57,-0.07,19572.32,1.96,2
36,Exit short,2008-02-14,Exit Short 2,1.96911,58561,115064.7521,-248.3,-0.22,0,1524.93,1.33,-521.78,-0.45,19324.02,1.93,7
36,Entry short,2008-02-05,1.9819461692,1.96487,58561,115064.7521,-248.3,-0.22,0,1524.93,1.33,-521.78,-0.45,19324.02,1.93,7
37,Exit short,2008-02-21,SL/TP 1,1.96379,65006.5,126658.6646,-1000.45,-0.79,0,790.48,0.62,-1000.45,-0.79,18323.57,1.83,2
