Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
31,Entry short,2010-07-30,87.3630663699,86.467,1116,96497.172,17.31,1.56,0,17.31,1.56,-5.31,-0.48,25.1,0.00,5
32,Exit short,2010-09-15,Exit Short 2,85.741,1116,96497.172,9.63,0.84,0,47.65,4.15,-5.31,-0.48,34.74,0.00,33
32,Entry short,2010-07-30,87.3630663699,86.467,1116,96497.172,9.63,0.84,0,47.65,4.15,-5.31,-0.48,34.74,0.00,33
33,Exit short,2010-10-06,SL/TP 1,82.916,1156.5,97392.3345,17.91,1.54,0,17.91,1.54,-2.47,-0.21,52.65,0.01,8
33,Entry short,2010-09-24,85.0775488001,84.213,1156.5,97392.3345,17.91,1.54,0,17.91,1.54,-2.47,-0.21,52.65,0.01,8
34,Exit short,2010-10-27,Exit Short 2,81.76,1156.5,97392.3345,34.98,2.91,0,53.81,4.51,-2.47,-0.21,87.63,0.01,23
34,Entry short,2010-09-24,85.0775488001,84.213,1156.5,97392.3345,34.98,2.91,0,53.81,4.51,-2.47,-0.21,87.63,0.01,23
35,Exit short,2011-05-31,SL/TP 1,81.528,1366.5,110407.734,-12.33,-0.91,0,1.35,0.10,-12.33,-0.91,75.29,0.01,2
35,Entry short,2011-05-27,81.5279018146,80.796,1366.5,110407.734,-12.33,-0.91,0,1.35,0.10,-12.33,-0.91,75.29,0.01,2
36,Exit short,2011-05-31,BL Exit Short 2,81.526,1366.5,110407.734,-12.3,-0.90,0,1.35,0.10,-16.5,-1.21,62.99,0.01,2
