Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
85,Entry long,2018-12-13,113.0053105975,113.608,1659,188475.672,-8.82,-0.53,0,0.99,0.06,-8.82,-0.53,176.59,0.02,2
86,Exit long,2018-12-17,BL Exit Long 2,112.833,1659,188475.672,-11.34,-0.68,0,0.99,0.06,-13.55,-0.82,165.25,0.02,2
86,Entry long,2018-12-13,113.0053105975,113.608,1659,188475.672,-11.34,-0.68,0,0.99,0.06,-13.55,-0.82,165.25,0.02,2
87,Exit short,2019-07-16,BL Exit Short 1,108.24,1760,189914.56,-5.45,-0.31,0,1.72,0.10,-7.66,-0.44,159.81,0.02,2
87,Entry short,2019-07-12,108.47414981,107.906,1760,189914.56,-5.45,-0.31,0,1.72,0.10,-7.66,-0.44,159.81,0.02,2
88,Exit short,2019-07-16,BL Exit Short 2,108.24,1760,189914.56,-5.45,-0.31,0,1.72,0.10,-7.66,-0.44,154.36,0.02,2
88,Entry short,2019-07-12,108.47414981,107.906,1760,189914.56,-5.45,-0.31,0,1.72,0.10,-7.66,-0.44,154.36,0.02,2
89,Exit short,2019-07-23,BL Exit Short 1,108.226,1858,200578.532,-4.69,-0.25,0,12.74,0.69,-5.79,-0.31,149.67,0.01,4
89,Entry short,2019-07-17,108.4922398442,107.954,1858,200578.532,-4.69,-0.25,0,12.74,0.69,-5.79,-0.31,149.67,0.01,4
90,Exit short,2019-07-23,BL Exit Short 2,108.226,1858,200578.532,-4.69,-0.25,0,12.74,0.69,-5.79,-0.31,144.98,0.01,4
90,Entry short,2019-07-17,108.4922398442,107.954,1858,200578.532,-4.69,-0.25,0,12.74,0.69,-5.79,-0.31,144.98,0.01,4
91,Exit long,2019-11-29,SL/TP 1,109.629,2130.5,232062.582,13.71,0.65,0,13.71,0.65,-0.96,-0.04,158.69,0.02,4
91,Entry long,2019-11-25,108.4546190215,108.924,2130.5,232062.582,13.71,0.65,0,13.71,0.65,-0.96,-0.04,158.69,0.02,4
92,Exit long,2019-12-03,Exit Long 2,108.634,2130.5,232062.582,-5.67,-0.27,0,15.65,0.74,-8.64,-0.41,153.03,0.02,6
92,Entry long,2019-11-25,108.4546190215,108.924,2130.5,232062.582,-5.67,-0.27,0,15.65,0.74,-8.64,-0.41,153.03,0.02,6
93,Exit long,2019-12-30,SL/TP 1,108.828,2093.5,228832.111,-9.15,-0.44,0,7.68,0.37,-9.15,-0.44,143.88,0.01,11
93,Entry long,2019-12-12,108.8282958274,109.306,2093.5,228832.111,-9.15,-0.44,0,7.68,0.37,-9.15,-0.44,143.88,0.01,11
94,Exit long,2019-12-30,Exit Long 2,108.879,2093.5,228832.111,-8.17,-0.39,0,7.68,0.37,-10.3,-0.49,135.71,0.01,11
94,Entry long,2019-12-12,108.8282958274,109.306,2093.5,228832.111,-8.17,-0.39,0,7.68,0.37,-10.3,-0.49,135.71,0.01,11
95,Exit short,2020-09-09,BL Exit Short 1,106.18,1539.5,163236.264,-2.14,-0.14,0,3.5,0.23,-3.5,-0.23,133.56,0.01,1
95,Entry short,2020-09-08,106.6815790854,106.032,1539.5,163236.264,-2.14,-0.14,0,3.5,0.23,-3.5,-0.23,133.56,0.01,1
96,Exit short,2020-09-09,BL Exit Short 2,106.18,1539.5,163236.264,-2.14,-0.14,0,3.5,0.23,-3.5,-0.23,131.42,0.01,1
96,Entry short,2020-09-08,106.6815790854,106.032,1539.5,163236.264,-2.14,-0.14,0,3.5,0.23,-3.5,-0.23,131.42,0.01,1
97,Exit short,2021-01-07,SL/TP 1,103.646,2075.5,214116.882,-9.71,-0.47,0,11.53,0.55,-9.71,-0.47,121.71,0.01,5
97,Entry short,2020-12-30,103.6458422219,103.164,2075.5,214116.882,-9.71,-0.47,0,11.53,0.55,-9.71,-0.47,121.71,0.01,5
98,Exit short,2021-01-07,Exit Short 2,103.809,2075.5,214116.882,-12.99,-0.63,0,11.53,0.55,-16.01,-0.77,108.72,0.01,5
98,Entry short,2020-12-30,103.6458422219,103.164,2075.5,214116.882,-12.99,-0.63,0,11.53,0.55,-16.01,-0.77,108.72,0.01,5
99,Exit long,2021-05-20,BL Exit Long 1,108.782,1662.5,181576.5875,-6.67,-0.40,0,1.37,0.08,-7.19,-0.43,102.05,0.01,1
99,Entry long,2021-05-19,108.6175580699,109.219,1662.5,181576.5875,-6.67,-0.40,0,1.37,0.08,-7.19,-0.43,102.05,0.01,1
100,Exit long,2021-05-20,BL Exit Long 2,108.782,1662.5,181576.5875,-6.67,-0.40,0,1.37,0.08,-7.19,-0.43,95.38,0.01,1
100,Entry long,2021-05-19,108.6175580699,109.219,1662.5,181576.5875,-6.67,-0.40,0,1.37,0.08,-7.19,-0.43,95.38,0.01,1
101,Exit long,2021-06-23,SL/TP 1,110.897,1823.5,200719.939,13.6,0.75,0,13.6,0.75,-5.89,-0.32,108.99,0.01,7
101,Entry long,2021-06-14,109.5256249731,110.074,1823.5,200719.939,13.6,0.75,0,13.6,0.75,-5.89,-0.32,108.99,0.01,7
102,Exit long,2021-07-06,Exit Long 2,110.621,1823.5,200719.939,8.98,0.50,0,26.03,1.44,-5.89,-0.32,117.97,0.01,16
102,Entry long,2021-06-14,109.5256249731,110.074,1823.5,200719.939,8.98,0.50,0,26.03,1.44,-5.89,-0.32,117.97,0.01,16
